source_entry_key	source_entry_number	source_title	source_page	vol7_record_id	vol7_inscription_number	vol7_title	match_status	match_confidence	review_decision	evidence	notes
1	1	စည်သူမင်းကျောက်စာ	1	obi-v07-n0001-tx-p0001	1	စည်သူမင်းကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
2	2	သင်ပုတ်ကျောင်းကျောက်စာ	4	obi-v07-n0002-tx-p0004	2	သင်ပုတ်ကျောင်းကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
3	3	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	6	obi-v07-n0003a-ob-p0006	3a	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
3	3	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	6	obi-v07-n0003b-re-p0007	3b	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
4	4	စည်သူမင်းကြီး ဂူလျောင်းဂူပြောက်ကျောက်စာ	10	obi-v07-n0004-tx-p0010	4	စည်သူမင်းကြီး ဂူလျောင်းဂူပြောက်ကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
5	5	ငဦသင်ကျောက်စာ	12	obi-v07-n0005-tx-p0012	5	ငဦသင်ကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
6	6	လက်ဆောင်ဘုရားကျောက်စာ	14	obi-v07-n0006-tx-p0014	6	လက်ဆောင်ဘုရားကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
7	7	တောကျောင်းသခင်ကျောက်စာ	16	obi-v07-n0007-tx-p0016	7	တောကျောင်းသခင်ကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
8	8	ညာနရင်သီဘုရားကျောက်စာ	18	obi-v07-n0008-tx-p0018	8	ညာနရင်သီဘုရားကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
9	9	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	21	obi-v07-n0009a-ob-p0021	9a	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
9	9	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	21	obi-v07-n0009b-re-p0023	9b	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
10	10	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	26	obi-v07-n0010a-ob-p0026	10a	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
10	10	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	26	obi-v07-n0010b-re-p0028	10b	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	matched_split_face	high	matched_split_face	Matched by source entry number; multiple face records in volume 7	Matched by source entry number and title; multiple face records in volume 7
11	11	နက္ကာပြံကြီးမယားကျောက်စာ	31	obi-v07-n0011-tx-p0030	11	နက္ကာပြံကြီးမယားကျောက်စာ	matched	high	matched	Matched by source entry number and normalized title	Matched by source entry number and title
