record_id	source_inscription_number	source_page	face	title_original	source_file
obi-v07-n0010a-ob-p0026	10a	26	obverse	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No10a__ob_p26.txt
obi-v07-n0010b-re-p0028	10b	28	reverse	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No10b__re_p28.txt
obi-v07-n0011-tx-p0030	11	30		နက္ကာပြံကြီးမယားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No11___p30.txt
obi-v07-n0013-tx-p0036	13	36		သ္ခိင်မဟာထီမြေကျွန်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No13___p36.txt
obi-v07-n0014-tx-p0038	14	38		ဂုဏပတိမယားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No14___p38.txt
obi-v07-n0015-tx-p0041	15	41		ဓမ္မသူဌေးလင်မယားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No15___p41.txt
obi-v07-n0016a-ob-p0044	16a	44	obverse	သူကြွယ်ငခင်ပွန်သင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No16a__ob_p44.txt
obi-v07-n0016b-re-p0045	16b	45	reverse	သူကြွယ်ငခင်ပွန်သင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No16b__re_p45.txt
obi-v07-n0017a-ob-p0048	17a	48	obverse	သံပျင်ပတုန်မလောက်သွာဘုရားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No17a__ob_p48.txt
obi-v07-n0017b-re-p0049	17b	49	reverse	သံပျင်ပတုန်မလောက်သွာဘုရားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No17b__re_p49.txt
obi-v07-n0018-tx-p0052	18	52		သင်ကြီသီလဗင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No18___p52.txt
obi-v07-n0019a-ob-p0055	19a	55	obverse	မင်္ဂလာဒေဝီကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No19a__ob_p55.txt
obi-v07-n0019b-re-p0059	19b	59	reverse	မင်္ဂလာဒေဝီကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No19b__re_p59.txt
obi-v07-n0001-tx-p0001	1	1		စည်သူမင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No1___p1.txt
obi-v07-n0020-tx-p0061	20	61		မင်မတ်စတုရင်ကပတိလင်မယားကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No20___p61.txt
obi-v07-n0021-tx-p0064	21	64		ဆင်ပြူ့သိခင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No21___p64.txt
obi-v07-n0022-tx-p0068	22	68		အမတ်ကြီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No22___p68.txt
obi-v07-n0023-tx-p0070	23	70		စလင်တပိုဝ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No23___p70.txt
obi-v07-n0024-tx-p0072	24	72		တိုင်းချစ်ဘုရားသင်ပုတ်လဲလှူကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No24___p72.txt
obi-v07-n0025a-tx-p0074	25a	74		သခင်ခင်ဥန်နှင့်သင်ကြီကုံကယ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No25a___p74.txt
obi-v07-n0025b-tx-p0075	25b	75		ရာဇသင်ကြံမြေလှူကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No25b___p75.txt
obi-v07-n0026-tx-p0079	26	79		စစ်လျင်သူကြီးအနန္တသူကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No26___p79.txt
obi-v07-n0027-tx-p0083	27	83		အမတ်ကြီးရာဇသင်င်္ကြံကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No27___p83.txt
obi-v07-n0028-tx-p0086	28	86		ဥစ္စနာမင်းကြီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No28___p86.txt
obi-v07-n0029-tx-p0089	29	89		ဧကရစ်မင်းကြီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No29___p89.txt
obi-v07-n0002-tx-p0004	2	4		သင်ပုတ်ကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No2___p4.txt
obi-v07-n0030a-ob-p0091	30a	91	obverse	အမတ်ကြီးစလေမင်းမောင်နံကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No30a__ob_p91.txt
obi-v07-n0030b-re-p0092	30b	92	reverse	အမတ်ကြီးစလေမင်းမောင်နံကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No30b__re_p92.txt
obi-v07-n0031a-ob-p0097	31a	97	obverse	ထနောင်းကန်သူကြီးသမီးမောင်နှံကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No31a__ob_p97.txt
obi-v07-n0031b-re-p0098	31b	98	reverse	ထနောင်းကန်သူကြီးသမီးမောင်နှံကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No31b__re_p98.txt
obi-v07-n0032a-ob-p0102	32a	102	obverse	ဝါရာရွာသူကြွယ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No32a__ob_p102.txt
obi-v07-n0032b-re-p0103	32b	103	reverse	ဝါရာရွာသူကြွယ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No32b__re_p103.txt
obi-v07-n0033-tx-p0106	33	106		အကောက်ခွန်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No33___p106.txt
obi-v07-n0034-tx-p0108	34	108		ရာဇသင်္ကြံသမီးကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No34___p108.txt
obi-v07-n0035a-ob-p0110	35a	110	obverse	မိဖုရားကြီးသီရိမဟာဓမ္မဒေဝီကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No35a__ob_p110.txt
obi-v07-n0035b-re-p0115	35b	115	reverse	မိဖုရားကြီးသီရိမဟာဓမ္မဒေဝီကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No35b__re_p115.txt
obi-v07-n0036-tx-p0121	36	121		သူကြွယ်ငကုလားသင်သိမ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No36___p121.txt
obi-v07-n0038-tx-p0124	38	124		နွားထိန်းအလိုတော်ပြည့်စလင်းအသင်္ခရာကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No38___p124.txt
obi-v07-n0039-tx-p0126	39	126		ပုရန်ငါယန်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No39___p126.txt
obi-v07-n0003a-ob-p0006	3a	6	obverse	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No3a__ob_p6.txt
obi-v07-n0003b-re-p0007	3b	7	reverse	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No3b__re_p7.txt
obi-v07-n0040-tx-p0128	40	128		ပုကံမဟာဓိဓမ္မကျွန်လှူကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No40___p128.txt
obi-v07-n0004-tx-p0010	4	10		စည်သူမင်းကြီး ဂူလျောင်းဂူပြောက်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No4___p10.txt
obi-v07-n0005-tx-p0012	5	12		ငဦသင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No5___p12.txt
obi-v07-n0006-tx-p0014	6	14		လက်ဆောင်ဘုရားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No6___p14.txt
obi-v07-n0007-tx-p0016	7	16		တောကျောင်းသခင်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No7___p16.txt
obi-v07-n0008-tx-p0018	8	18		ညာနရင်သီဘုရားကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No8___p18.txt
obi-v07-n0009a-ob-p0021	9a	21	obverse	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No9a__ob_p21.txt
obi-v07-n0009b-re-p0023	9b	23	reverse	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	OBI_Corpus_Vol7/OBI_Vol7_No9b__re_p23.txt
