local_file_id	batch_id	old_file_name	old_path_stub	current_ocr_text_path	current_metadata_path	probable_article_title	probable_author	probable_year	canonical_base_name	proposed_pdf_file_name	proposed_ocr_text_file_name	proposed_metadata_file_name	identity_confidence	rename_status	notes
011031-642d82a624e9	jbrs-ocr-0002	011031.pdf	Burmese/Burma JBRS/1911/011031.pdf	data/working/ocr/jbrs/text/011031-642d82a624e9.txt	data/working/ocr/jbrs/metadata/011031-642d82a624e9.json	THE EARLY USE OF THE BUDDHIST ERA IN BURMA	Taw Sein Ko	1911	1911-early-use-buddhist-era-burma-taw-sein-ko	1911-early-use-buddhist-era-burma-taw-sein-ko.pdf	1911-early-use-buddhist-era-burma-taw-sein-ko.txt	1911-early-use-buddhist-era-burma-taw-sein-ko.json	medium	deferred_outside_phase1_scope	
011156-0d22485e8ffa	jbrs-ocr-0037	011156.pdf	Burmese/Burma JBRS/1911/011156.pdf	data/working/ocr/jbrs/text/011156-0d22485e8ffa.txt	data/working/ocr/jbrs/metadata/011156-0d22485e8ffa.json	GÉNÉRAL DE BEYLIÉ		1911					medium	needs_manual_review	
012001-e1a50613e050	jbrs-ocr-0038	012001.pdf	Burmese/Burma JBRS/JBRS Originals/012001.pdf	data/working/ocr/jbrs/text/012001-e1a50613e050.txt	data/working/ocr/jbrs/metadata/012001-e1a50613e050.json	CHINESE ANTIQUITIES AT PAGAN	BY	1911	1911-chinese-antiquities-pagan-by-scan-2	1911-chinese-antiquities-pagan-by-scan-2.pdf	1911-chinese-antiquities-pagan-by-scan-2.txt	1911-chinese-antiquities-pagan-by-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1911-chineseantiquitiespagan-tawseinko1911-pdf; collision_with=1911-chinese-antiquities-pagan-by
021038-b4487e7a4dfa	jbrs-ocr-0079	021038.pdf	Burmese/Burma JBRS/JBRS Originals/021038.pdf	data/working/ocr/jbrs/text/021038-b4487e7a4dfa.txt	data/working/ocr/jbrs/metadata/021038-b4487e7a4dfa.json	NOTES ON TALAING EPIGRAPHY. BY C. O. BLAGDEN, Straits Settlements Civil Service (Retired.) Some apology is due to the S…	NOTES ON TALAING EPIGRAPHY	1912	1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2	1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.pdf	1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.txt	1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1912-talaingepigraphy-blagden1912-pdf; collision_with=1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy
may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38	jbrs-ocr-3337	021072.pdf	Burmese/Burma JBRS/JBRS Originals/021072.pdf	data/working/ocr/jbrs/text/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.txt	data/working/ocr/jbrs/metadata/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.json	Prome	NOTES, QUERIES AND MEMORANDA						low	needs_manual_review	
021078-d339497ee1dd	jbrs-ocr-0088	021078.pdf	Burmese/Burma JBRS/JBRS Originals/021078.pdf	data/working/ocr/jbrs/text/021078-d339497ee1dd.txt	data/working/ocr/jbrs/metadata/021078-d339497ee1dd.json	AN ARCHEOLOGICAL FIND AT TOUNGOO		1912					medium	needs_manual_review	
021093-a2e7c6edbf7d	jbrs-ocr-0091	021093.pdf	Burmese/Burma JBRS/JBRS Originals/021093.pdf	data/working/ocr/jbrs/text/021093-a2e7c6edbf7d.txt	data/working/ocr/jbrs/metadata/021093-a2e7c6edbf7d.json	94 BURMESE PROSODY	Charles Duroiselle	1912	1912-94-burmese-prosody-charles-duroiselle-scan-2	1912-94-burmese-prosody-charles-duroiselle-scan-2.pdf	1912-94-burmese-prosody-charles-duroiselle-scan-2.txt	1912-94-burmese-prosody-charles-duroiselle-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1912-duroiselle1912-burmeseprosody-iii-pdf; collision_with=1912-94-burmese-prosody-charles-duroiselle
021102-47cd984de84e	jbrs-ocr-0095	021102.pdf	Burmese/Burma JBRS/JBRS Originals/021102.pdf	data/working/ocr/jbrs/text/021102-47cd984de84e.txt	data/working/ocr/jbrs/metadata/021102-47cd984de84e.json	HYPNOTISM IN BURMA	Taw Sein Ko	1912	1912-hypnotism-burma-taw-sein-ko	1912-hypnotism-burma-taw-sein-ko.pdf	1912-hypnotism-burma-taw-sein-ko.txt	1912-hypnotism-burma-taw-sein-ko.json	medium	deferred_outside_phase1_scope	
022184-3fadd36c6f9f	jbrs-ocr-0109	022184.pdf	Burmese/Burma JBRS/JBRS Originals/022184.pdf	data/working/ocr/jbrs/text/022184-3fadd36c6f9f.txt	data/working/ocr/jbrs/metadata/022184-3fadd36c6f9f.json	LACQUERWARE MANUFACTURE AT PAGAN. It is not known when and whence the art was introduced into Pagan. The probabilities…	Taw Sein Ko	1912	1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2	1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.pdf	1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.txt	1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.json	high	deferred_outside_phase1_scope	duplicate_of=1912-lacquerwarepagan-tawseinko1912-pdf; collision_with=1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko
022240-6b134be892b8	jbrs-ocr-0121	022240.pdf	Burmese/Burma JBRS/JBRS Originals/022240.pdf	data/working/ocr/jbrs/text/022240-6b134be892b8.txt	data/working/ocr/jbrs/metadata/022240-6b134be892b8.json	THE GREAT CHRONICLE OF CEYLON		1912					medium	needs_manual_review	
