target_reference_id	reference_kind	normalized_reference_key	source_file_examples	raw_reference_ids	raw_hit_count	normalized_journal_title	volume	issue	year	page_range	author	article_title	inscription_or_topic_keywords	reference_confidence	needs_manual_bibliographic_cleanup	notes
jbrs-target-0001	article_reference	 | 1965 | 48 | 2 | 67 | u hswai	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:202 | data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:203 | data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:204	jbrs-ref-0013|jbrs-ref-0014|jbrs-ref-0015|jbrs-ref-0016|jbrs-ref-0017|jbrs-ref-0018|jbrs-ref-0019|jbrs-ref-0020|jbrs-ref-0021|jbrs-ref-0022	10	Journal of the Burma Research Society	48	2	1965	67		U Hswai		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0002	article_reference	charles duroiselle | 1916 | 6 |  | 88 | duroiselle	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:198	jbrs-ref-0009	1	Journal of the Burma Research Society	6		1916	88	Charles Duroiselle	Duroiselle		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0003	article_reference	charles duroiselle | 1916 | d |  | 88 | 	data/working/bibliography/translation_source_discovery/periodical_article_discovery_plan.tsv:2	jbrs-ref-0050	1	Journal of the Burma Research Society	D		1916	88	Charles Duroiselle		pagan	high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0004	article_reference	g h luce | 1932 | 1932 |  | 125 | luce myanmar s debt	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:199	jbrs-ref-0010	1	Journal of the Burma Research Society	1932		1932	125	G. H. Luce	Luce, Myanmar's Debt		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0005	article_reference	g h luce | 1936 | 1936 |  | 135 | luce prayers	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:200	jbrs-ref-0011	1	Journal of the Burma Research Society	1936		1936	135	G. H. Luce	Luce, Prayers		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0006	article_reference	g h luce | 1976 | 1976 |  | 135 7 | u than tun	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:215	jbrs-ref-0026	1	Journal of the Burma Research Society	1976		1976	135-7	G. H. Luce	U Than Tun		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0007	article_reference	than tun | 1959 | 1959 |  | 74 5 | u religious buildings	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:218	jbrs-ref-0029	1	Journal of the Burma Research Society	1959		1959	74-5	Than Tun	U , Religious Buildings		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0008	article_reference	than tun | 1959 | 1959 |  | 77 79 | u	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:214	jbrs-ref-0025	1	Journal of the Burma Research Society	1959		1959	77-79	Than Tun	U		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0009	article_reference	than tun | 1978 | 1978 |  | 130 3 | u buddhism	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:213	jbrs-ref-0024	1	Journal of the Burma Research Society	1978		1978	130-3	Than Tun	U , Buddhism		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0010	article_reference	than tun | 1978 | 1978 |  | 140 | u	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:216	jbrs-ref-0027	1	Journal of the Burma Research Society	1978		1978	140	Than Tun	U		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0011	article_reference	than tun | 1978 | 1978 |  | 15 | u	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:217	jbrs-ref-0028	1	Journal of the Burma Research Society	1978		1978	15	Than Tun	U		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0012	article_reference	u pe maung tin | 1920 | 10 | 2 | 67 74 | luce	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:201	jbrs-ref-0012	1	Journal of the Burma Research Society	10	2	1920	67-74	U Pe Maung Tin	Luce/		high	false	Deduplicated clean article target built from raw JBRS repository hits.
jbrs-target-0013	article_reference	u pe maung tin | 1935 | 25 |  | 221 | ppa partly transl	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:1406	jbrs-ref-0030	1	Journal of the Burma Research Society	25		1935	221	U Pe Maung Tin	PPA, (partly transl		high	false	Deduplicated clean article target built from raw JBRS repository hits.
