local_file_id	old_file_name	old_path_stub	canonical_file_name	canonical_ocr_text_path	canonical_metadata_path	canonical_pdf_path_stub	alias_status	notes
011031-642d82a624e9	011031.pdf	Burmese/Burma JBRS/1911/011031.pdf	1911-early-use-buddhist-era-burma-taw-sein-ko.pdf	data/working/ocr/jbrs/text/1911-early-use-buddhist-era-burma-taw-sein-ko.txt	data/working/ocr/jbrs/metadata/1911-early-use-buddhist-era-burma-taw-sein-ko.json	data_local/sources/jbrs_canonical_pdfs/1911-early-use-buddhist-era-burma-taw-sein-ko.pdf	deferred_outside_phase1_scope	
011156-0d22485e8ffa	011156.pdf	Burmese/Burma JBRS/1911/011156.pdf	011156.pdf	data/working/ocr/jbrs/text/011156-0d22485e8ffa.txt	data/working/ocr/jbrs/metadata/011156-0d22485e8ffa.json		needs_manual_review	
012001-e1a50613e050	012001.pdf	Burmese/Burma JBRS/JBRS Originals/012001.pdf	1911-chinese-antiquities-pagan-by-scan-2.pdf	data/working/ocr/jbrs/text/1911-chinese-antiquities-pagan-by-scan-2.txt	data/working/ocr/jbrs/metadata/1911-chinese-antiquities-pagan-by-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1911-chinese-antiquities-pagan-by-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1911-chineseantiquitiespagan-tawseinko1911-pdf; collision_with=1911-chinese-antiquities-pagan-by
021038-b4487e7a4dfa	021038.pdf	Burmese/Burma JBRS/JBRS Originals/021038.pdf	1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.pdf	data/working/ocr/jbrs/text/1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.txt	data/working/ocr/jbrs/metadata/1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1912-talaingepigraphy-blagden1912-pdf; collision_with=1912-notes-talaing-epigraphy-c-o-blagden-straits-settlements-notes-on-talaing-epigraphy
may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38	021072.pdf	Burmese/Burma JBRS/JBRS Originals/021072.pdf	021072.pdf	data/working/ocr/jbrs/text/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.txt	data/working/ocr/jbrs/metadata/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.json		needs_manual_review	
021078-d339497ee1dd	021078.pdf	Burmese/Burma JBRS/JBRS Originals/021078.pdf	021078.pdf	data/working/ocr/jbrs/text/021078-d339497ee1dd.txt	data/working/ocr/jbrs/metadata/021078-d339497ee1dd.json		needs_manual_review	
021093-a2e7c6edbf7d	021093.pdf	Burmese/Burma JBRS/JBRS Originals/021093.pdf	1912-94-burmese-prosody-charles-duroiselle-scan-2.pdf	data/working/ocr/jbrs/text/1912-94-burmese-prosody-charles-duroiselle-scan-2.txt	data/working/ocr/jbrs/metadata/1912-94-burmese-prosody-charles-duroiselle-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1912-94-burmese-prosody-charles-duroiselle-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1912-duroiselle1912-burmeseprosody-iii-pdf; collision_with=1912-94-burmese-prosody-charles-duroiselle
021102-47cd984de84e	021102.pdf	Burmese/Burma JBRS/JBRS Originals/021102.pdf	1912-hypnotism-burma-taw-sein-ko.pdf	data/working/ocr/jbrs/text/1912-hypnotism-burma-taw-sein-ko.txt	data/working/ocr/jbrs/metadata/1912-hypnotism-burma-taw-sein-ko.json	data_local/sources/jbrs_canonical_pdfs/1912-hypnotism-burma-taw-sein-ko.pdf	deferred_outside_phase1_scope	
022184-3fadd36c6f9f	022184.pdf	Burmese/Burma JBRS/JBRS Originals/022184.pdf	1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.pdf	data/working/ocr/jbrs/text/1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.txt	data/working/ocr/jbrs/metadata/1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.json	data_local/sources/jbrs_canonical_pdfs/1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko-scan-2.pdf	deferred_outside_phase1_scope	duplicate_of=1912-lacquerwarepagan-tawseinko1912-pdf; collision_with=1912-lacquerware-manufacture-pagan-it-is-not-known-when-taw-sein-ko
022240-6b134be892b8	022240.pdf	Burmese/Burma JBRS/JBRS Originals/022240.pdf	022240.pdf	data/working/ocr/jbrs/text/022240-6b134be892b8.txt	data/working/ocr/jbrs/metadata/022240-6b134be892b8.json		needs_manual_review	
031022-7823d225cfb2	031022.pdf	Burmese/Burma JBRS/JBRS Originals/031022.pdf	1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.pdf	data/working/ocr/jbrs/text/1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.txt	data/working/ocr/jbrs/metadata/1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.json	data_local/sources/jbrs_canonical_pdfs/1913-professor-pali-rangoon-college-24-abhisambodhi-alankara.pdf	deferred_outside_phase1_scope	
031078-057d650c3ea6	031078.pdf	Burmese/Burma JBRS/JBRS Originals/031078.pdf	1913-note-derivation-name-prome.pdf	data/working/ocr/jbrs/text/1913-note-derivation-name-prome.txt	data/working/ocr/jbrs/metadata/1913-note-derivation-name-prome.json	data_local/sources/jbrs_canonical_pdfs/1913-note-derivation-name-prome.pdf	deferred_outside_phase1_scope	
031080-d0cd762eff2d	031080.pdf	Burmese/Burma JBRS/JBRS Originals/031080.pdf	1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.pdf	data/working/ocr/jbrs/text/1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.txt	data/working/ocr/jbrs/metadata/1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.json	data_local/sources/jbrs_canonical_pdfs/1913-talaing-pegu-chronicle-edited-schmidt-styles-this-personagem-philip-de-brito.pdf	deferred_outside_phase1_scope	
032148-0c66971ba207	032148.pdf	Burmese/Burma JBRS/JBRS Originals/032148.pdf	1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.pdf	data/working/ocr/jbrs/text/1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.txt	data/working/ocr/jbrs/metadata/1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.json	data_local/sources/jbrs_canonical_pdfs/1913-professor-pali-rangoon-college-continued-last-number-66-abhisambodhi-ala-k-ra.pdf	deferred_outside_phase1_scope	
042144-09a12de35fb2	042144.pdf	Burmese/Burma JBRS/JBRS Originals/042144.pdf	1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.pdf	data/working/ocr/jbrs/text/1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.txt	data/working/ocr/jbrs/metadata/1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.json	data_local/sources/jbrs_canonical_pdfs/1914-144-alphabetum-barmanorum-carpani-melchior-alphabetum-barmanorum-seu-alphabetum-barmanorum.pdf	deferred_outside_phase1_scope	
