reference_id	target_review_status	local_file_id	match_status	match_confidence	match_basis	author_match	title_match	year_match	volume_issue_match	path_context_match	candidate_file_name	candidate_path_stub	next_action	notes
jbrs-target-0001	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0002	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0003	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0004	accepted	1932-burmadebttopagan-luce1932-pdf	multiple_candidates	medium	author, year	true	false	true	false	false	BurmaDebtToPagan-Luce1932.pdf	1932/BurmaDebtToPagan-Luce1932.pdf	Review multiple candidate local files before OCR.	Matches are computed only against clean article targets, not raw metadata fragments.
jbrs-target-0005	accepted	1936-prayersburma-luce1936-pdf	exact_or_near_exact_match	high	author, title, year	true	true	true	false	false	PrayersBurma-Luce1936.pdf	1936/PrayersBurma-Luce1936.pdf	Use this file for OCR or manual content review.	Matches are computed only against clean article targets, not raw metadata fragments.
jbrs-target-0006	needs_manual_bibliographic_review	1976-kamram-luce1976-pdf	needs_manual_review	low	author, year	true	false	true	false	false	Kamram-Luce1976.pdf	1976/Kamram-Luce1976.pdf	Review and clean the bibliographic target manually before using any candidate file for OCR.	Unresolved targets are retained as low-confidence review leads only.
jbrs-target-0007	accepted	1959-historyburma-thantun1959-pdf	multiple_candidates	medium	author, year	true	false	true	false	false	HistoryBurma-ThanTun1959.pdf	1959/HistoryBurma-ThanTun1959.pdf	Review multiple candidate local files before OCR.	Matches are computed only against clean article targets, not raw metadata fragments.
jbrs-target-0008	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0009	accepted	1911-cd-notebuddhismindochina-pdf	multiple_candidates	medium	title	false	true	false	false	false	CD-NoteBuddhismIndoChina.pdf	1911/CD-NoteBuddhismIndoChina.pdf	Review multiple candidate local files before OCR.	Matches are computed only against clean article targets, not raw metadata fragments.
jbrs-target-0010	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0011	parser_artifact		false_positive	low		false	false	false	false	false			Exclude this parser artifact or alias from automatic JBRS matching.	Parser-artifact or alias targets are retained for review provenance but do not feed automatic matching.
jbrs-target-0012	needs_manual_bibliographic_review	1921-chroniclletagaung-pemaungtinluce1921-pdf	needs_manual_review	low	author, title	true	true	false	false	false	ChroniclleTagaung_PeMaungTinLuce1921.pdf	1921/ChroniclleTagaung_PeMaungTinLuce1921.pdf	Review and clean the bibliographic target manually before using any candidate file for OCR.	Unresolved targets are retained as low-confidence review leads only.
jbrs-target-0013	needs_manual_bibliographic_review	143221-93af6e066a85	needs_manual_review	low	author, start-page	true	false	false	false	true	143221.pdf	Burmese/Burma JBRS/JBRS Originals/143221.pdf	Review and clean the bibliographic target manually before using any candidate file for OCR.	Unresolved targets are retained as low-confidence review leads only.
