target_reference_id	current_author	current_article_title	current_volume	current_issue	current_year	current_page_range	review_status	corrected_author	corrected_article_title	corrected_volume	corrected_issue	corrected_year	corrected_page_range	source_evidence_short	notes
jbrs-target-0001	U Hswai		48	2	1965	67	parser_artifact	U Hswai		48	2	1965	67	U Hswai, JBRS 48 (2), 1965, p. 67, no. 1 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0002	Charles Duroiselle		6		1916	88	parser_artifact	Charles Duroiselle		6		1916	88	Duroiselle, JBRS 6.2, 1916, p. 88 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1916, p. 88 volume_page series_level_resolved series series_level_match high A…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0003	Charles Duroiselle		D		1916	88	parser_artifact	Charles Duroiselle		D		1916	88	journalBurmaResearchSociety Journal of the Burma Research Society sf-jbrs Duroiselle, JBRS 6.2, 1916, p. 88 | Luce, Myanmar's Debt, JBRS 1932, p. 125 | Luce, Prayers, JBRS 1936, p. 135 | Luce/U Pe Maung Tin, JBRS 10 (2)…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0004	G. H. Luce	Myanmar's Debt			1932	125	accepted	G. H. Luce	Myanmar's Debt			1932	125	Luce, Myanmar's Debt, JBRS 1932, p. 125 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1932, p. 125 volume_page series_level_resolved series series_level_match…	Auto-generated review state for clean article targets.
jbrs-target-0005	G. H. Luce	Prayers			1936	135	accepted	G. H. Luce	Prayers			1936	135	Luce, Prayers, JBRS 1936, p. 135 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1936, p. 135 volume_page series_level_resolved series series_level_match high A…	Auto-generated review state for clean article targets.
jbrs-target-0006	G. H. Luce	U Than Tun			1976	135-7	needs_manual_bibliographic_review	G. H. Luce	U Than Tun			1976	135-7	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1976, p. 135-7 volume_page series_level_resolve…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0007	Than Tun	Religious Buildings			1959	74-5	accepted	Than Tun	Religious Buildings			1959	74-5	U Than Tun, Religious Buildings, JBRS 1959, p. 74-5 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 74-5 volume_page series_level_resolved series serie…	Auto-generated review state for clean article targets.
jbrs-target-0008	Than Tun				1959	77-79	parser_artifact	Than Tun				1959	77-79	U Than Tun, JBRS 1959, p. 77-79 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 77-79 volume_page series_level_resolved series series_level_match high…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0009	Than Tun	Buddhism			1978	130-3	accepted	Than Tun	Buddhism			1978	130-3	U Than Tun, Buddhism, JBRS 1978, p. 130-3 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 130-3 volume_page series_level_resolved series series_level_m…	Auto-generated review state for clean article targets.
jbrs-target-0010	Than Tun				1978	140	parser_artifact	Than Tun				1978	140	U Than Tun, JBRS 1978, p. 140 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 140 volume_page series_level_resolved series series_level_match high Arti…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0011	Than Tun				1978	15	parser_artifact	Than Tun				1978	15	U Than Tun, JBRS 1978, p. 15 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 15 volume_page series_level_resolved series series_level_match high Articl…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0012	U Pe Maung Tin	Luce	10	2	1920	67-74	needs_manual_bibliographic_review	U Pe Maung Tin	Luce	10	2	1920	67-74	Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publi…	Article title remains malformed or incomplete after cautious cleanup.
jbrs-target-0013	U Pe Maung Tin	PPA, (partly transl	25		1935	221	needs_manual_bibliographic_review	U Pe Maung Tin	PPA, (partly transl	25		1935	221	PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159) fam-ppa-catalogue sf-ppa ppaCatalogue work-ppa-catalogue ppaCatalogue 1935, p. 159 volume_page source_family_resolved source_family source_family_match…	Article title remains malformed or incomplete after cautious cleanup.
