reference_id	source_file	source_work_key_if_known	matched_reference_text_short	normalized_journal_title	volume	issue	year	page_range	author	article_title	inscription_or_topic_keywords	reference_confidence	needs_manual_bibliographic_cleanup	notes
jbrs-ref-0001	data/working/bibliography/bibtex_authority/source_work_authority.tsv:13		journalBurmaResearchSociety Journal of the Burma Research Society JBRS periodical periodical sf-jbrs JBRS series_authority Frasch 2018 Myanmar Epigraphy.pdf JBRS = Journal of the Burma Research Society journalBurmaResea…	Journal of the Burma Research Society			2018				ava	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0002	data/working/bibliography/bibtex_authority/bibliography_authority.bib:132		title = {Journal of the Burma Research Society},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0003	data/working/bibliography/bibtex_authority/bibliography_authority.bib:133		shorttitle = {JBRS},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0004	data/working/bibliography/bibtex_authority/bibliography_authority.bib:134		journal = {Journal of the Burma Research Society},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0005	data/working/bibliography/bibtex_authority/bibliography_authority.bib:138		evidence = {JBRS = Journal of the Burma Research Society},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0006	data/working/bibliography/bibtex_authority/bibliography_authority.bib:140		familyid = {fam-jbrs-publication},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0007	data/working/bibliography/bibtex_authority/bibliography_authority.bib:143		matchedlocalsourcefile = {Luce 1924 Countries Neighbouring Burma (JBRS).pdf},	Journal of the Burma Research Society			1924		G. H. Luce	.pdf},		high	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0008	data/working/bibliography/bibtex_authority/bibliography_authority.bib:147		sourcefamilyid = {sf-jbrs},	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0009	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:198		Duroiselle, JBRS 6.2, 1916, p. 88 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1916, p. 88 volume_page series_level_resolved series series_level_match high A…	Journal of the Burma Research Society			1916	88	Charles Duroiselle			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0010	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:199		Luce, Myanmar's Debt, JBRS 1932, p. 125 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1932, p. 125 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society			1932	125	G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0011	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:200		Luce, Prayers, JBRS 1936, p. 135 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1936, p. 135 volume_page series_level_resolved series series_level_match high A…	Journal of the Burma Research Society			1936	135	G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0012	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:201		Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publi…	Journal of the Burma Research Society			1920	67-74	U Pe Maung Tin			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0013	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:202		U Hswai, JBRS 48 (2), 1965, p. 67, no. 1 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		1	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0014	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:203		U Hswai, JBRS 48 (2), 1965, p. 67, no. 12 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_matc…	Journal of the Burma Research Society		12	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0015	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:204		U Hswai, JBRS 48 (2), 1965, p. 67, no. 2 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		2	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0016	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:205		U Hswai, JBRS 48 (2), 1965, p. 67, no. 3 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		3	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0017	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:206		U Hswai, JBRS 48 (2), 1965, p. 67, no. 4 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		4	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0018	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:207		U Hswai, JBRS 48 (2), 1965, p. 67, no. 5 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		5	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0019	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:208		U Hswai, JBRS 48 (2), 1965, p. 67, no. 6 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		6	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0020	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:209		U Hswai, JBRS 48 (2), 1965, p. 67, no. 7 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		7	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0021	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:210		U Hswai, JBRS 48 (2), 1965, p. 67, no. 8 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		8	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0022	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:211		U Hswai, JBRS 48 (2), 1965, p. 67, no. 9 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1965, p. 67 volume_page series_level_resolved series series_level_match…	Journal of the Burma Research Society		9	1965	67				low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0023	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:212		U Lu Pe Win, OBEP – A Radical Review, in JBRS fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety U Lu Pe Win, OBEP – A Radical Review, in JBRS unclear series_level…	Journal of the Burma Research Society								low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0024	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:213		U Than Tun, Buddhism, JBRS 1978, p. 130-3 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 130-3 volume_page series_level_resolved series series_level_m…	Journal of the Burma Research Society			1978	130-3	Than Tun			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0025	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:214		U Than Tun, JBRS 1959, p. 77-79 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 77-79 volume_page series_level_resolved series series_level_match high…	Journal of the Burma Research Society			1959	77-79	Than Tun			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0026	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:215		U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1976, p. 135-7 volume_page series_level_resolve…	Journal of the Burma Research Society			1976	135-7	G. H. Luce			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0027	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:216		U Than Tun, JBRS 1978, p. 140 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 140 volume_page series_level_resolved series series_level_match high Arti…	Journal of the Burma Research Society			1978	140	Than Tun			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0028	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:217		U Than Tun, JBRS 1978, p. 15 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1978, p. 15 volume_page series_level_resolved series series_level_match high Articl…	Journal of the Burma Research Society			1978	15	Than Tun			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0029	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:218		U Than Tun, Religious Buildings, JBRS 1959, p. 74-5 fam-jbrs-publication sf-jbrs journalBurmaResearchSociety work-jbrs-publication journalBurmaResearchSociety 1959, p. 74-5 volume_page series_level_resolved series serie…	Journal of the Burma Research Society			1959	74-5	Than Tun			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0030	data/working/bibliography/bibtex_authority/raw_reference_to_bibtex.tsv:1406		PPA, p. 221 (partly transl. U Pe Maung Tin, JBRS 25, 1935, p. 159) fam-ppa-catalogue sf-ppa ppaCatalogue work-ppa-catalogue ppaCatalogue 1935, p. 159 volume_page source_family_resolved source_family source_family_match…	Journal of the Burma Research Society			1935	221	U Pe Maung Tin			medium	false	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0031	data/working/bibliography/translation_source_discovery_plan.tsv:10		journalBurmaResearchSociety Journal of the Burma Research Society sf-jbrs periodical unknown unknown low medium JBRS is a series container rather than an identified article witness. Defer to later article-level discover…	Journal of the Burma Research Society							translation	low	true	Reference hunt derived from existing repository bibliography/workspace text.
jbrs-ref-0032	data/working/bibliography/local_sources/ocr_outputs/ocr_text_index.tsv:4		"centuryofprogress_luce1948-f1e3355883ba CenturyOfProgress_Luce1948.pdf pdftoppm+google-vision 16 line 711 line 713 explicit definition context ""48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, Unive…"	Journal of the Burma Research Society			1911		G. H. Luce	48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -	ava; pegu	high	false	Reference hunt derived from existing repository bibliography/workspace text.
