hit_id	local_file_id	batch_id	file_name	page_marker	hit_type	matched_marker	short_context	language_scope_guess	burmese_relevance_guess	priority	next_action	notes
jbrs-ocr-hit-0f13fe22a7	1911-chineseantiquitiespagan-tawseinko1911-pdf	jbrs-ocr-0689	ChineseAntiquitiesPagan-TawSeinKo1911.pdf	page 4	inscription_marker	inscription	ongol invasion of the 13th century is a bilingual inscription in Chinese and Mongol. Copyright 1998-Myanmar Book Centre & Book Promotion & Service Ltd,	mixed_or_uncertain	uncertain_needs_review	medium	Review OCR text for source-text boundaries and inscription linkage.	
jbrs-ocr-hit-ce8dbc8a2c	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 1	text_marker	text.	"ditor has kindly undertaken to write notes on the text. "" The first song is part of the prologue with which every Burmese play begins. The others"	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-85536809d6	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 1	translation_marker	translation	91 BURMESE SONGS. * The following translations of Burmese Songs, with the text in Roman character, are offered in the hope that some me	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-8bc329f20c	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 2	translation_marker	translation	TRANSLATION OF BURMESE SONGS. BY G, E. R. GRANT BROWN, I.C.S. PROLOGUE. Mingala ye hma. mandaing le Y	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-c97242ba55	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 3	translation_marker	translation	100 TRANSLATION OF BURMESE SONGS. O tan: yaung be s'aung bè အိုတမ်းယောင်ဘယ်ဆောင်ဘယ်ဆောင် s'aung Bè hma po	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-f4e9d49ceb	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 4	translation_marker	translation	TRANSLATION OF BURMESE SONGS. Tyaw. shin: ketha Thon: daung ga. tha th le le. Pădon: yaung mya. daung	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-70d46ee8c3	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	page 5	translation_marker	translation	102 TRANSLATION OF BURMESE SONGS. A LOVER'S LAMENT. Hard is my lot, and unassuaged my yearning. How have 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-b4c1d1da45	1911-haynes-paliliterature-1911-pdf	jbrs-ocr-0697	Haynes-PaliLiterature-1911.pdf	page 3	inscription_marker	inscription	 book. The list of Sanskrit works mentioned in an inscription of 1442 A. D., and given at the end of the volume, will have to be carefully revised, for	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-c2467e0ac9	1911-haynes-paliliterature-1911-pdf	jbrs-ocr-0697	Haynes-PaliLiterature-1911.pdf	page 3	text_marker	text.	 call Burma Jambudipa is a misapprehension of the text. In speaking of the author of the first Pali work in Burma (the Saddanīti), Mrs. Bode (p. 	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
jbrs-ocr-hit-5df33ca81e	1911-haynes-paliliterature-1911-pdf	jbrs-ocr-0697	Haynes-PaliLiterature-1911.pdf	page 3	translation_marker	translation	he books of the Khuddaka by a Pāli stanza and its translation, in which it is said that the Khud- daka has only 15 books. In several places Mrs. Bode t	Pali	pali_only_not_burmese_corpus_material	medium	Keep indexed as Pali-only until Burmese relevance is demonstrated.	
