tn_locator	possible_corpus_record_ids	possible_inscription_ids	translation_text_snippet	reason_uncertain	recommended_human_action	notes
TN 73-76			the musicians, and let the leader receive two baskets and the others one basket each. Let the four cymbal-players receive half basket each, the oldest drummer one basket, the oldest singer one basket, and let the other d	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate I; locator_pages=73,74,75,76; ocr_pages=86, 87, 88, 89; link_basis=
TN 76-79			"""After having preached to the assembly of nats in Tāvatimsā, the Buddha descended to this continent and preached several ser- mons to men, brahmas, ogres, nats, brahmins, nagās, elephants, and heretics who thought themse"	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate II; locator_pages=76,77,78,79; ocr_pages=89, 90, 91, 92; link_basis=
TN 66			"order that the produce might be utilized for the rice-offering at the pagoda. "" By virtue of this my meritorious deed, may I and my teachers, masters, friends, and relatives escape the miseries of life in the present and"	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate IV; locator_pages=66; ocr_pages=79; link_basis=
TN 66-67			"order that the produce might be utilized for the rice-offering at the pagoda. "" By virtue of this my meritorious deed, may I and my teachers, masters, friends, and relatives escape the miseries of life in the present and"	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate V; locator_pages=66,67; ocr_pages=79, 80; link_basis=
TN 70			No. (5). Locality. Within the porch of the Damayangyi pagoda. Date. 581 Sakkarâj (1219 A.D.). Founder. Kinmi Pèpo.* Substance of inscription.-Dedication of slaves to pagoda. ON Monday, the 3rd waxing of Thadingyut, 581 S	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate X a; locator_pages=70; ocr_pages=83; link_basis=
TN 70-71			No. (5). Locality. Within the porch of the Damayangyi pagoda. Date. 581 Sakkarâj (1219 A.D.). Founder. Kinmi Pèpo.* Substance of inscription.-Dedication of slaves to pagoda. ON Monday, the 3rd waxing of Thadingyut, 581 S	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate X b; locator_pages=70,71; ocr_pages=83, 84; link_basis=
TN 80 | TN 6			""" Representatives of my wife and of myself have thus been ap- pointed to minister to the pagoda. For performing this good deed with my wife, I pray that the king, ministers and nobles may always hold me in high esteem. M"	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate XV; locator_pages=6,80; ocr_pages=19, 93; link_basis=
TN 6			""" Representatives of my wife and of myself have thus been ap- pointed to minister to the pagoda. For performing this good deed with my wife, I pray that the king, ministers and nobles may always hold me in high esteem. M"	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate XVI; locator_pages=6; ocr_pages=19; link_basis=
TN 80-81			Reverse. Date. 558 Sakkaraj (1196 A.D.). Founder. Thakin Pwèthaung.* Substance of inscription.-Building of pagodas and dedication of slaves thereto. ON Tuesday, the 9th waning of Tawthalin, 558 Sakkaraj, Thakin Pwèthaung	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate XXXII; locator_pages=80,81; ocr_pages=93, 94; link_basis=
TN 81			Nga U Pi and wife O Wun Pa, son Nga U.Hla; Nga U Lôn and sister O Taung Do; Nga Chat and wife O U Ya, son Nga Tha Lôn, daughter O Let Swe; and Nga Ket. The following offerings were also made, namely, one brass pestle; on	IOB cross-reference row remains medium-confidence or requires manual review for linkage.	Compare TN page text with plate description and structured corpus references before integration.	iob_plate=Plate XXXVII; locator_pages=81; ocr_pages=94; link_basis=
