candidate_rank	candidate_corpus_record_id	candidate_inscription_id	candidate_source_file	candidate_title_or_label	candidate_language	candidate_location	candidate_references	matching_evidence	evidence_against	match_score	confidence	decision	notes
1	obi-v06-n0037-ob-p0145	37	data/release/corpus_release_v0_3/inscriptions.jsonl	ပုဂံရွှေစည်းခုံကျောက်စာ	Pali/Burmese	ပုဂံ ရွှေစည်းခုံဘုရားအတွင်းထပ် တံတိုင်းအတွင်း၊ အရှေ့မြောက် ထောင့်၌ရှိသည်။ ¤ pugaṃ rvhecaññʻḥkhuṃ pagoda thapʻ inner wall, northeast corner		CS 1147 = CE 1785; title/page metadata also expose 1147 and 1785 in the same record.	The title is Shwezigon, not Ananda Brick Monastery, and the donor/recipient/room-count profile does not match the article.	9	low	possible_link_needs_human_review	Strong chronology overlap only.
2	obi-v06-n0017-tx-p0056	17	data/release/corpus_release_v0_3/inscriptions.jsonl	ပုဂံရွှေစည်းခုံကျောက်စာ	Pali/Burmese	ပုဂံမြို့၊ ရွှေစည်းခုံဘုရားအတွင်းထပ်တံတိုင်းအတွင်း အရှေ့မြောက်ထောင့်ဂူ၌ရှိသည်။ ¤ pugaṃ town, rvhecaññʻḥkhuṃ pagoda thapʻ inner wall northeast thoṅɂʻgū	See OBI vol6 n°17 p56 for additional material.	Full transliteration contains uttan/sudhamm/magga/phala substrings that resemble the article’s vocabulary.	The inscription is a Shwezigon record, not an Ananda brick-monastery record; the title/location and article apparatus do not align.	8	low	possible_link_needs_human_review	Best phrase overlap, wrong monument.
3	obi-v06-n0026-ob-p0099	26	data/release/corpus_release_v0_3/inscriptions.jsonl	မဟာသိမ်တော်ကျောက်စာ (က)	Pali/Burmese	တံတားဦးမြို့နယ်၊ ကတို့ဆိပ်နှင့်ဆင်တဲရွာအကြားသိမ်ကျောင်း၌ရှိ ¤ taṃtāḥʔūḥ township, katuiɂchipʻnhaṅɂʻchaṅʻtai village ʔakrāḥsimʻkyoṅʻḥ	None	Full transliteration contains uttan/sudhamm/mahāthera/magga substrings.	Title, location, and monument type do not match the Ananda article.	8	low	possible_link_needs_human_review	Closest content overlap after 17.
4	obi-v01-n0191-ob-p0325	191	data/release/corpus_release_v0_3/inscriptions.jsonl	အမတ် သမန်ဘတြာ ကျောက်စာ	Pali/Burmese	Shin Pandaw temple (spelt pan-nobhurā: in the inscr.), Halin	BM1-72; List-30; BED B 447-1; List 30; OBI 1, p. 325; B 2, p. 72; MM 1, no. 15, p. 136; List 31; MM 1, no. 16, p. 140; another copy MM 4, no. 9, p. 44	Notes mention a big brick monastery, which is the closest monument phrase match.	Not Bagan/Ananda; the record is Halin and the rest of the content is unrelated to the Ananda donor/date formula.	7	low	reject_link	Context-only brick monastery phrase.
5	obi-v02-n0118-re-p0217	118	data/release/corpus_release_v0_3/inscriptions.jsonl	သူကြွယ် ငတိကျက်သက် ကျောက်စာ	Mixed Burmese/Pali	“a brick monastery within the walls of the Mingalazedi”, Bagan	IPPA-201; List-1254; IOB3-270; BED B 614-4; Pl. III 270; OBI 2, p. 217; List 1254; PPA, p. 201; TN, p. 96; U Min Hswe, no. 62	Contains the exact phrase “brick monastery” and is in Bagan.	The donor/date/profile and the version structure are unrelated to the Ananda article.	7	low	reject_link	Context-only Bagan monastery match.
6	obi-v01-n0095-re-p0142	95	data/release/corpus_release_v0_3/inscriptions.jsonl	ကြံသိုင်းကြီးသမီးကျောက်စာ	Pali/Burmese	“from the group of monasteries on the W bank of Shwe-chaung”, Wetkyi-in, Bagan	IPPA-58; List-191; IOB1-51; BED B 585-3; Pl. I 51; OBI 1, p. 142; UEM no. 21, p. 43; List 191; PPA, p. 98; TN, p. 28; U Min Hswe, no. 3	Contains sudhamm and Bagan/monastery context.	No Ananda title, no donor-name match, and no page/version crosswalk to P1/B1/P2/B2/A.	4	low	reject_link	Generic monastery overlap.
7	obi-v06-n0012-ob-p0022	12	data/release/corpus_release_v0_3/inscriptions.jsonl	နိဗ္ဗာန်ဆိပ်ဦးဘုရားကျောက်စာ (က)	Pali/Burmese	ရွှေဘိုမြို့ ¤ rvhebhui town	None	Contains uttan/sudhamm/magga substrings.	Shwebo context, not Bagan/Ananda; no article-specific donor or monastery markers.	2	low	reject_link	Only loose lexical overlap.
8	obi-v06-n0013-re-p0030	13	data/release/corpus_release_v0_3/inscriptions.jsonl	နိဗ္ဗာန်ဆိပ်ဦးဘုရားကျောက်စာ (ခ)	Pali/Burmese	ရွှေဘိုမြို့ ¤ rvhebhui town	None	Contains uttan/sudhamm/magga substrings.	Shwebo context, not Bagan/Ananda; no article-specific donor or monastery markers.	2	low	reject_link	Only loose lexical overlap.
9	obi-v06-n0014-ob-p0039	14	data/release/corpus_release_v0_3/inscriptions.jsonl	ဘုံစံတုလွတ်ကျောင်းကျောက်စာ (က)	Pali/Burmese	ရွှေဘိုမြို့၊ မဟာမုနိတံတိုင်းအတွင်း၌ ရှိသည်။ ¤ rvhebhui town, mahāmuni inner wall		Contains sudhamm and nibbana/magga substrings.	Shwebo/Mahāmuni context, not Ananda/Pagan brick monastery.	2	low	reject_link	Only loose lexical overlap.
10	obi-v01-n0170-re-p0289	170	data/release/corpus_release_v0_3/inscriptions.jsonl	သီရိမဟာဓမ္မရာဇပဏ္ဍိတ် ကျောက်စာ	Pali/Burmese	“from an Ok-kyaung 200 yds south of the Myazigon” (IMP 2129-37), Wet-kyi-in, Bagan	None	Contains uttan and nibbana substrings and an ok-kyaung mention.	The record is not the Ananda brick monastery article and lacks the article’s donor/date/version profile.	6	low	reject_link	Nearby monastery wording only.
