tn_locator	linked_corpus_record_id	linked_inscription_id	title_or_label	iob_plate	list_ref	ppa_ref	sip_ref	source_of_link	priority	notes
TN 100 101	obi-v01-n0097-tx-p0156	obi-v01-n0097	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	Plate LXXIV	List 121	PPA 217-218		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXIV.
TN 102-103	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVI	List 186	PPA 221-223		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVI.
TN 105	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVII	List 197	PPA 229-230		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVII.
TN 106	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVIII a	List 199	PPA 231-232		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXVIII a.
TN 107	obi-v01-n0128-ob-p0208	obi-v01-n0128	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	Plate LXXXIII	List 204	PPA 234		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXXIII.
TN 107-108	obi-v01-n0143-ob-p0240	obi-v01-n0143	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	Plate LXVIII	List 222	PPA 235-236		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXVIII.
TN 108 109	obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	Plate LXXIX b	List 223	PPA 237 238	SIP 42-44	inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LXXIX b.
TN 143	obi-v01-n0129-tx-p0209	obi-v01-n0129	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	Plate XCVIII	List 479	PPA 3ro	SIP 49-52	inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate XCVIII.
TN 27-28	obi-v01-n0057-ob-p0091	obi-v01-n0057	ကြံသိုင်းမယား ကျောက်စာ	Plate L	List 122	PPA 57		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate L.
TN 28	obi-v01-n0095-re-p0142	obi-v01-n0095	ကြံသိုင်းကြီးသမီးကျောက်စာ	Plate LI	List 19t	PPA 58		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate LI.
TN 28-29	obi-v01-n0169-ob-p0287	obi-v01-n0169	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	Plate XCIII	List 211	PPA 59-60		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate XCIII.
TN 65-66	obi-v01-n0021-ob-p0042	obi-v01-n0021	တိုင်းချွတ်ဘုရားကျောက်စာ	Plate VI	List 105	PPA 139 140		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate VI.
TN 69	obi-v01-n0070-ob-p0111	obi-v01-n0070	နားတောင်းသိခင်ကျောက်စာ	Plate XLI	List 179	PPA 149		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate XLI.
TN 70	obi-v01-n0081-ob-p0125	obi-v01-n0081	သမန္တသု မယားကျောက်စာ	Plate XLV	List 183	PPA 150		inscriptions_of_burma_cross_reference_index.tsv high-confidence plate-to-record concordance	high	Exact structured corpus plate citation resolved to OCRed Plate XLV.
TN 70-71	obi-v01-n0029-re-p0051	obi-v01-n0029	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	Plate X b	List 123 b	PPA 153-154	SIP 21	SIP 21 / IOB Plate X b source-text match, not prior corpus plate metadata	high	Cross-witness source-text match: SIP 21 and IOB Plate X b resolve to the West-face continuation on obi-v01-n0029-re-p0051, bounded here to No. (6) only; No. (5) remains the already integrated overlap.
