record_id	source_volume	source_inscription_number	source_page	face	title_original	source_file
obi-v01-n0100-ob-p0167	1	100	167	obverse	သင်ကြီး အို့သီသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No100__ob_p167.txt
obi-v01-n0101-ob-p0168	1	101	168	obverse	မန္တလေး နန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No101__ob_p168.txt
obi-v01-n0102-ob-p0169	1	102	169	obverse	အို့ဖ္လည်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No102__ob_p169.txt
obi-v01-n0103-ob-p0171	1	103	171	obverse	ရွှေဂူကြီးဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No103__ob_p171.txt
obi-v01-n0104-ob-p0172	1	104	172	obverse	မန္တလေးနန်းတွင်းရုံ ကျောက်တိုင်အမှတ် ၃၄ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No104__ob_p172.txt
obi-v01-n0105-ob-p0173	1	105	173	obverse	အရည် ငါစိုက်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No105__ob_p173.txt
obi-v01-n0106-ob-p0174	1	106	174	obverse	ဖုန်သည် သုခမိန် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No106__ob_p174.txt
obi-v01-n0107-ob-p0175	1	107	175	obverse	မင်းဖွားစောကြီး ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No107__ob_p175.txt
obi-v01-n0107-re-p0175	1	107	175	reverse	မင်းဖွားစောကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No107__re_p175.txt
obi-v01-n0108-tx-p0176	1	108	176	north	မဟာသေနာပတိ အနန္တသူရမောင်နှံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No108__no_p176.txt
obi-v01-n0109-ob-p0179	1	109	179	obverse	ရွှေပေါင်လောင်ဘုရားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No109__ob_p179.txt
obi-v01-n0010-ob-p0026	1	10	26	obverse	မဟာထေရ် နာဂသမိန်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No10__ob_p26.txt
obi-v01-n0110-ob-p0183	1	110	183	obverse	ငါမြတ်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No110__ob_p183.txt
obi-v01-n0111-re-p0184	1	111	184	reverse	ငါရသင်နှင့် နှောင်းအမိကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No111__re_p184.txt
obi-v01-n0112-ob-p0184	1	112	184	obverse	အရည် ငါစိုက်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No112__ob_p184.txt
obi-v01-n0113-ob-p0185	1	113	185	obverse	ငါတသင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No113__ob_p185.txt
obi-v01-n0114-ob-p0186	1	114	186	obverse	သိမ်တော်မင်းကျောင်းတွင်းရှိ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No114__ob_p186.txt
obi-v01-n0115-ob-p0187	1	115	187	obverse	မဟာရစ်ကိုယ်တော်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No115__ob_p187.txt
obi-v01-n0116-ob-p0188	1	116	188	obverse	အဖွါး အိုတန်လိုင်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No116__ob_p188.txt
obi-v01-n0117-ob-p0189	1	117	189	obverse	ငါကြိ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No117__ob_p189.txt
obi-v01-n0118-ob-p0190	1	118	190	obverse	ဖျက္ကသုကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No118__ob_p190.txt
obi-v01-n0119-ob-p0191	1	119	191	obverse	မန္တလေးနန်းတွင်းရုံကျောက်တိုင်အမှတ် ၄၀၃ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No119__ob_p191.txt
obi-v01-n0011-ob-p0027	1	11	27	obverse	ငါမင်က္လည်သင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No11__ob_p27.txt
obi-v01-n0120-ob-p0192	1	120	192	obverse	ကြသဝတ်ချွေးမကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No120__ob_p192.txt
obi-v01-n0121-tx-p0193	1	121	193	east	မဟာသေနာပတိ အနန္တသူရမောင်နှံ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No121__ea_p193.txt
obi-v01-n0121-tx-p0200	1	121	200	north	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No121__no_p200.txt
obi-v01-n0121-tx-p0198	1	121	198	south	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No121__so_p198.txt
obi-v01-n0121-tx-p0196	1	121	196	west	မဟာသေနာပတိ အနန္တသူရ မောင်နှံကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No121__we_p196.txt
obi-v01-n0122-re-p0200	1	122	200	reverse	ငါလာနှင့် အို့နူပ် အုန်လူဝ်တို့ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No122__re_p200.txt
obi-v01-n0123-ob-p0202	1	123	202	obverse	ယဥလင်မယားကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No123__ob_p202.txt
obi-v01-n0124-ob-p0203	1	124	203	obverse	အိုဖ္လည် အမိနှင့် မောင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No124__ob_p203.txt
obi-v01-n0125-ob-p0204	1	125	204	obverse	စတ္တလင်္ကသူငယ် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No125__ob_p204.txt
obi-v01-n0126-ob-p0205	1	126	205	obverse	ကံကုန်စခီသမီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No126__ob_p205.txt
obi-v01-n0126-re-p0206	1	126	206	reverse	ကံကုန်စခီသမီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No126__re_p206.txt
obi-v01-n0127-ob-p0206	1	127	206	obverse	သင်ကြီး ငါပုံသင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No127__ob_p206.txt
obi-v01-n0128-ob-p0208	1	128	208	obverse	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No128__ob_p208.txt
obi-v01-n0129-tx-p0209	1	129	209	west	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No129__we_p209.txt
obi-v01-n0012-ob-p0029	1	12	29	obverse	အထောလတ်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No12__ob_p29.txt
obi-v01-n0012-re-p0030	1	12	30	reverse	အထောလတ်ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No12__re_p30.txt
obi-v01-n0130-ob-p0211	1	130	211	obverse	သိခင် ငစွယ်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No130__ob_p211.txt
obi-v01-n0131-ob-p0212	1	131	212	obverse	သင်ကြီးကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No131__ob_p212.txt
obi-v01-n0132-ob-p0213	1	132	213	obverse	မင်းဖွါး ဘို့ရောက်လွယ်သင် ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No132__ob_p213.txt
obi-v01-n0133-ob-p0214	1	133	214	obverse	သခိင် အနန္တပျံခိ ကျောက်စာ	OBI_Corpus_Vol1/OBI_Vol1_No133__ob_p214.txt
