candidate_id	acronym	raw_context_before	match_text	raw_context_after	source_location_hint	looks_like_definition	looks_like_usage	confidence	notes
bagan_epig_database-c4cfc990741f:a:context1	A	Bagan Epigraphic Database (BED) P	A	RT A: Fragments and Inscriptions with Uncertain Dates Number: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 2	context hit 1	false	true	low	
bagan_epig_database-c4cfc990741f:a:context2	A	Bagan Epigraphic Database (BED) PART	A	: Fragments and Inscriptions with Uncertain Dates Number: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (	context hit 2	false	true	low	
bagan_epig_database-c4cfc990741f:a:context3	A	Bagan Epigraphic Database (BED) PART A: Fragments and Inscriptions with Uncertain Dates Number:	A	Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (S face) References: Pl. I 9b = Luce/U Pe Maung Tin, BBHC 3,	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:a:context4	A	rences: Pl. I 9b = Luce/U Pe Maung Tin, BBHC 3, p. xxx Remarks: fragment; reverse (Pl. I 9a) dated CS 555/1193, in different hand Number:	A	Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ Ramana Saṅ and Uttamaṅgala Contents: ded. of 48 serfs and 22 pay Location: Kazun-o temple (IMP 781),	context hit 4	false	true	low	
bagan_epig_database-c4cfc990741f:arasi:context1	ARASI	“from a field SE of Nagayon tem- ple”, Myinkaba, Bagan; Bagan Museum sto- ne 134 References: Pl. II 110 = OBI 1, p. 324 = UEM no. 2, p. 2;	ARASI	1930-34, p. 190 Remarks: copy?; spelling more modern than date would allow Number: B 444-1 Date: CS 444 = CE 1082 Donor: king Kyanzittha	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:arasi:context2	ARASI	ngpyon,; Man- dalay Palace stone 4 References: List 50 a+b = OBI 1, p. 331 = SIP no. 4, p. 4 = A, p. 19 = TN, p. = MP 1, p. 5; Duroiselle,	ARASI	1912, p. 149-51 (Hle- daung inscr.) Remarks: copy; continuation on reverse: MP 1, p. 9 Number: B 474-1 Date: AB 1628 = CE 1084 plus 28 ye	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:arasi:context3	ARASI	four stupas Location: “from a field SE of Nagayon temple”, Myinkaba, Bagan; Bagan Museum stone 135 References: Pl. II 112 = OBI 1, p. 336;	ARASI	1930-34, p. 190 Remarks: see obverse Pl. II 111; definitely ori- ginal, but very likely date later rewritten Number: B 486-1 Date: CS 486	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:arasi:context4	ARASI	ied Location: Ye-U monastery, Thawtapan village; Sagaing Htupayon stone 58b References: Pl. IV 365a = OBI 1, p. 342 = Htu- payon 2, p. 183;	ARASI	1936-37, p. 114; U Nyein Maung, She-haung … Pancama-twe Nauk-hset-twe, p. 1 Remarks: very likely a copy; reverse dated CS 704/1342 Number	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:b:context1	B		B	agan Epigraphic Database (BED) PART A: Fragments and Inscriptions with Uncertain Dates Number: A Date: ? Donor: ? Contents: nachtragen L	context hit 1	false	true	low	
bagan_epig_database-c4cfc990741f:b:context2	B	Bagan Epigraphic Database (	B	ED) PART A: Fragments and Inscriptions with Uncertain Dates Number: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace	context hit 2	false	true	low	
bagan_epig_database-c4cfc990741f:b:context3	B	umber: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (S face) References: Pl. I 9b = Luce/U Pe Maung Tin,	B	BHC 3, p. xxx Remarks: fragment; reverse (Pl. I 9a) dated CS 555/1193, in different hand Number: A Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ R	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:b:context4	B	mber: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (S face) References: Pl. I 9b = Luce/U Pe Maung Tin, B	B	HC 3, p. xxx Remarks: fragment; reverse (Pl. I 9a) dated CS 555/1193, in different hand Number: A Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ Ra	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:bbhc:context1	BBHC	umber: A Date: ? Donor: ? Contents: nachtragen Location: ?; Mandalay Palace stone 291 (S face) References: Pl. I 9b = Luce/U Pe Maung Tin,	BBHC	3, p. xxx Remarks: fragment; reverse (Pl. I 9a) dated CS 555/1193, in different hand Number: A Date: ? Donor: Ṅā Chuṁ Sā Saṅ, saṁbeṅ Rama	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:bbhc:context2	BBHC	. 159 = TN, p. 73; Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin,	BBHC	1 (1), 1960, p. 1-28; Ray, Theravada Buddhism, p. 108; OR 3475, no. 18 Remarks: - Number: B 494-1 Date: CS 494 = CE 1132 Donor: king Sit	context hit 2	false	true	low	
bagan_epig_database-c4cfc990741f:bbhc:context3	BBHC	ation: Myingondaing; Mandalay Palace sto- ne 14 References: Pl. I 3 = OBI 1, p. 26 = List 72 = MP 1, p. 25 = A, p. 27; Luce/U Pe Maung Tin,	BBHC	1 (2), 1960, p. 231-7 Remarks: - Number: B 512-3 Date: CS 512 = CE 1150 Donor: king Sithu Contents: constr. of temple Location: Abhaya-	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:bbhc:context4	BBHC	u References: Pl. I 4-5 = OBI 1, p. 29 = SIP no. 8, p. 13 = UEM no. 5, p. 9 = List 81a+b = PPA, p. 141-2 = TN, p. 66; Luce/ U Pe Maung Tin,	BBHC	1 (2); 1960, p. 241 Remarks: - Number: B 529-1 Date: CS 529 = CE 1167 Donor: ? Contents: ded. of serfs on two occasions Location: Nga Tay	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:eb:context1	EB	1323), Myinkaba, Bagan; in situ and Bagan Museum stone 10 (old) and 47 (new) References: Pl. IV 364a+b = OBI 1, p. 1+4 = UEM no. 3, p. 3 =	EB	1 (1), 1919, p. 1 = List 51+52 = TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10; U Pe Maung Tin,	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:eb:context2	EB	nces: OBI 1, p. 265 = List 229 = UB 1, p. 191; picture (ArchDept) on file Remarks: “probably an old copy of a Bagan in- scription” (Luce, EL	EB	, p. 325, fn. 95); 2nd date (597) seems to be a writer’s slip for 595 as year name agrees with latter date Number: B 597-9 Date: CS 597 =	context hit 2	false	true	low	
bagan_epig_database-c4cfc990741f:eb:context3	EB	P no. 24, p. 49 = UEM no. 35, p. 95 = List 235a+b = UB 1, p. 195; U Than Tun, JBRS 1959, p. 77-79; U Than Tun, JBRS 1976, p. 135-7, Luce, EL	EB	, JBRS 1940, p. 327-8; U Min Hswe, no. 77 Remarks: partly illegible Number: B 598-10 Date: CS 598 = CE 1236 (CS 590 = CE 1228 and CS 597 =	context hit 3	false	true	low	
bagan_epig_database-c4cfc990741f:eb:context4	EB	ion: Shwezigon, Bagan,; in situ References: Pl. II 176b = OBI 2, p. 155 = List 283 = PPA, p. 9 = TN, p. 1 Remarks: upper part is Mon inscr.	EB	3, pt. 1, no. X Number: B 612-1 Date: CS 612 = CE 1250 Donor: rich person Ṅā Phun Chuṁ Saṅ and wife Contents: constr. of monastery and de	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:jbrs:context1	JBRS	ed. of serfs Location: Shinbin-settawya temple, Nyisu vill., Sale distr.; in situ References: OBI 1, p. 304; RDASB 1961, p. 14- 5; U Hswai,	JBRS	48 (2), 1965, p. 67, no. 9 Remarks: fragmentary Number: A Date: ? Donor: ? Contents: ? Location: “from a sima 500 ft. southeast of the Dh	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:jbrs:context2	JBRS	ents: ded. of serfs to a temple Location: Nga-man-aung temple between Ye- lay and Nyisu villages, Sale distr.; in situ References: U Hswai,	JBRS	48 (2), 1965, p. 67, no. 11 Remarks: fragmentary Number: A Date: ? Donor: ? Contents: a lawsuit ? Location: Nwahtein temple (near Alopyi	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:jbrs:context3	JBRS	-gyi temple (IMP 1589). Pa- gan; in situ References: Pl. I 1+2 = OBI 1, p. 11 = List 66 a+b = PPA, p. 159 = TN, p. 73; Luce/U Pe Maung Tin,	JBRS	10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28; Ray, Theravada Bu	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:jbrs:context4	JBRS	: Pl. I 1+2 = OBI 1, p. 11 = List 66 a+b = PPA, p. 159 = TN, p. 73; Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in	JBRS	22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28; Ray, Theravada Buddhism, p. 108; OR 3475, no. 18 Remarks: - Numbe	context hit 4	false	true	low	
bagan_epig_database-c4cfc990741f:jras:context1	JRAS	1, p. 1+4 = UEM no. 3, p. 3 = EB 1 (1), 1919, p. 1 = List 51+52 = TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden,	JRAS	1909, p. 10; U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33; U Tha Myat, The Pali Ver- sion of the	context hit 1	false	true	low	
bagan_epig_database-c4cfc990741f:jras:context2	JRAS	Sri Lanka to Bagan to propagate Bud- dhism at Bagan Location: near Tamani (IMP 1113), Bagan; now in museum store ? References: Goonatilake,	JRAS	SL 2009, p. 95; picture in file (2013) Remarks: found in 2000; Pali ! date (line 27) possibly reads 1811 = 1267 Number: B 633-1 Date: CS 5	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:list:context1	List	ntents: ded. of 48 serfs and 22 pay Location: Kazun-o temple (IMP 781), East Phwazaw, Bagan; in situ References: Pl. I 25 = OBI 2, p. 165 =	List	1299a Remarks: reverse (Pl. I 26) dated CS 615/ 1253, but in different hand Number: A Date: ? Donor: illeg., Ṅā Pan Cat Saṅ et al. Conten	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:list:context2	List	eg., Ṅā Pan Cat Saṅ et al. Contents: ded. of serfs and fields Location: ?; Mandalay Palace stone 38 References: Pl. I 30b = OBI 2, p. 189 =	List	169b = A, p. 56 Remarks: obverse (Pl. I 30a) dated CS 619/ 1257 Number: A Date: CS 560 = CE 1198; CS 580 = CE 1218; CS 582 = CE 1220 (OBI	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:list:context3	List	ahathi-kyaung, about a mile S of Bagan” = Kubyauk-nge (IMP 1391), Bagan; in situ References: Pl. I 63 = OBI 1, p. 129 = UEM no. 26, p. 49 =	List	185 = PPA, p. 212 = TN, p. 98 Remarks: reverse dated CS 585/1223; if (a) and (b) are separate deds., the first date should be later than 12	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:list:context4	List	ded. of serfs and articles of daily use Location: ?; Mandalay Palace stone 475b References: Pl. II 135b and Pl. V 602c = OBI 2, p. 11-13 =	List	not identified Remarks: names and spelling suggest a date around 1220 CE; reverse (Pl. II 135a) dated CS 601/1239 Number: A Date: ? Donor	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:luced:context1	Luce D	monastery (and ded. of fields ?) Location: Nga Myagyi vill., Sagaing; Manda- lay Palace stone 337 References: Pl. V 581a = List 1406 =	Luce D	825 Remarks: 17 lines; more legible than what I have so far; “may well date from end of Bagan period” (Luce) Number: A Date: Donor: ?	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:luced:context2	Luce D	te: ? Donor: ? Contents: two imprecations Location: ?; Mandalay Palace stone 432 References: Pl. V 599a-b = List 1445-1446 = A, p. 591-2 =	Luce D	835 Remarks: “old square letters, may well date from Pagan period” (Luce) Number: A Date: Donor: wife of ? Contents: ded. of serfs Loca	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:luced:context3	Luce D	his disciple Location: very likely Bagan; Mandalay Palace stone 416 References: Pl. V 597a-b = OBI 1, p. 175 = List 1388a+b = A, p. 532 =	Luce D	809 Remarks: date could also read CS 547/1185 Number: B 587-3 Date: CS 576 = CE 1214; CS 585 = CE 1223; CS 587 = CE 1225 Donor: minister	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:luced:context4	Luce D	d. of 2 cows to the northern stupa Location: ?; Mandalay Palace stone 380b References: Pl. V 578a = OBI 2, p. 175 = List 1368 = A, p. 510 =	Luce D	795 Remarks: reverse is List 1366 and “probably from later period” (Luce, IB) Number: B 617-1 Date: CS 617 = CE 1255 Donor: Cakhī-puil Co	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:lucej:context1	Luce J	umber: A Date: ? Donor: ? Contents: ded. of fields, perhaps a law suit (?) Location: ?; Mandalay Palace stone 559 References: Pl. V 567b =	Luce J	2509 Remarks: “old, probably Bagan period” (Luce); reverse/continuation of a stone which is missing Number: A Date: CS (581) = CE 1219 (O	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:lucej:context2	Luce J	period” (Luce) Number: A Date: Donor: wife of ? Contents: ded. of serfs Location: ?; Mandalay Palace stone 581 References: Pl. V 599c =	Luce J	2493 Remarks: “probably Bagan period” (Luce) Number: A Date: Donor: ? Contents: dedication and sale (?) Location: ?; Mandalay Palace sto	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:lucej:context3	Luce J	ns “sakhaṅ Cesu maṅ-kri” Number: A Date: ? Donor: ? Contents: ded. of serfs (?) Location: Bagan?; Mandalay Palace stone 601 References:	Luce J	2507 Remarks: two-sided fragment, “date c. CS 650-750” (Luce); probably different hand- writing on reverse Number: A Date: ? Donor: ? Co	context hit 3	true	false	medium	
bagan_epig_database-c4cfc990741f:lucej:context4	Luce J	ts: probably a law suit held at the ‘varie- gated hall’ Location: Lemyethna complex, Minnanthu, Bagan; in situ (inscr. shed) ? References:	Luce J	2625 Remarks: fragmentary inscr. in two parts writt- en on obverse and side of stone; “clear regu- lar hand of Bagan period (latter half)”	context hit 4	true	false	medium	
bagan_epig_database-c4cfc990741f:mm:context1	MM	ginating from the Anantathu mon. at Salin; there is a Taungdwin-mingyi in l. 3, so it will have to be post-Bagan; copy dated CS 547/1185 (=	MM	3, no. 2, p. 6) Number: A Date: ? Donor: a woman Contents: ded. of serfs Location: Bagan; Bagan Museum stone 23 References: Pl. III 312a+	context hit 1	true	false	medium	
bagan_epig_database-c4cfc990741f:mm:context2	MM	kings Alaungsithu and Narapati Location: Mahapeinne temple, Malun; Manda- lay Mahamuni nos. 137 and 800 References: List 1 = B 2, p. 633 =	MM	1, no. 1, p. 1; List 16 = B 2, p. 528 = MM 1, no. 6, p. 43 (dated CS 416/1054) Remarks: copy Nochmal ansehen ob Datum 1054 Number: B 378-	context hit 2	true	false	medium	
bagan_epig_database-c4cfc990741f:mm:context3	MM	ahapeinne temple, Malun; Manda- lay Mahamuni nos. 137 and 800 References: List 1 = B 2, p. 633 = MM 1, no. 1, p. 1; List 16 = B 2, p. 528 =	MM	1, no. 6, p. 43 (dated CS 416/1054) Remarks: copy Nochmal ansehen ob Datum 1054 Number: B 378-1 Date: CS 378 = CE 1016 Donor: king Anawra	context hit 3	true	false	medium	
