candidate_id	file_name	original_path	copied_path	file_type	sha256	size	match_reason	probable_role	extraction_status	notes
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	data/local/bibliography_sources/bagan_epig_database-c4cfc990741f/Bagan Epig Database.doc	data/local/bibliography_sources/bagan_epig_database-c4cfc990741f/Bagan Epig Database.doc	doc	c4cfc990741f133430be72befe492e0dfff950a0eb72e3fd641420fa48cb0187	3609527	matched Bagan Epigraphic Database title	bagan_epig_database	extracted	
bibliographic_information_for_the_burmes-105861edb8fa	Bibliographic Information for the Burmese Inscription Volumes.docx	data/local/bibliography_sources/bibliographic_information_for_the_burmes-105861edb8fa/Bibliographic Information for the Burmese Inscription Volumes.docx	data/local/bibliography_sources/bibliographic_information_for_the_burmes-105861edb8fa/Bibliographic Information for the Burmese Inscription Volumes.docx	docx	105861edb8faf0f6c2466e32f3cd3060567d5d7eb1b69f05ca760df8aee4fe82	82813	matched corpus documentation keywords	corpus_documentation	extracted	
bibliographic_information_for_the_burmes-09bb906687e3	Bibliographic Information for the Burmese Inscription Volumes.pdf	data/local/bibliography_sources/bibliographic_information_for_the_burmes-09bb906687e3/Bibliographic Information for the Burmese Inscription Volumes.pdf	data/local/bibliography_sources/bibliographic_information_for_the_burmes-09bb906687e3/Bibliographic Information for the Burmese Inscription Volumes.pdf	pdf	09bb906687e3fdddbe7a543ebe36bf5c9d8174e9b7a623f4217846f197105c6a	73078	matched corpus documentation keywords	corpus_documentation	extracted	
bibliographic_information_vol_1_2-a8236fd175a0	Bibliographic information vol 1 & 2.docx	data/local/bibliography_sources/bibliographic_information_vol_1_2-a8236fd175a0/Bibliographic information vol 1 & 2.docx	data/local/bibliography_sources/bibliographic_information_vol_1_2-a8236fd175a0/Bibliographic information vol 1 & 2.docx	docx	a8236fd175a05db66c8d6dfaedc145d0fa62db0725377cae68b4419ca7f96ca4	43402	matched corpus documentation keywords	corpus_documentation	extracted	
richardson_1985_a_corpus_of_early_tibeta-c9c375c11ff6	Richardson 1985 A Corpus of Early Tibetan Inscriptions.pdf	data/local/bibliography_sources/richardson_1985_a_corpus_of_early_tibeta-c9c375c11ff6/Richardson 1985 A Corpus of Early Tibetan Inscriptions.pdf	data/local/bibliography_sources/richardson_1985_a_corpus_of_early_tibeta-c9c375c11ff6/Richardson 1985 A Corpus of Early Tibetan Inscriptions.pdf	pdf	c9c375c11ff6823517d45b42d52f1ee93f25c1e64eb7b6bf23960d0d45db47e7	7358014	matched corpus documentation keywords	corpus_documentation	extracted	
frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	data/local/bibliography_sources/frasch_1994_dhammasats-3b10d0daddfc/Frasch 1994 dhammasats.pdf	data/local/bibliography_sources/frasch_1994_dhammasats-3b10d0daddfc/Frasch 1994 dhammasats.pdf	pdf	3b10d0daddfcb361dd1484ab5e10ba5be57701566031d1c1095cce97f37af530	887067	matched Frasch Pagan/Stadt-und-Staat title	frasch_stadt_und_staat	ocr_needed	text extraction returned no content
frasch_2004_measuring_burmese_soil-5c898fbdb590	Frasch 2004 Measuring Burmese Soil.pdf	data/local/bibliography_sources/frasch_2004_measuring_burmese_soil-5c898fbdb590/Frasch 2004 Measuring Burmese Soil.pdf	data/local/bibliography_sources/frasch_2004_measuring_burmese_soil-5c898fbdb590/Frasch 2004 Measuring Burmese Soil.pdf	pdf	5c898fbdb59041009b41ba78795866c4473de45dd7c37a30c37dd747f5cc6774	1065155	matched Frasch Pagan/Stadt-und-Staat title	frasch_stadt_und_staat	ocr_needed	text extraction returned no content
frasch_2005_inscriptions_of_bagan-03a3dbf37607	Frasch 2005 Inscriptions of Bagan.pdf	data/local/bibliography_sources/frasch_2005_inscriptions_of_bagan-03a3dbf37607/Frasch 2005 Inscriptions of Bagan.pdf	data/local/bibliography_sources/frasch_2005_inscriptions_of_bagan-03a3dbf37607/Frasch 2005 Inscriptions of Bagan.pdf	pdf	03a3dbf37607735ac266711b8375fa6558f1777135be1cabe3190d853740da0d	850098	matched Frasch Pagan/Stadt-und-Staat title	frasch_stadt_und_staat	extracted	
frasch_2013_buddha_image-9c76c261c5fe	Frasch 2013 Buddha image.pdf	data/local/bibliography_sources/frasch_2013_buddha_image-9c76c261c5fe/Frasch 2013 Buddha image.pdf	data/local/bibliography_sources/frasch_2013_buddha_image-9c76c261c5fe/Frasch 2013 Buddha image.pdf	pdf	9c76c261c5fec3a332b2c1187b114d8116fd660dab218557a1e87b8d1dac554e	2782032	matched Frasch Pagan/Stadt-und-Staat title	frasch_stadt_und_staat	extracted	
frasch_2018_myanmar_epigraphy-f41478fe018f	Frasch 2018 Myanmar Epigraphy.pdf	data/local/bibliography_sources/frasch_2018_myanmar_epigraphy-f41478fe018f/Frasch 2018 Myanmar Epigraphy.pdf	data/local/bibliography_sources/frasch_2018_myanmar_epigraphy-f41478fe018f/Frasch 2018 Myanmar Epigraphy.pdf	pdf	f41478fe018faad0b6128477a37cf55f6b6d9f8c8eb119ee20dad57527c8814b	8251415	matched Frasch Pagan/Stadt-und-Staat title	frasch_stadt_und_staat	extracted	
