candidate_id	match_type	name	original_path	file_type	file_size	modified_time	sha256	probable_relevance	copy_status	copied_path	extraction_status	notes
bagan_epig_database-c4cfc990741f	file_name	Bagan Epig Database.doc	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Bagan Epig Database.doc	doc	3609527	1413345984.0	c4cfc990741f133430be72befe492e0dfff950a0eb72e3fd641420fa48cb0187	high	reused_existing	data/local/bibliography_sources/bagan_epig_database-c4cfc990741f/Bagan Epig Database.doc	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_1996_pagan_stadt_und_staat_englis-6343bb0d00bb	file_name	Frasch-1996-Pagan-Stadt-und-Staat-(EnglishTransalation).pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 1996/Frasch-1996-Pagan-Stadt-und-Staat-(EnglishTransalation).pdf	pdf	330250266	1412765584.0	6343bb0d00bb3d5f07b0aa65575c1a80f89f43d1e03200dd028d045012bbb6b0	medium	reused_existing	data/local/bibliography_sources/frasch_1996_pagan_stadt_und_staat_englis-6343bb0d00bb/Frasch-1996-Pagan-Stadt-und-Staat-(EnglishTransalation).pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_1996_pagan_machineenglishtranslat-6f1791859aa4	file_name	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 1996/Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	pdf	1420125	1412765025.0	6f1791859aa47dbf74463e3c58ef48a6b8369bbb741297214cd3f9ed7b764cb4	medium	reused_existing	data/local/bibliography_sources/frasch_1996_pagan_machineenglishtranslat-6f1791859aa4/Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_1996_pagan_city_and_state_english-88efaacedea6	file_name	Frasch-1996-Pagan-City and State-English-30MB.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 1996/Frasch-1996-Pagan-City and State-English-30MB.pdf	pdf	32201587	1268389206.0	88efaacedea63e6de9fe244c00eb9df11092f08784c866aff4429ff0d95a203d	medium	reused_existing	data/local/bibliography_sources/frasch_1996_pagan_city_and_state_english-88efaacedea6/Frasch-1996-Pagan-City and State-English-30MB.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_three_pagan_inscriptions-81f9fa6e9407	file_name	Frasch Three pagan inscriptions.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch Three pagan inscriptions.pdf	pdf	5247132	1439062573.0	81f9fa6e940725d6b1ec7b041fa8a3eabe3954a5b6b50e3cec18cc6f6174ff7e	medium	reused_existing	data/local/bibliography_sources/frasch_three_pagan_inscriptions-81f9fa6e9407/Frasch Three pagan inscriptions.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_pyu_handlist-6b71d0f8bfb8	file_name	Frasch Pyu handlist.pdf	OBI_LIBRARY_ROOT:Thematic/lg families/Trans-Himalyan/Pyu/Frasch Pyu handlist.pdf	pdf	6763149	1396288031.0	6b71d0f8bfb87ce78511be44cd46a84a23e1f2fe1ffb7f97784bc276f88eb6dc	medium	reused_existing	data/local/bibliography_sources/frasch_pyu_handlist-6b71d0f8bfb8/Frasch Pyu handlist.pdf	pending	
frasch_2018_myanmar_epigraphy-f41478fe018f	file_name	Frasch 2018 Myanmar Epigraphy.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 2018 Myanmar Epigraphy.pdf	pdf	8251415	1580152031.0	f41478fe018faad0b6128477a37cf55f6b6d9f8c8eb119ee20dad57527c8814b	medium	reused_existing	data/local/bibliography_sources/frasch_2018_myanmar_epigraphy-f41478fe018f/Frasch 2018 Myanmar Epigraphy.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_2013_buddha_image-9c76c261c5fe	file_name	Frasch 2013 Buddha image.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 2013 Buddha image.pdf	pdf	2782032	1439066034.0	9c76c261c5fec3a332b2c1187b114d8116fd660dab218557a1e87b8d1dac554e	medium	reused_existing	data/local/bibliography_sources/frasch_2013_buddha_image-9c76c261c5fe/Frasch 2013 Buddha image.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_2005_inscriptions_of_bagan-03a3dbf37607	file_name	Frasch 2005 Inscriptions of Bagan.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 2005 Inscriptions of Bagan.pdf	pdf	850098	1486383152.0	03a3dbf37607735ac266711b8375fa6558f1777135be1cabe3190d853740da0d	medium	reused_existing	data/local/bibliography_sources/frasch_2005_inscriptions_of_bagan-03a3dbf37607/Frasch 2005 Inscriptions of Bagan.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_2004_measuring_burmese_soil-5c898fbdb590	file_name	Frasch 2004 Measuring Burmese Soil.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 2004 Measuring Burmese Soil.pdf	pdf	1065155	1279298634.0	5c898fbdb59041009b41ba78795866c4473de45dd7c37a30c37dd747f5cc6774	medium	reused_existing	data/local/bibliography_sources/frasch_2004_measuring_burmese_soil-5c898fbdb590/Frasch 2004 Measuring Burmese Soil.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
frasch_1994_dhammasats-3b10d0daddfc	file_name	Frasch 1994 dhammasats.pdf	OBI_AUTHOR_ALPHA_ROOT:Frasch, Tilmans/Frasch 1994 dhammasats.pdf	pdf	887067	1279618260.0	3b10d0daddfcb361dd1484ab5e10ba5be57701566031d1c1095cce97f37af530	medium	reused_existing	data/local/bibliography_sources/frasch_1994_dhammasats-3b10d0daddfc/Frasch 1994 dhammasats.pdf	pending	Collapsed 1 duplicate path(s) by SHA-256.
