source_file_id	source_file_label	reason_ocr_needed	priority	priority_reason	target_acronyms	expected_value	notes
a1_editorial_luce1924-099d53582376	A1-Editorial-Luce1924.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
a5_countriesneighbouringburma2_luce_ref_-c1353abdc155	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
burmatofallofpagan_luce1939-b89e7b3d7dc1	BurmaToFallOfPagan-Luce1939.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
centuryofprogress_luce1948-f1e3355883ba	CenturyOfProgress_Luce1948.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	text extraction returned no content	high	core documentary witness for explicit acronym definitions	PPA, IPPA, UEM, SIP, MP, UB, MM, OR, TN, RDASB, BBHC	explicit abbreviation list, bibliography heading, or source-list entry	
frasch_2004_measuring_burmese_soil-5c898fbdb590	Frasch 2004 Measuring Burmese Soil.pdf	text extraction returned no content	high	core documentary witness for explicit acronym definitions	PPA, IPPA, UEM, SIP, MP, UB, MM, OR, TN, RDASB, BBHC	explicit abbreviation list, bibliography heading, or source-list entry	
frasch_three_pagan_inscriptions-81f9fa6e9407	Frasch Three pagan inscriptions.pdf	text extraction returned no content	high	core documentary witness for explicit acronym definitions	PPA, IPPA, UEM, SIP, MP, UB, MM, OR, TN, RDASB, BBHC	explicit abbreviation list, bibliography heading, or source-list entry	
luce_1924_countries_neighbouring_burma_j-056f581dfe61	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	Luce 1928 inscriptions of Pagan.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1932_names_of_pyu-95a665d52663	Luce 1932 Names of Pyu.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1937_ancient_pyu-6a948eb3f6cc	Luce 1937 Ancient Pyu.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1959_chin-a957a41dee46	Luce 1959 chin.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1974_advent_of_buddhism-162815c03f4f	Luce 1974 Advent of Buddhism.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1976_sources_of_early_burma_history-4e7c374ffbe5	Luce 1976 Sources of Early Burma History.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_1985_phases_of_pre_pagan_burma_2_pl-dccd1e43c654	Luce 1985 Phases of Pre Pagan Burma - 2 Plates.PDF	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	Luce and Tin Htway 1976 15th Century Inscription and Library at Pagan.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_burmish_comparisons-455dc3921565	Luce Burmish comparisons.djvu	Luce Burmish comparisons.djvu: no extractor configured for .djvu	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_ob_wordlist-a620a49780fb	Luce OB wordlist.djvu	Luce OB wordlist.djvu: no extractor configured for .djvu	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
293264-36fe582c909b	Luce&PeMaungTin_BurmaDownToFallOfPagan_1939.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
luce_phases_burma1985-143ccbb78ee9	luce_phases-burma1985.pdf	text extraction returned no content	high	likely to define Luce or SIP-style source abbreviations	SIP, Luce D, Luce J, PPA, UB	abbreviation definitions or source-list titles	
