candidate_id	search_term	name	original_path	file_type	file_size	sha256	probable_work_label	probable_author	probable_year	match_confidence	copy_status	copied_path	notes
u_tin_htway_2001_burmese_epigraphy_g_h_l-cc78c5fabb4b	luce	U Tin Htway 2001 Burmese epigraphy G H Luce legacy.pdf	OBI_AUTHOR_ALPHA_ROOT:Luce/U Tin Htway 2001 Burmese epigraphy G H Luce legacy.pdf	pdf	4699790	cc78c5fabb4b2013c6796487daecf8207000d2b1fd9240a1fa8100fa57933aa1	Burmese epigraphy G H Luce legacy	U Tin Htway	2001	high	reused_existing	data/local/bibliography_sources/u_tin_htway_2001_burmese_epigraphy_g_h_l-cc78c5fabb4b/U Tin Htway 2001 Burmese epigraphy G H Luce legacy.pdf	Collapsed 1 duplicate path(s) by SHA-256.
richardson_jras_article_re_photos-8849f4c5e9df	jras	Richardson JRAS article re photos.pdf	OBI_AUTHOR_ALPHA_ROOT:Richardson, Hugh/Richardson JRAS article re photos.pdf	pdf	1544662	8849f4c5e9df87f997962f7642975f86204105b4019adc0944053c595f6be963	Richardson JRAS article re photos			high	reused_existing	data/local/bibliography_sources/richardson_jras_article_re_photos-8849f4c5e9df/Richardson JRAS article re photos.pdf	Collapsed 1 duplicate path(s) by SHA-256.
pemaungtin_1974_myazediinscription-56bbc5aae6bb	pe maung tin	PeMaungTin 1974 MyazediInscription.PDF	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1974 MyazediInscription.PDF	pdf	919967	56bbc5aae6bb21ff52445715925987efd4467d8056accb904675cfb9df586428	MyazediInscription	PeMaungTin	1974	high	reused_existing	data/local/bibliography_sources/pemaungtin_1974_myazediinscription-56bbc5aae6bb/PeMaungTin 1974 MyazediInscription.PDF	Collapsed 1 duplicate path(s) by SHA-256.
261052-0eaebe68d937	jbrs | pagan | pe maung tin	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	pdf	1525056	0eaebe68d9370642bddfb545b0860efe84c6479bcd3a0a1f34ba89fd14b38aa3	BuddhismInTheInscriptionsOfPagan	PeMaungTin	1936	high	reused_existing	data/local/bibliography_sources/261052-0eaebe68d937/261052.pdf	Collapsed 3 duplicate path(s) by SHA-256.
253149-88495e2fcca1	jbrs | pagan | pe maung tin	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	pdf	911828	88495e2fcca12bf215fa66322580c7f15a196bd0340057045287a72c80cb5f6a	WomenInTheInscriptionsOfPagan	PeMaungTin	1935	high	reused_existing	data/local/bibliography_sources/253149-88495e2fcca1/253149.pdf	Collapsed 3 duplicate path(s) by SHA-256.
201020-29b619f739e5	jbrs | pe maung tin	PeMaungTin 1930 OldWordsInBurmeseInscriptions.pdf	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1930 OldWordsInBurmeseInscriptions.pdf	pdf	109731	29b619f739e5590ace7b9eab4d4fed55941a6827a435f8acc19a9693b04128d0	OldWordsInBurmeseInscriptions	PeMaungTin	1930	high	reused_existing	data/local/bibliography_sources/201020-29b619f739e5/201020.pdf	Collapsed 2 duplicate path(s) by SHA-256.
193078-6feeee7af9fa	jbrs | pe maung tin	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	pdf	112712	6feeee7af9fa994e8cc5a3fac290619813619898c0826f7074476cc375225f73	PhilologicalFeaturesOfBurmeseInscriptions 1929	PeMaungTin	1929	high	reused_existing	data/local/bibliography_sources/193078-6feeee7af9fa/193078.pdf	Collapsed 2 duplicate path(s) by SHA-256.
132143-5087396f8c63	jbrs | pe maung tin	PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	pdf	161268	5087396f8c63026a9bdc4c9bcaf2eca1771811c14d1f2730f2026c747a57dec1	EpigraphicaBurmanica(ReviewOfBlagden and Duroiselle	PeMaungTin	1923	high	reused_existing	data/local/bibliography_sources/132143-5087396f8c63/132143.pdf	Collapsed 3 duplicate path(s) by SHA-256.
miller_1957_the_phonology_of_the_old_bur-84bc4ff6103b	inscription	Miller 1957 The Phonology of the Old Burmese Vowel System as Seen in the Myazedi Inscription.pdf	OBI_AUTHOR_ALPHA_ROOT:Miller R. A/Miller 1957 The Phonology of the Old Burmese Vowel System as Seen in the Myazedi Inscription.pdf	pdf	270513	84bc4ff6103bef2e460eb734d0f247e5953af317db4d72d43d45dab8fb13ff19	The Phonology of the Old Burmese Vowel System as Seen in the Myazedi Inscription	Miller	1957	high	reused_existing	data/local/bibliography_sources/miller_1957_the_phonology_of_the_old_bur-84bc4ff6103b/Miller 1957 The Phonology of the Old Burmese Vowel System as Seen in the Myazedi Inscription.pdf	Collapsed 1 duplicate path(s) by SHA-256.
luce_collection-b951e346a053	luce	Luce_collection.doc	OBI_AUTHOR_ALPHA_ROOT:Luce/LUCE_TB notes/Luce_collection.doc	doc	288768	b951e346a053548d39ee01a07962e9a6259247fe69dcda4cca5a0ddc4406dc7b	Luce collection			high	reused_existing	data/local/bibliography_sources/luce_collection-b951e346a053/Luce_collection.doc	Collapsed 1 duplicate path(s) by SHA-256.
