source_file_id	source_file_label	section_heading	section_text_excerpt	contains_priority_acronyms	acronyms_found	extraction_confidence	notes
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	References	References: reading in file Remarks: fragment of 3 lines found in 2005; reading in file and again in 2013	false		medium	
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	References	References: ? Remarks: only few lines at lower left margin remain	false		medium	
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	References	References: ? Remarks:	false		medium	
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	References	References: eye copy Remarks: found in late 2004/early 2005, then in Arch. Office; not traced in 2013	true	A	medium	
bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	References	References: U Min Hswe, ?? Remarks: reverse ??	true	U Min Hswe	medium	
richardson_1985_a_corpus_of_early_tibeta-c9c375c11ff6	Richardson 1985 A Corpus of Early Tibetan Inscriptions.pdf	Bibliography	BIBLIOGRAPHY	true	A, B	high	
richardson_1985_a_corpus_of_early_tibeta-c9c375c11ff6	Richardson 1985 A Corpus of Early Tibetan Inscriptions.pdf	Bibliography	BIBLIOGRAPHY J. BACOT, F. W. THOMAS and C. TOUSSAINT, Documents de Touen-houane relatifs it l'histoire du Tibet, Paris 1940. F. M. BAILEY, No Passport to Tibet, London 1957. V. A. BOGOSLOVSKIJ, Essai sur l'histoire du peuple Tibetain, translated from the Russian, Paris 1972. S. W. BUSHELL, Early History of Tibet from Chinese Sources, Journal of the Royal Asiatic Society, London 1880. CHOIX DE DOCUMENTS TIBETAINS CONSERVES A LA BIBLIOTHEQUE NATION- ALE, edited by A Macdonald and Y. Imaeda, Vol. I, Paris 1978, Vol. II Paris 1979. SARAT CHANDRA DAS, Tibetan English Dictionary, Calcutta, 1902. P. 	true	A, B	high	
frasch_2013_buddha_image-9c76c261c5fe	Frasch 2013 Buddha image.pdf	Bibliography	"Bibliography B.ll!rze-Picron, CLllldinc 1991- L1khi S.1rai, ,\11 lndi.\11 Sire of Lue Buddh ist 1992 lconograph!· ,\lld irs Position \\'irhin rhc Asian Buddhist \\""orld . In: Silk Road An .md A rch .lcolog,· 2: 239-28-l . Dh.Hnmik.l, S. 1995 :\' ore on .1 P.1!.1 per iod s.:u lprure from G.1llc. In: Journ.ll of the Ro;·.1l Asi.1ric Socicr;· of Sri L1nk.1 N.S. -lO: 171-172. Duroisdk Cll.ll·!cs I 91 I A. List nf I nscriprion:, Found in Burm.1. R.lng<h)n. Fr.1sch, Tilm.1n"	true	A, B	high	
frasch_2018_myanmar_epigraphy-f41478fe018f	Frasch 2018 Myanmar Epigraphy.pdf	Abbreviations	Abbreviations AA Artibus Asiae ARASI Annual Reports of the Archaeological Survey of India ASB Archaeological Survey of Burma ASI Archaeological Survey of India BBHC Bulletin of the Burma Historical Commission BCAI Bulletin de la Commission Archéologique de l’Indochine Bce Before Common Era Be Buddhist Era BEFEO Bulletin de l’École française d’Extrême-Orient BHC Burma Historical Commission BKI Bijdragen tot de Taal-, Land- en Volkenkunde van de Koninklijk Instituut BMJ Brunei Museum Journal B PA Berita Penelitian Arkeologi	true	A, B, ARASI, BBHC	high	
frasch_2018_myanmar_epigraphy-f41478fe018f	Frasch 2018 Myanmar Epigraphy.pdf	References	References a BdouL -c arime , N. & Grégory m ikaeLian 2011 “Angkor et l’islam : note sur la stèle arabe du Bhnaṃ Pākhaeṅ (K. 1081)ˮ, Péninsule 63 (2), pp. 5–59. ‘a Bdu ’L-h amid Bin e ngku ‘a Bdu ’L-m ajid , e ngku 1932 “Inscriptions on ancient Johor grave-stonesˮ, JMBRAS 10 (3), pp. 159–167. a cri , Andrea 2011 Dharma Pātañjala: A Śaiva Scripture from Ancient Java Studied in the Light of Related Old Javanese and Sanskrit Texts, Groningen, E. Forsten (Gonda Indological Studies 16). a dam ,Tassilo 1922 “Oudheden te Djambi IIˮ, OV, pp. 38–41. a ghassian , Michel & Kéram k Évonian 1988 “Le commer	true	A, B	high	
