witness_id	source_work_key	canonical_title	candidate_file_label	candidate_file_id	candidate_path_or_redacted_path	file_type	match_type	match_confidence	match_reason	sha256_if_available	local_cache_status	needs_human_review	notes
lucePeMaungTinInscriptionsOfBurma--inscriptions-of-burma-b7c07d9f6d02	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	inscriptions_of_burma-b7c07d9f6d02	data/local/bibliography_sources/inscriptions_of_burma-b7c07d9f6d02/_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	pdf	exact_title_filename	high	Exact title match in local filename/path: Inscriptions of Burma	b7c07d9f6d021d918fb0d778295edd9724adc75a4fc80306e8abe0f78d9b200a	reused_existing	false	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-c593ec5e62b9	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9	data/local/bibliography_sources/luce_pemaungtin_inscriptionsofburma_plat-c593ec5e62b9/Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/2	c593ec5e62b93063d510e6a3c70dc2d2ad4b07ee98ebcf17a5cd6f311ee8480e	reused_existing	true	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-d8ad72be3c44	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44	data/local/bibliography_sources/luce_pemaungtin_inscriptionsofburma_plat-d8ad72be3c44/Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/2	d8ad72be3c448b229fdd7b02c86af715bd71bf07081c6cf4e9d70dfa8790bbb5	reused_existing	true	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
lucePeMaungTinInscriptionsOfBurma--193078-6feeee7af9fa	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	193078-6feeee7af9fa	data/local/bibliography_sources/193078-6feeee7af9fa/193078.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/2	6feeee7af9fa994e8cc5a3fac290619813619898c0826f7074476cc375225f73	reused_existing	true	Shared source work for IOB catalogue locators and Pl. plate locators. Treat as the stable source family for IOB locators.
sipSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	frasch_three_pagan_inscriptions-81f9fa6e9407	data/local/bibliography_sources/frasch_three_pagan_inscriptions-81f9fa6e9407/Frasch Three pagan inscriptions.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	81f9fa6e940725d6b1ec7b041fa8a3eabe3954a5b6b50e3cec18cc6f6174ff7e	reused_existing	true	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	data/local/bibliography_sources/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	da9f6d6d89b31f17d3a9352ded473db8f6b3d3ceb1090430ab7ccd972d295722	reused_existing	true	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
sipSelectionsPagan--253149-88495e2fcca1	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	253149-88495e2fcca1	data/local/bibliography_sources/253149-88495e2fcca1/253149.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	88495e2fcca12bf215fa66322580c7f15a196bd0340057045287a72c80cb5f6a	reused_existing	true	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
sipSelectionsPagan--261052-0eaebe68d937	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	261052-0eaebe68d937	data/local/bibliography_sources/261052-0eaebe68d937/261052.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	0eaebe68d9370642bddfb545b0860efe84c6479bcd3a0a1f34ba89fd14b38aa3	reused_existing	true	SIP is a named source work with locator semantics rather than a standalone raw-string expansion target. Keep provisional pending fuller identification.
uemSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	frasch_three_pagan_inscriptions-81f9fa6e9407	data/local/bibliography_sources/frasch_three_pagan_inscriptions-81f9fa6e9407/Frasch Three pagan inscriptions.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	81f9fa6e940725d6b1ec7b041fa8a3eabe3954a5b6b50e3cec18cc6f6174ff7e	reused_existing	true	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	data/local/bibliography_sources/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	da9f6d6d89b31f17d3a9352ded473db8f6b3d3ceb1090430ab7ccd972d295722	reused_existing	true	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
uemSelectionsPagan--253149-88495e2fcca1	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	253149-88495e2fcca1	data/local/bibliography_sources/253149-88495e2fcca1/253149.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	88495e2fcca12bf215fa66322580c7f15a196bd0340057045287a72c80cb5f6a	reused_existing	true	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
uemSelectionsPagan--261052-0eaebe68d937	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	261052-0eaebe68d937	data/local/bibliography_sources/261052-0eaebe68d937/261052.pdf	pdf	normalized_title_filename	medium	Normalized title-token overlap 2/3	0eaebe68d9370642bddfb545b0860efe84c6479bcd3a0a1f34ba89fd14b38aa3	reused_existing	true	UEM is modeled as a source work with inscription-number and page locators. Keep provisional until the full work title is recovered.
duroiselle1921list--a-list-of-inscriptions-found-in-burma-pa-1cabd997be83	duroiselle1921list	List of Inscriptions Found in Burma	a_list_of_inscriptions_found_in_burma_part_i.pdf	a_list_of_inscriptions_found_in_burma_pa-1cabd997be83	data/local/bibliography_sources/a_list_of_inscriptions_found_in_burma_pa-1cabd997be83/a_list_of_inscriptions_found_in_burma_part_i.pdf	pdf	exact_title_filename	high	Exact title match in local filename/path: List of Inscriptions Found in Burma	1cabd997be838e73f1136b75e88a3fe3aad607e692e6fa38168e68548b01c758	reused_existing	false	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators.
duroiselle1921list--duroiselle-1921-list-of-inscriptions-fd372f9141d6	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1921 List of Inscriptions.pdf	duroiselle_1921_list_of_inscriptions-fd372f9141d6	data/local/bibliography_sources/duroiselle_1921_list_of_inscriptions-fd372f9141d6/Duroiselle 1921 List of Inscriptions.pdf	pdf	known_local_source	medium	Author surname and title keywords overlap for duroiselle | Existing source-library manifest match	fd372f9141d696c16cea811e871f377ff5fa217428eac33b747b3015c24fe498	reused_existing	true	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators. | Matched harvested local file for List.
duroiselle1921list--duroiselle-1912-inventaire-inscriptions-fab28e605395	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1912 Inventaire Inscriptions Birmanie.pdf	duroiselle_1912_inventaire_inscriptions_-fab28e605395	data/local/bibliography_sources/duroiselle_1912_inventaire_inscriptions_-fab28e605395/Duroiselle 1912 Inventaire Inscriptions Birmanie.pdf	pdf	weak_keyword_match	low	Author surname and title keywords overlap for duroiselle	fab28e60539556ab67af0f0e51fd5d0327bab05b4faefa846f5471ed7f6baca8	reused_existing	true	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators.
