witness_id	source_work_key	canonical_title	candidate_file_label	witness_type	contains_translation	contains_edition_or_transliteration	contains_plate_or_image	contains_catalogue_metadata	contains_secondary_discussion	coverage_scope	confidence	evidence_source	evidence_snippet	needs_human_review	next_action	notes	verification_status	directness	verified_by	verified_evidence_id
lucePeMaungTinInscriptionsOfBurma--inscriptions-of-burma-b7c07d9f6d02	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	source_edition	unknown	unknown	unknown	unknown	unknown	whole_work	medium	verification	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	false	Inspect the title page or leading pages before promoting this witness.	Translation relevance remains provisional until the witness is inspected directly. | The title match is promising, but the direct witness still needs title-page or author confirmation. | The title match is promising, but the direct witness still needs title-page or author confirmation.	needs_title_page_review	direct_source	verify_translation_witnesses.py	lucePeMaungTinInscriptionsOfBurma--inscriptions-of-burma-b7c07d9f6d02:title_page
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-c593ec5e62b9	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	plate_volume	no	no	confirmed	unknown	no	selected_inscriptions	high	verification	Plate 3: INSCRIPTION-STONE FROM MYINGONDAING, KYAUKSE. List 72, 427. Mow at Mandalay Palace Shed (Stone 14). “AG indicated on the base of the stone— Arai huiniiuii’—doubtless by the person who removed itto Amarapura at…	true	Use as a verified plate/facsimile witness and pair with a text witness if needed.	Plate/file title indicates image or facsimile coverage. | Plate/facsimile volume is clear from the title and file label. | Plate/facsimile volume is clear from the title and file label.	verified_plate_witness	direct_plate_volume	verify_translation_witnesses.py	lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-c593ec5e62b9:title_page
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-d8ad72be3c44	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	plate_volume	no	no	confirmed	unknown	no	selected_inscriptions	high	verification	INSCRIPTIONS OF BURMA Portfolio I 4 by ‘ . ; PE MAUNG TIN AND G. H. Luce !	true	Use as a verified plate/facsimile witness and pair with a text witness if needed.	Plate/file title indicates image or facsimile coverage. | Plate/facsimile volume is clear from the title and file label. | Plate/facsimile volume is clear from the title and file label.	verified_plate_witness	direct_plate_volume	verify_translation_witnesses.py	lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-d8ad72be3c44:title_page
lucePeMaungTinInscriptionsOfBurma--193078-6feeee7af9fa	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	lucePeMaungTinInscriptionsOfBurma--193078-6feeee7af9fa:filename
sipSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	medium	verification	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	sipSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407:title_page
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	source_edition	unknown	confirmed	no	unknown	possible	unknown	high	verification	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	true	Use as a verified direct source edition; translation remains unconfirmed until deeper content review.	Matched witness looks related but not yet like a direct source edition. | Exact source-work title aligns with the candidate witness. | SIP title-page inspection completed. | No explicit translation heading was verified… | Exact source-work title aligns with the candidate witness. | SIP title-page inspection completed. | No explicit translation heading was verified from the stored snippets. | Sample-entry OCR was attempted but no recovera…	verified_direct_witness	direct_source	verify_translation_witnesses.py	sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3:title_page
sipSelectionsPagan--253149-88495e2fcca1	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	sipSelectionsPagan--253149-88495e2fcca1:filename
sipSelectionsPagan--261052-0eaebe68d937	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	low	verification	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	sipSelectionsPagan--261052-0eaebe68d937:filename
uemSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	secondary_work	no	no	unknown	unknown	confirmed	unknown	medium	verification	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the	true	Retain as reviewed secondary evidence, not as a direct witness.	Matched witness looks related but not yet like a direct source edition. | This file is a useful related article or discussion witness, not the direct source edition. | This file is a useful related article or discussion witness, not the direct source edition.	verified_secondary_work	secondary_discussion	verify_translation_witnesses.py	uemSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407:title_page
uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	unknown	no	no	no	no	no	unknown	medium	verification	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	true	Retain as reviewed evidence, but exclude from direct-witness counts.	Matched witness looks related but not yet like a direct source edition. | Title-family overlap exists, but the author/editor evidence points to a different edition or work. | Title-family overlap exists, but the author/editor evidence points to a different edition or work.	weak_false_positive	weak_related_match	verify_translation_witnesses.py	uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3:title_page
