source_work_key	search_term	matched_file_label	matched_file_id	match_type	match_confidence	reason	next_action	notes
sipSelectionsPagan	Selections from the Inscriptions of Pagan			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
sipSelectionsPagan	Pe Maung Tin Luce Selections Pagan	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	normalized_title_filename	medium	Normalized token overlap 4/5 for Pe Maung Tin Luce Selections Pagan	Inspect this file directly before treating it as a missing direct-witness rescue candidate.	data/local/bibliography_sources/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf
sipSelectionsPagan	SIP			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
sipSelectionsPagan	Luce Pe Maung Tin Selections	111029.pdf	111029-f93adf2c3a6c	normalized_title_filename	medium	Normalized token overlap 3/4 for Luce Pe Maung Tin Selections	Inspect this file directly before treating it as a missing direct-witness rescue candidate.	data/local/bibliography_sources/111029-f93adf2c3a6c/111029.pdf
uemSelectionsPagan	U E Maung Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	normalized_title_filename	medium	Normalized token overlap 3/4 for U E Maung Selections from the Inscriptions of Pagan	Inspect this file directly before treating it as a missing direct-witness rescue candidate.	data/local/bibliography_sources/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf
uemSelectionsPagan	U Maung Selections Pagan			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
uemSelectionsPagan	UEM			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
uemSelectionsPagan	Selections Inscriptions Pagan Rangoon 1958			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
tnInscriptionsPaganPinyaAva	U Tun Nyein Inscriptions of Pagan Pinya and Ava			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
tnInscriptionsPaganPinyaAva	Tun Nyein Inscriptions Pagan Pinya Ava			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan Pinya and Ava Rangoon 1897			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
tnInscriptionsPaganPinyaAva	TN			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ppaCatalogue	Inscriptions of Pagan Pinya and Ava			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ppaCatalogue	Pagan Pinya Ava			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ppaCatalogue	PPA			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ubSourceFamily	Inscriptions Collected in Upper Burma			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ubSourceFamily	Upper Burma inscriptions			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ubSourceFamily	UB 1			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
ubSourceFamily	UB 2			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
epigraphiaBirmanica	Epigraphia Birmanica			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
epigraphiaBirmanica	Taw Sein Ko	Taw Sein Ko 1899 Inscriptions of Pagan.pdf	taw_sein_ko_1899_inscriptions_of_pagan-254902496aa8	exact_title_filename	high	Exact or near-exact search-term match for Taw Sein Ko	Inspect this file directly before treating it as a missing direct-witness rescue candidate.	data/local/bibliography_sources/taw_sein_ko_1899_inscriptions_of_pagan-254902496aa8/Taw Sein Ko 1899 Inscriptions of Pagan.pdf
epigraphiaBirmanica	Duroiselle Epigraphia Birmanica			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
epigraphiaBirmanica	EB Vol. 1			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
epigraphiaBirmanica	EB 1			not_found	low	No local file or OCR witness matched this direct-witness search term.	Continue targeted local-file search for this source work.	Search term retained to document the missing direct witness.
