witness_id	source_work_key	canonical_title	candidate_file_label	current_witness_type	verified_witness_type	verification_status	directness	contains_translation_verified	contains_edition_verified	contains_plate_or_image_verified	contains_catalogue_metadata_verified	contains_secondary_discussion_verified	title_page_evidence	toc_evidence	ocr_or_text_snippet	evidence_quality	confidence	recommended_action	notes
lucePeMaungTinInscriptionsOfBurma--inscriptions-of-burma-b7c07d9f6d02	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	source_edition	source_edition	needs_title_page_review	direct_source	unknown	unknown	unknown	unknown	unknown	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf			moderate	medium	Inspect the title page or leading pages before promoting this witness.	The title match is promising, but the direct witness still needs title-page or author confirmation.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-c593ec5e62b9	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	plate_volume	plate_volume	verified_plate_witness	direct_plate_volume	no	no	confirmed	unknown	no	Plate 3: INSCRIPTION-STONE FROM MYINGONDAING, KYAUKSE. List 72, 427. Mow at Mandalay Palace Shed (Stone 14). “AG indicated on the base of the stone— Arai huiniiuii’—doubtless by the person who removed itto Amarapura at…			strong	high	Use as a verified plate/facsimile witness and pair with a text witness if needed.	Plate/facsimile volume is clear from the title and file label.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-d8ad72be3c44	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	plate_volume	plate_volume	verified_plate_witness	direct_plate_volume	no	no	confirmed	unknown	no	INSCRIPTIONS OF BURMA Portfolio I 4 by ‘ . ; PE MAUNG TIN AND G. H. Luce !			strong	high	Use as a verified plate/facsimile witness and pair with a text witness if needed.	Plate/facsimile volume is clear from the title and file label.
lucePeMaungTinInscriptionsOfBurma--193078-6feeee7af9fa	lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	PeMaungTin 1929 PhilologicalFeaturesOfBurmeseInscriptions_1929.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
sipSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the			moderate	medium	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	source_edition	source_edition	verified_direct_witness	direct_source	unknown	confirmed	no	unknown	possible	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND			explicit	high	Use as a verified direct source edition; translation remains unconfirmed until deeper content review.	Exact source-work title aligns with the candidate witness. | SIP title-page inspection completed. | No explicit translation heading was verified from the stored snippets. | Sample-entry OCR was attempted but no recoverable text was isolated.
sipSelectionsPagan--253149-88495e2fcca1	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
sipSelectionsPagan--261052-0eaebe68d937	sipSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
uemSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Frasch Three pagan inscriptions.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the			moderate	medium	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	uemSelectionsPagan	Selections from the Inscriptions of Pagan	Luce 1928 inscriptions of Pagan.pdf	unknown	unknown	weak_false_positive	weak_related_match	no	no	no	no	no	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND			moderate	medium	Retain as reviewed evidence, but exclude from direct-witness counts.	Title-family overlap exists, but the author/editor evidence points to a different edition or work.
uemSelectionsPagan--253149-88495e2fcca1	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1935 WomenInTheInscriptionsOfPagan.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
uemSelectionsPagan--261052-0eaebe68d937	uemSelectionsPagan	Selections from the Inscriptions of Pagan	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
duroiselle1921list--a-list-of-inscriptions-found-in-burma-pa-1cabd997be83	duroiselle1921list	List of Inscriptions Found in Burma	a_list_of_inscriptions_found_in_burma_part_i.pdf	catalogue	catalogue	needs_title_page_review	direct_source	unknown	unknown	unknown	unknown	unknown	a_list_of_inscriptions_found_in_burma_part_i.pdf			moderate	medium	Inspect the title page or leading pages before promoting this witness.	The title match is promising, but the direct witness still needs title-page or author confirmation.
duroiselle1921list--duroiselle-1921-list-of-inscriptions-fd372f9141d6	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1921 List of Inscriptions.pdf	unknown	unknown	needs_title_page_review	unknown	unknown	unknown	unknown	unknown	unknown				weak	low	Inspect the title page or leading pages before promoting this witness.	More title-page or contents evidence is needed before this witness can be trusted.
duroiselle1921list--duroiselle-1912-inventaire-inscriptions-fab28e605395	duroiselle1921list	List of Inscriptions Found in Burma	Duroiselle 1912 Inventaire Inscriptions Birmanie.pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
duroiselle1921list--132143-5087396f8c63	duroiselle1921list	List of Inscriptions Found in Burma	PeMaungTin 1923 EpigraphicaBurmanica(ReviewOfBlagden&Duroiselle).pdf	secondary_work	secondary_work	verified_secondary_work	secondary_discussion	no	no	unknown	unknown	confirmed				weak	low	Retain as reviewed secondary evidence, not as a direct witness.	This file is a useful related article or discussion witness, not the direct source edition.
epigraphiaBirmanica--luce-1937-ancient-pyu-6a948eb3f6cc	epigraphiaBirmanica	Epigraphia Birmanica	Luce 1937 Ancient Pyu.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
epigraphiaBirmanica--261052-0eaebe68d937	epigraphiaBirmanica	Epigraphia Birmanica	PeMaungTin 1936 BuddhismInTheInscriptionsOfPagan.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
epigraphiaBirmanica--011041-2bc89eb3a71a	epigraphiaBirmanica	Epigraphia Birmanica	011041.pdf	periodical_container	periodical_container	needs_title_page_review	series_container	unknown	unknown	unknown	unknown	possible				weak	low	Inspect the title page or leading pages before promoting this witness.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
epigraphiaBirmanica--011098-dfc0debb3b75	epigraphiaBirmanica	Epigraphia Birmanica	011098.pdf	periodical_container	periodical_container	needs_title_page_review	series_container	unknown	unknown	unknown	unknown	possible				weak	low	Inspect the title page or leading pages before promoting this witness.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
epigraphiaBirmanica--011131-b5499d8eb174	epigraphiaBirmanica	Epigraphia Birmanica	011131.pdf	periodical_container	periodical_container	needs_title_page_review	series_container	unknown	unknown	unknown	unknown	possible				weak	low	Inspect the title page or leading pages before promoting this witness.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalBurmaResearchSociety--luce-1924-countries-neighbouring-burma-j-056f581dfe61	journalBurmaResearchSociety	Journal of the Burma Research Society	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376	journalBurmaResearchSociety	Journal of the Burma Research Society	A1-Editorial-Luce1924.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible	JOURNAL OF THE BURMA RESEARCH SOCIETY. Vol. XIV, Part II. 926 1. Editorial	CONTENTS. PAGE. 87 2. Table of Chinese Dynasties and Dynastic Histories		moderate	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalBurmaResearchSociety--a5-countriesneighbouringburma2-luce-ref-c1353abdc155	journalBurmaResearchSociety	Journal of the Burma Research Society	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalBurmaResearchSociety--burmatofallofpagan-luce1939-b89e7b3d7dc1	journalBurmaResearchSociety	Journal of the Burma Research Society	BurmaToFallOfPagan-Luce1939.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba	journalBurmaResearchSociety	Journal of the Burma Research Society	CenturyOfProgress_Luce1948.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible			"48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -""Excavation and Exploration in Pegu"". (JBRS)"	weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalRoyalAsiaticSociety--richardson-jras-article-re-photos-8849f4c5e9df	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Richardson JRAS article re photos.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
journalRoyalAsiaticSociety--giebel-vajras-ekhara-b0808f820e80	journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	Giebel_Vajraśekhara.pdf	article_candidate	article_candidate	verified_article_candidate	article_about_source	unknown	unknown	unknown	no	possible				weak	medium	Keep in the article-discovery queue and inspect title page or first page next.	Periodical/series witnesses remain article-discovery leads rather than direct source witnesses.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	epigraphiaBirmanica	Epigraphia Birmanica	Duroiselle - Epigraphica Birmanica1.pdf	source_edition	source_edition	verified_direct_witness	direct_source	unknown	confirmed	no	no	no	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf		OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf	explicit	high	Use as a verified direct EB fascicle; inspect fascicle contents before making any translation claim.	Promoted from direct-looking local EB fascicle evidence. Keep human review for deeper content coverage.
