witness_id	source_work_key	candidate_file_label	snippet_type	snippet	source_method	confidence	notes
lucePeMaungTinInscriptionsOfBurma--inscriptions-of-burma-b7c07d9f6d02	lucePeMaungTinInscriptionsOfBurma	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	title_page	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	filename	medium	Best title-page or leading-page snippet for witness verification.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-c593ec5e62b9	lucePeMaungTinInscriptionsOfBurma	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	title_page	Plate 3: INSCRIPTION-STONE FROM MYINGONDAING, KYAUKSE. List 72, 427. Mow at Mandalay Palace Shed (Stone 14). “AG indicated on the base of the stone— Arai huiniiuii’—doubtless by the person who removed itto Amarapura at…	ocr_text	high	Best title-page or leading-page snippet for witness verification.
lucePeMaungTinInscriptionsOfBurma--luce-pemaungtin-inscriptionsofburma-plat-d8ad72be3c44	lucePeMaungTinInscriptionsOfBurma	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	title_page	INSCRIPTIONS OF BURMA Portfolio I 4 by ‘ . ; PE MAUNG TIN AND G. H. Luce !	ocr_text	high	Best title-page or leading-page snippet for witness verification.
sipSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	sipSelectionsPagan	Frasch Three pagan inscriptions.pdf	title_page	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the	ocr_text	medium	Best title-page or leading-page snippet for witness verification.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	title_page	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	ocr_text	high	Best title-page or leading-page snippet for witness verification.
uemSelectionsPagan--frasch-three-pagan-inscriptions-81f9fa6e9407	uemSelectionsPagan	Frasch Three pagan inscriptions.pdf	title_page	Three Inscriptions from the Pagan Period Tilman Frasch, Manchester Metropolitan University Introduction Besides architecture and artefacts such as sculpture or painting, inscriptions are the	ocr_text	medium	Best title-page or leading-page snippet for witness verification.
uemSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	uemSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	title_page	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	ocr_text	medium	Best title-page or leading-page snippet for witness verification.
duroiselle1921list--a-list-of-inscriptions-found-in-burma-pa-1cabd997be83	duroiselle1921list	a_list_of_inscriptions_found_in_burma_part_i.pdf	title_page	a_list_of_inscriptions_found_in_burma_part_i.pdf	filename	medium	Best title-page or leading-page snippet for witness verification.
journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376	journalBurmaResearchSociety	A1-Editorial-Luce1924.pdf	title_page	JOURNAL OF THE BURMA RESEARCH SOCIETY. Vol. XIV, Part II. 926 1. Editorial	ocr_text	medium	Best title-page or leading-page snippet for witness verification.
journalBurmaResearchSociety--a1-editorial-luce1924-099d53582376	journalBurmaResearchSociety	A1-Editorial-Luce1924.pdf	contents	CONTENTS. PAGE. 87 2. Table of Chinese Dynasties and Dynastic Histories	ocr_text	medium	Short contents-region evidence captured during witness verification.
journalBurmaResearchSociety--centuryofprogress-luce1948-f1e3355883ba	journalBurmaResearchSociety	CenturyOfProgress_Luce1948.pdf	ocr_heading	"48. Journal of the Burma Research Society (JBRS). From 1911. Rangoon, University Library. 49. J.A, Stewart -""Excavation and Exploration in Pegu"". (JBRS)"	ocr_text_index	medium	Supporting OCR/index evidence used for witness verification.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	epigraphiaBirmanica	Duroiselle - Epigraphica Birmanica1.pdf	title_page	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica1.pdf	epigraphia-review	high	Local file label identifies an Epigraphica Birmanica fascicle directly.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf	epigraphiaBirmanica	Duroiselle - Epigraphica Birmanica3.pdf	title_page	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica3.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica3.pdf	epigraphia-review	high	Local file label identifies an Epigraphica Birmanica fascicle directly.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	epigraphiaBirmanica	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	title_page	OBI_AUTHOR_ALPHA_ROOT:Duroiselle/Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf | OBI_LIBRARY_ROOT:Authors alphabetical/Duroiselle/Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	epigraphia-review	high	Label suggests an EB fascicle focused on plate material.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	title_page	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	inspection	high	Title-page OCR confirms Selections from the Inscriptions of Pagan by Pe Maung Tin and G.H. Luce.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	ocr_heading	» 3 Seu ha enD0y \ ry) Pay ey 30) Secsn955 AGINDr OD! COICr ) i A “Ny 44} _ ° ne = Sell 8 GYRE YOGIGOQIO Her * HMA S905 PSO0D9800 5 0 sd[sho la revy] MEDNOIC) O 'COSSBO3 ENG 2OIMI9!3 a 209300005 Q§00903¢: e0l68So lap. | ¢ M020808 ann. mee LIC re 2 Be ‘ge IMD……	inspection	medium	Early prefatory pages were reviewed for commentary and translation clues.
sipSelectionsPagan--luce-pemaungtin-1928-inscriptions-of-pag-da9f6d6d89b3	sipSelectionsPagan	Luce 1928 inscriptions of Pagan.pdf	ocr_heading	SELECTIONS FROM THE INSCRIPTIONS OF PAGAN BY PE MAUNG TIN AND	inspection	medium	Supporting OCR headings were reviewed; no translation claim is promoted without explicit witness evidence.
