witness_id	file_label	inspection_area	short_snippet	contains_translation	contains_edition_or_transliteration	contains_notes_or_commentary	contains_plate_or_image	confidence	inspection_status	next_action	notes
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	Duroiselle - Epigraphica Birmanica1.pdf	title_page	VOLUME I PART 1 ARCHAEOLOGICAL SURVEY OF BURMA _ ee * ‘ Ps 6 > pier ap la irmanica BEING | | LITHIC AND OTHER INSCRIPTIONS OF BURMA Edited by TAW SEIN KO, C.LE., LS.O. Superintendent, Archaeological Survey, Burma Circle AND ‘ CHAS. DUROISELLE Asst. Archaeolog…	unknown	confirmed	unknown	unknown	high	confirmed	Use title-page identity evidence only for witness identity and high-level content type.	Title-page probe anchors the promoted EB fascicle to a local witness file.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	Duroiselle - Epigraphica Birmanica1.pdf	preface	& : Sn PREFACE | I? had at first been intended. to publish epigraphs found in Burma in A the Epigraphia Indica; several considerations went against this course, the principal of which being the desirability of keeping together all the epigraphical documents f…	unknown	unknown	confirmed	unknown	medium	confirmed	Use preface material for commentary/plate cues, not for translation claims.	Prefatory material was inspected for commentary and plate cues.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica1-pdf	Duroiselle - Epigraphica Birmanica1.pdf	sample_entry	EPIGRAPHIA BIRMANICA THE BURMESE FACE OF THE MYAZEDI INSCRIPTION - AT PAGAN. a two Myazedi inscription stone pillars were discovered at Myinkaba, a small locality quite near to Pagan, in 1886-87, by Dr. E. Forchhammer, then Professor of Pali at the Rangoon Co…	unknown	confirmed	possible	unknown	medium	confirmed	Inspect an explicit translation-bearing page before changing EB translation status.	Sample fascicle pages were inspected for edition, commentary, and plate evidence.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf	Duroiselle - Epigraphica Birmanica3.pdf	title_page	aes 2 > on ae ae 9 ee P¥C* JME I. eae eeRT 1, aoa Pig | oe, go » @. Archaeclogical Survey of Burma = Pee : ae ) oe Ss +4 i | | - *HGRAPHIA BIRMANICA- a | ae Pee GES ‘ “RITHIC AND OTHER INSCRIPTIONS . SS OF BURMA ¥ 2) ae 3 aie 5 = EDITED BY é : 23 oa CHAS. DUR…	unknown	confirmed	unknown	unknown	high	confirmed	Use title-page identity evidence only for witness identity and high-level content type.	Title-page probe anchors the promoted EB fascicle to a local witness file.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf	Duroiselle - Epigraphica Birmanica3.pdf	preface	= . a EPIGRAPHIA BIRMANICA MON INSCRIPTIONS. No. IX. AN INSCRIPTION FOUND NEAR THE THARABA GATE, PAGAN. Descriptive Account. . 54. This inscription has been noticed in Reports of the Superintendent, Archaeological Survey, Burma, (1912) pp. 14, 15 and (1916) p…	unknown	unknown	possible	unknown	medium	confirmed	Use preface material for commentary/plate cues, not for translation claims.	Prefatory material was inspected for commentary and plate cues.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica3-pdf	Duroiselle - Epigraphica Birmanica3.pdf	sample_entry	"t é : e PART 1] _ MON INSCRIPTIONS 9 es 15. [s turow « ma] (cingin)"" [klas sliy klas] (ti ta goh sum ku)* glik ku[chorh bumJte- : f 16. [f «] blijah [goh Iwar baJr (ma) [guiti ku glik burnten pundjar kfu tdon burhten 1] E ‘ 17. [ut lwjar [bar goh deh lusal kl…"	unknown	confirmed	possible	unknown	medium	confirmed	Inspect an explicit translation-bearing page before changing EB translation status.	Sample fascicle pages were inspected for edition, commentary, and plate evidence.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	title_page	ARCHAEOLOGICAL SURVEY OF BURMA | Epigraphia Birmanica BEING LITHIG AND OTHER INSCRIPTIONS ; OF BURMA Edited by CHAS. DUROISELLE Superintendent, Archaeological Survey, Burma Circle The Talaing Plaques on the Ananda Plates By CHAS. DUROISELLE (Reprint—1962) 1962	unknown	confirmed	unknown	confirmed	high	confirmed	Use title-page identity evidence only for witness identity and high-level content type.	Title-page probe anchors the promoted EB fascicle to a local witness file.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	preface	PREFACE For greater ease of reference and study, these plates have been published in a separate volume; this plan was preferable to that of having them inter- spersed in the text, where it would have: been impossible, in most cases, to make them face the lege…	unknown	unknown	confirmed	confirmed	medium	confirmed	Use preface material for commentary/plate cues, not for translation claims.	Prefatory material was inspected for commentary and plate cues.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	sample_entry	PART 1] TALAING PLAQUES ON THE ANANDA 1 33- SP@ g$ 85 cag25 og—910 Raja pcan hin abo’ aba—570 The king (= Temiya) sends a message to his mother and father—19. 4 _ Pcan=M.T. g§, phyan, not now used by itself but frequent enough in the doublet S$q$; bkan phyan.…	possible	possible	possible	confirmed	medium	confirmed	Treat the sampled English as caption/legend and commentary evidence unless a translation heading or fuller parallel text is confirmed.	Sampled Talaing pages mix short English legend glosses with surrounding narrative explanation; this is treated as caption/legend evidence rather than as a confirmed full-text translation.
epigraphiaBirmanica--duroiselle-epigraphica-birmanica-talaing-plaques-on-ananda-plates-pdf	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	contents	CONTENTS PAGES ABBREVIATIONS iv at wes nee ov xi REMARK a un aa oa tee one xiii CORRECTIONS. ... nor on * se ve xv 1. Miagapakkha = Jataka, Nos. I— 37 sm I— 12 2 Mahajanaka a ' 38— 82 = 12— 28 3. Sama “vs ao P nc 83—101 ‘a 29— 34 4 Nimi ror vs 4 ri 192-—114 o…	unknown	unknown	possible	confirmed	medium	confirmed	Use the contents/index page to target a later legend or caption page for manual review.	The contents/index page was inspected to profile the Talaing plaques fascicle.
