review_id	source_work_key	review_type	target_file_or_work	reason_for_review	evidence_available	what_to_check	expected_outcome	priority	notes
sip-sample-entry-or-contents	sipSelectionsPagan	content_review	Luce 1928 inscriptions of Pagan.pdf	Verified SIP witness exists but translation status remains unconfirmed after a failed sample-entry OCR attempt.	Verified title-page evidence; attempted_no_recoverable_text sample-entry status; sip_sample_entry_inspected remains false.	Inspect a recoverable sample entry or contents page for an explicit translation heading, parallel translation block, or unambiguous translation-bearing structure.	Keep SIP translation status unconfirmed unless explicit translation evidence is found.	medium	Do not treat failed OCR or generic English prose as translation evidence.
eb-vol1-explicit-translation-check	epigraphiaBirmanica	translation_presence_review	Duroiselle - Epigraphica Birmanica1.pdf	Volume 1 is a verified direct witness, but translation status remains unconfirmed.	Verified title-page and fascicle coverage evidence; current content profile keeps translation unconfirmed.	Look for an explicit translation section, translation heading, or parallel inscription/translation structure.	Confirm translation only if explicit translation evidence appears; otherwise keep translation unconfirmed.	medium	
eb-vol3-explicit-translation-check	epigraphiaBirmanica	translation_presence_review	Duroiselle - Epigraphica Birmanica3.pdf	Volume 3 is a verified direct witness, but translation status remains unconfirmed.	Verified title-page and fascicle coverage evidence; current content profile keeps translation unconfirmed.	Look for an explicit translation section, translation heading, or parallel inscription/translation structure.	Confirm translation only if explicit translation evidence appears; otherwise keep translation unconfirmed.	medium	
eb-talaing-plaques-classification	epigraphiaBirmanica	translation_classification_review	Duroiselle - Epigraphica Birmanica Talaing Plaques on Ananda Plates.pdf	The sampled English prose may be caption/legend or commentary, but it does not yet support translation confirmation.	Current Talaing plaques sample includes English wording without an explicit translation heading.	Inspect nearby headings/pages to classify the English as explicit translation, caption/legend only, commentary/narrative explanation, or uncertain OCR.	Keep translation unconfirmed unless the sample proves to be an explicit translation of inscription text.	medium	
iob-luce-pemaungtin-inscriptionsofburma-plates3-4-5-1960-pdf-plate-guardrail	lucePeMaungTinInscriptionsOfBurma	plate_guardrail	Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	Verified plate witness should remain a plate/facsimile witness, not a text-volume candidate.	Content profile confirms plate_image_status=confirmed with sample_entry_status=not_applicable and translation_status=not_applicable.	Do not re-review as a text witness unless a new companion-text signal appears outside the known plate portfolios.	Retain as a plate witness only and continue searching for the separate text volume.	low	
iob-luce-pemaungtin-inscriptionsofburma-plates6-20-1963-pdf-plate-guardrail	lucePeMaungTinInscriptionsOfBurma	plate_guardrail	Luce&PeMaungTin_InscriptionsOfBurma(Plates6-20)_1963.pdf	Verified plate witness should remain a plate/facsimile witness, not a text-volume candidate.	Content profile confirms plate_image_status=confirmed with sample_entry_status=not_applicable and translation_status=not_applicable.	Do not re-review as a text witness unless a new companion-text signal appears outside the known plate portfolios.	Retain as a plate witness only and continue searching for the separate text volume.	low	
uemselectionspagan-direct-witness-acquisition	uemSelectionsPagan	external_acquisition	Selections from the Inscriptions of Pagan	Broad local hunts ended with zero plausible direct candidates, so the next step is source-specific external/direct-witness acquisition.	No direct U E Maung witness has been found; current broad-query hits resolve to Pe Maung Tin or Maung Gyi material plus the reviewed SIP false positive.	Locate a direct witness or authoritative catalogue record using the source-specific author/title/year/publisher variants in the acquisition plan.	Acquire a direct witness or authoritative catalogue record without reopening ruled-out local candidates.	high	Keep SIP excluded and continue targeted U E Maung witness search.
tninscriptionspaganpinyaava-direct-witness-acquisition	tnInscriptionsPaganPinyaAva	external_acquisition	Inscriptions of Pagan, Pinya and Ava	Broad local hunts ended with zero plausible direct candidates, so the next step is source-specific external/direct-witness acquisition.	No local direct witness found. Current evidence is only no-hit rows and bibliographic clue rows around Rangoon/Government Printing/Gazette Press.	Locate a direct witness or authoritative catalogue record using the source-specific author/title/year/publisher variants in the acquisition plan.	Acquire a direct witness or authoritative catalogue record without reopening ruled-out local candidates.	high	Use the acquisition plan to search external catalogues for the U Tun Nyein / Gazette Press / Government Printing witness.
ppacatalogue-direct-witness-acquisition	ppaCatalogue	external_acquisition	Inscriptions of Pagan, Pinya and Ava	Broad local hunts ended with zero plausible direct candidates, so the next step is source-specific external/direct-witness acquisition.	No local direct witness found. IPPA/PPA variant searches currently do not produce a direct file.	Locate a direct witness or authoritative catalogue record using the source-specific author/title/year/publisher variants in the acquisition plan.	Acquire a direct witness or authoritative catalogue record without reopening ruled-out local candidates.	high	Use the acquisition plan to search external catalogues for PPA/IPPA catalogue witnesses.
ubsourcefamily-direct-witness-acquisition	ubSourceFamily	external_acquisition	Inscriptions Collected in Upper Burma	Broad local hunts ended with zero plausible direct candidates, so the next step is source-specific external/direct-witness acquisition.	No direct witness found. Current hits are bibliographic clues or later secondary/article-style material.	Locate a direct witness or authoritative catalogue record using the source-specific author/title/year/publisher variants in the acquisition plan.	Acquire a direct witness or authoritative catalogue record without reopening ruled-out local candidates.	high	Use the acquisition plan to search external catalogues for UB 1 / UB 2 / Archaeological Survey of Burma witnesses.
lucepemaungtininscriptionsofburma-direct-witness-acquisition	lucePeMaungTinInscriptionsOfBurma	external_acquisition	Inscriptions of Burma	Broad local hunts ended with zero plausible direct candidates, so the next step is source-specific external/direct-witness acquisition.	Verified plate/facsimile witnesses exist, but the current text-volume hunt only yields cross-source leads, secondary/article matches, bibliographic clues, or false positives.	Locate a direct witness or authoritative catalogue record using the source-specific author/title/year/publisher variants in the acquisition plan.	Acquire a direct witness or authoritative catalogue record without reopening ruled-out local candidates.	high	Find the companion text volume before treating Inscriptions of Burma as text-covered.
