bibtex_key	entry_type	author	editor	year	title	booktitle	journal	publisher	address	doi	url	isbn	raw_entry_hash	source_label	notes
Aarsleff1974	incollection	Aarsleff, Hans	Hymes, Dell	1974	{T}he tradition of {C}ondillac			Indiana University Press					735e3ba858e432c098e3bc5f3e422320bd41a0ae42410ec96c85e2dffbd1b1bf	asia 2.bib	
Pinault1982	incollection	Pinault, Georges-Jean		1982	A neglected phonetic law: The reduction of the Indo-European laryngeals in internal syllables before yod								719a44f67f497a12c012735f39be7e4d189b53a235b0b310237a6a96cfec94ba	asia 2.bib	
mazaudon1994	unknown	Mazaudon, Martine		1994	{P}roblèmes de comparatisme et de reconstruction dans quelques langues de la famille tibéto-birmane								b3d2b351257e2babe2d6308c64a8fe87113c6e96c01950df6588a2420b109185	asia 2.bib	Malformed BibTeX entry salvaged without explicit type
Aitchison2003	incollection	Aitchison, J.		2003	{P}sycholinguistic perspectives on languages change								3fe77c6fdacf33e05781006ac38c5c07c8d823f2055b18469a41aa9f24d60adb	asia 2.bib	
Arens1975	incollection	Arens, Hans			{S}prachwissenschaft, {G}eschichte								05eb10d64c9d1292caeca5b05baa683928fd9945ab1f46180c0dbf6aff89e5d1	asia 2.bib	
Balasundaram2008	incollection	Balasundaram, Balabhaskar and Butenko, Sergiy		2008	{N}etwork clustering								c5d159f0a791768774ad041dc8c04ee5a37656473fdd85f09017cf2dc9930209	asia 2.bib	
Basboell1988	incollection	Basb{\o}ll, Hans			{P}honological theory								cf870cf13c2752d3c42141868b6637788ece29276b781151fdaf9accee57d0a5	asia 2.bib	
Baxter1998	incollection	Baxter, William H. and Sagart, Laurent			{W}ord formation in {O}ld {C}hinese								5c6ac6747ef80afcfc5661ce067645daa3f4d86dece62a91176bede0b8d49ff0	asia 2.bib	
Beckmann1988	incollection	Beckmann, Mary E.			{P}honetic theory								64bad01970a199b9d916aa49b14fd8b1bc6f1282aa91e3f0ff221e3de8124c29	asia 2.bib	
BermudezOtero2007	incollection	Berm{\'{u}}dez-Otero, Ricardo			{D}iachronic phonology								1802422d72ce59583b19956801139c242677e2a1c259dd5bf9d29039851d957b	asia 2.bib	
Blench2013	incollection	Blench, Roger and Post, Mark W.		2013	{R}ethinking {S}ino-{T}ibetan phylogeny from the perspective of {N}orth {E}ast {I}ndian languages								c6d4f9523c148ec028f2b12965eeac2795e6a48101f0d6d1c7ed6563e4249eb9	asia 2.bib	
Blevins2008	incollection	Blevins, Juliette			{C}onsonant epenthesis: {N}atural and unnatural histories								167ee802a6e56c1be4ab54ae00867206627114b4dbe8c5aebd6b3e1f0ce4493a	asia 2.bib	
Blust2000	incollection	Blust, Robert	Renfrew, C. and McMahon, A. and Trask, Robert Larry	2000	{W}hy lexicostatistics doesn’t work			McDonald Institute for Archaeological Research	Cambridge				153f3338d4d57dee01d152519bb4e1f64cef5e37b25213c274554aaebfdfd5fa	asia 2.bib	
Booij2009	incollection	Booij, Geert		2009	{L}exical storage and phonological change								399485a5b1a612383edb5775670f9c293c0ce06f4e73f2b078c93866b4737608	asia 2.bib	
Branner2006b	incollection	Branner, David Prager			{S}ome composite phonological systems in {C}hinese								3fb60f89cd44157b29dc3259139c551cdf6f8c81a34a4ae986c4f673f9451170	asia 2.bib	
Branner2011a	incollection	Branner, David Prager			{P}honology in the {C}hinese script and its relationship to {E}arly {C}hinese literacy								552de1e57d4895ba9804c479b5ade15ed41bf416748b208a3ce81e3509ef9528	asia 2.bib	
Brugmann1897	mvcollection	Brugmann, Karl			{E}inleitung und {L}autlehre								4faa9ed977e3632d085e75dc603ab3fe4f649bedf49c46cda4a8355cf35aaab9	asia 2.bib	
