extracted_unit_id	citation_target_id	normalized_source_key	matched_local_file_id	source_page_or_locator	source_entry_number	detected_inscription_identifier	detected_language	unit_type	ocr_text	confidence	linked_corpus_record_id	linked_inscription_id	link_basis	needs_manual_review	notes
iob-preface-overview	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	pages 2-3	Preface	facsimile preface statement	English	commentary	PREFACE ANGOON UNIVERSITY, in starting on the work of publishing facsimiles of the inscriptions of Burma, is following the good example set by the French Academie des Inscriptions et Belles Lettres, which since 1926' has been doing the same for the inscriptions of Camboja. It is not necessary to lay stress on the importance of these inscriptions; they are the main source of our knowledge of the older history of these countries; they are also the first extant specimens of their language and literature. All must sooner or later be edited, with full annotation and translation. But it will be long before this labour is completed; and meantime there seems to be no reason to delays published books containing the text of the inscription or its translation into English, (c) the original reader will find the same plate-number and a brief identification of the inscription in Burmese.	high				false	Front matter states that the volume publishes facsimiles and points readers to books containing text or English translation.
iob-abbrev-01	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation A-Original	A-Original	English	commentary	A-Original Inscriptions collected by King Bodawpaya in Upper Burma and now placed near the Pandawgyi Pagoda, Amarapura, 1913. Government Press, Rangoon,	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-02	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation B	B	English	commentary	B II-Inscription copied from the Stones collected by King Bodawpaya and placed near the Arakan Pagoda, Volume II. 1897. Government Press. Rangoon.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-03	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation JBRS	JBRS	English	commentary	JBRS Journal of the Burma Research Society. 19t1 onwards. Rangoon. 1	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-04	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation List	List	English	commentary	List A List of Inscriptions found in Burma, Part I. 1921. Government Press, Rangoon.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-05	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation PPA	PPA	English	commentary	PPA Inscriptions of Pagan, Pinya, and Ava. 1892. Government Press, Rangoon,	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-06	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation SIP-Selections	SIP-Selections	English	commentary	SIP-Selections from the Inscriptions of Pagan. By Pe Maung Tin and G. H. Luce, University of Rangoon, Department of Oriental Studies Publication No. 1. 1928. British Burma Press, Rangoon.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-07	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation TN-Inscriptions	TN-Inscriptions	English	commentary	TN-Inscriptions of Pagan, Pinya, and Ava. Translation, with Noter. By Tun Nyein. 1899. Government Press, Rangoon.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-08	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation UB	UB	English	commentary	UB 1-Inscriptions collected in Upper Burma.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-abbrev-09	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 5	Abbreviation UB	UB	English	commentary	UB II-Inscriptions collected in Upper Burma. Volume I. goo, Government Press, Rangoon. Volume II. 1903. Government Press, Rangoon.	high				false	Abbreviation-definition witness from the OCRed front matter.
iob-index-001	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate I	List 66 a; PPA 159-161; TN 73-76; JBRS X 67-74 Stone set in the wall of the Shwegugyi	English	catalogue_entry	"Plate 1. List 66 a. PPA 159-161, TN 73-76, JBRS X 67-74 Stone set in the wall of the Shwegugyi,
Pagan (Stone A)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-002	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate II	List 66 b; PPA 162-164; TN 76-79 Ditto (Stone B)	English	catalogue_entry	Plate II. List 66 b. PPA 162-164, TN 76-79 Ditto (Stone B).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-003	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate III	List 72	English	catalogue_entry	Plate III. List 72. A. Now at the Patodawgyi, Amarapura (Stone 14).	high	obi-v01-n0010-ob-p0026	obi-v01-n0010	Exact structured corpus plate citation resolved to OCRed Plate III.	false	Linked through exact corpus plate citation(s): Pl. I 3.
iob-index-004	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate IV	List 81 a; SIP 13-15; PPA 141-142; TN 66	English	catalogue_entry	"Plate IV. List 81 a. SIP 13-15, PPA 141-142, TN 66. Pillar in the north porch of the Dhammayangyi,
Pagan (South face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-005	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate V	List 81 b; SIP 15-16; PPA 143-144; TN 66-67	English	catalogue_entry	Plate V. List 81 b. SIP 15-16, PPA 143-144, TN 66-67. Ditto (North face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-006	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VI	List 105; PPA 139 140; TN 65-66	English	catalogue_entry	"Plate VI. List 105. PPA 139 140, TN 65-66. From within the porch of the Tainggyut pagoda, outside
the Tapala (? Tharabha) gate to the east of Pagan. Now at Pagan Museum (Stone 57 West face)."	high	obi-v01-n0021-ob-p0042	obi-v01-n0021	Exact structured corpus plate citation resolved to OCRed Plate VI.	false	Linked through exact corpus plate citation(s): Pl. I 6.
iob-index-007	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VII	List 106; B II 768)	English	catalogue_entry	"Plate VII. (cf. List 106, B II 768). From the Minochantha north pagoda, Pagan. Now at Pagan
Muscum (Stone 11)."	high	obi-v01-n0022-ob-p0043	obi-v01-n0022	Exact structured corpus plate citation resolved to OCRed Plate VII.	false	Linked through exact corpus plate citation(s): Pl. I 7.
iob-index-008	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VIII a	List 08; A 34	English	catalogue_entry	Plate VIII a. List 08. A 34. Now at the Patodawgyi, Amarapura (Stone 21).	high	obi-v01-n0023-ob-p0044	obi-v01-n0023	Exact structured corpus plate citation resolved to OCRed Plate VIII a.	false	Linked through exact corpus plate citation(s): Pl. I 8a.
iob-index-009	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VIII b		English	catalogue_entry	Plate VIII b. Now at Pagan Museum (Stone 55).	high	obi-v01-n0024-ob-p0045	obi-v01-n0024	Exact structured corpus plate citation resolved to OCRed Plate VIII b.	false	Linked through exact corpus plate citation(s): Pl. I 8b.
iob-index-010	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate IX a		English	catalogue_entry	Plate IX a. Now at the Patodawgyi, Amarapura (Stone 291 North face).	high	obi-v01-n0033-ob-p0056	obi-v01-n0033	Exact structured corpus plate citation resolved to OCRed Plate IX a.	false	Linked through exact corpus plate citation(s): Pl. I 9a.
iob-index-011	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate IX b		English	catalogue_entry	Plate IX b. Ditto (South face),	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-012	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate X a	List 123a; SIP 19-20; PPA 151-152; TN 70; JBRS VI 88-90	English	catalogue_entry	"Plate X a. List 123a. SIP 19-20, PPA 151-152, JBRS VI 88-90,TN 70. From the South Guni pagoda,
about 300 ft. south of the Dhammayangyi, Pagan. Now at Pagan Museum (Stone 54 East face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-013	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate X b	List 123 b; SIP 21; PPA 153-154; TN 70-71	English	catalogue_entry	Plate X b. List 123 b. SIP 21, PPA 153-154, TN 70-71. Ditto (West face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-014	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XI	List 125; A 36	English	catalogue_entry	"Plate XI. List 125. A 36. From the Pandaw Shwegyaung, Pindalè. Now at the Patodawgyi,
Amarapura (Stone 58 North face)."	high	obi-v01-n0031-ob-p0054	obi-v01-n0031	Exact structured corpus plate citation resolved to OCRed Plate XI.	false	Linked through exact corpus plate citation(s): Pl. I 11.
iob-index-015	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XII	List 80; UB I 287	English	catalogue_entry	Plate XII. List 80. UB I 287. In the Tatkale pagoda, Minnanthu.	high	obi-v01-n0032-ob-p0055	obi-v01-n0032	Exact structured corpus plate citation resolved to OCRed Plate XII.	false	Linked through exact corpus plate citation(s): Pl. I 12.
iob-index-016	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XIII	List 120; PPA 165; TN 79	English	catalogue_entry	"Plate XIII. List 120, PPA 165, TN 79. From the east side of the enclosure of the Shinbinbodhi
pagoda, Pagan. Now at Pagan Museum (Stone 12 East face)."	high	obi-v01-n0027-ob-p0048	obi-v01-n0027	Exact structured corpus plate citation resolved to OCRed Plate XIII.	false	Linked through exact corpus plate citation(s): Pl. I 13.
iob-index-017	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XIV	List 144	English	catalogue_entry	Plate XIV. List 144.	high	obi-v01-n0034-re-p0056	obi-v01-n0034	Exact structured corpus plate citation resolved to OCRed Plate XIV.	false	Linked through exact corpus plate citation(s): Pl. I 14.
iob-index-018	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XV	List 145; PPA 166; TN 8o	English	catalogue_entry	"Plate XV. List 145.
Pagan (East face).
PPA 166, TN 8o.
PPA 18-19, TN 6."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-019	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XVI	List 145 b; PPA 20; TN 6	English	catalogue_entry	"Plate XVI. List 145 b. PPA 20, TN 6.
Ditto (West face).
In the west porch of the Thatemokku pagoda, Shwezigon,
Ditto (West face)."	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-020	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XVII		English	catalogue_entry	Plate XVII. Now at Pagan Museum (Stone 52 East face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
iob-index-021	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XVIII		English	catalogue_entry	Plate XVIII. Ditto (West face).	medium				true	English index-of-plates entry extracted from the OCRed volume.
