dashboard_id	inscription_id	corpus_record_id	corpus_title_or_label	corpus_language_field	corpus_language_scope	citation_target_id	citation_raw	normalized_source_key	source_role	matched_local_file_id	matched_ocr_text_path	translation_status_from_citation	source_text_status_from_citation	source_work_language_scope	citation_relevance_to_burmese_corpus	is_burmese_relevant	source_match_status	ocr_status	extraction_status	next_action	notes
corpus-dashboard-00001	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0368	IPPA-209	ppaCatalogue	source_text_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
corpus-dashboard-00002	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0005	List 52	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	direct_burmese_relevance	true	exact_or_near_exact_match	not_requested	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00003	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0363	IOB4-364/b	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	direct_burmese_relevance	true	already_ocr_available	completed	citation_not_translation	use_as_cross_reference	No stronger conservative family signal was detected.
corpus-dashboard-00004	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0006	EB Vol.1, n°1 BED B 474-1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
corpus-dashboard-00005	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0363	Pl. IV 364a+b	lucePeMaungTinInscriptionsOfBurma	cross_reference_witness	inscriptions_of_burma-b7c07d9f6d02	data/working/ocr/local_sources/text/inscriptions_of_burma-b7c07d9f6d02.txt	cross_reference_only	plate_or_index_witness	mixed_or_uncertain	direct_burmese_relevance	true	already_ocr_available	completed	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00006	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0367	OBI 1, p. 1 and OBI1,p.4	oldBurmeseInscriptions	internal_corpus_source			no_translation_indicator	no_source_text_indicator	Old Burmese	direct_burmese_relevance	true	needs_manual_review		citation_not_translation	no_extraction_action	Grouped by recurring leading label.
corpus-dashboard-00007	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0378	UEM no. 3, p. 3	uemSelectionsPagan	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	needs_manual_review		unclear_needs_manual_review	manual_citation_review	Grouped by recurring leading label.
corpus-dashboard-00008	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0006	EB 1 (1), 1919, p. 1	epigraphiaBirmanica	edition_witness			no_translation_indicator	likely_source_text	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
corpus-dashboard-00009	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0005	List 51+52	duroiselle1921list	catalogue_or_list_witness	duroiselle_1921_list_of_inscriptions-fd372f9141d6		cross_reference_only	catalogue_or_list_witness	mixed_or_uncertain	direct_burmese_relevance	true	exact_or_near_exact_match	not_requested	citation_not_translation	use_as_cross_reference	Grouped by recurring leading label.
corpus-dashboard-00010	obi-v01-n0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	mya	Old Burmese	corpus-citation-target-0372	TN, p. 97	tnInscriptionsPaganPinyaAva	translation_witness			likely_translation_source	no_source_text_indicator	mixed_or_uncertain	direct_burmese_relevance	true	no_local_candidate_found		source_not_found	manual_file_hunt	Grouped by recurring leading label.
