corpus_record_id	inscription_id	corpus_title_or_label	corpus_date_or_period	corpus_language_field	citation_raw	citation_type_if_given	source_abbreviation	source_author	source_title	source_year	source_volume_issue	source_page_or_plate	mentions_translation	mentions_text	mentions_transcription	mentions_edition	mentions_rubbing_or_plate	mentions_commentary_only	corpus_language_scope	source_work_language_scope	citation_relevance_to_burmese_corpus	citation_target_id	notes
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	IPPA-209	number	PPA; IPPA	Archaeological Survey of Burma (ed.)	Inscriptions of Pagan, Pinya and Ava		209		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0368	Grouped by recurring leading label. raw IPPA preserved; mapped to PPA-related source work
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	List 52	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	52		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	IOB4-364/b	unclear	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IOB4-364/b		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0363	No stronger conservative family signal was detected.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	EB Vol.1, n°1 BED B 474-1	unclear	EB		Epigraphia Birmanica	1919	EB Vol.1, n°1 BED B 474-1		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	Pl. IV 364a+b	plate	IOB; Pl.	G. H. Luce and U Pe Maung Tin	Inscriptions of Burma	1933	IV 364a+b		false	true	false	true	true	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0363	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	OBI 1, p. 1 and OBI1,p.4	volume_page	OBI	Tilman Frasch	Old Burmese Inscriptions		1, p. 1		false	true	false	true	false	false	Old Burmese	Old Burmese	direct_burmese_relevance	corpus-citation-target-0367	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	UEM no. 3, p. 3	volume_page	UEM	U E Maung (ed.)	Selections from the Inscriptions of Pagan	1958	3, p. 3		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0378	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	EB 1 (1), 1919, p. 1	volume_page	EB		Epigraphia Birmanica	1919	1919, p. 1		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0006	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	List 51+52	catalogue_number	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	51+52		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0005	Grouped by recurring leading label.
obi-v01-n0001-tx-p0001	obi-v01-n0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	CS 474 = CE 1112 AB 1628 = CE 1084 plus 28 years (i. e. 1112 CE)	mya	TN, p. 97	page	TN	U Tun Nyein (tr.)	Inscriptions of Pagan, Pinya and Ava	1897	97		false	true	false	true	false	false	Old Burmese	mixed_or_uncertain	direct_burmese_relevance	corpus-citation-target-0372	Grouped by recurring leading label.
