extracted_unit_id	citation_target_id	normalized_source_key	matched_local_file_id	source_page_or_locator	source_entry_number	detected_inscription_identifier	detected_language	unit_type	ocr_text	confidence	linked_corpus_record_id	linked_inscription_id	link_basis	needs_manual_review	notes	review_category
iob-index-003	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate III	List 72	English	catalogue_entry	Plate III. List 72. A. Now at the Patodawgyi, Amarapura (Stone 14).	high	obi-v01-n0010-ob-p0026	obi-v01-n0010	Exact structured corpus plate citation resolved to OCRed Plate III.	false	Linked through exact corpus plate citation(s): Pl. I 3.	linked_catalogue_entry
iob-index-006	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VI	List 105; PPA 139 140; TN 65-66	English	catalogue_entry	"Plate VI. List 105. PPA 139 140, TN 65-66. From within the porch of the Tainggyut pagoda, outside
the Tapala (? Tharabha) gate to the east of Pagan. Now at Pagan Museum (Stone 57 West face)."	high	obi-v01-n0021-ob-p0042	obi-v01-n0021	Exact structured corpus plate citation resolved to OCRed Plate VI.	false	Linked through exact corpus plate citation(s): Pl. I 6.	linked_catalogue_entry
iob-index-007	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VII	List 106; B II 768)	English	catalogue_entry	"Plate VII. (cf. List 106, B II 768). From the Minochantha north pagoda, Pagan. Now at Pagan
Muscum (Stone 11)."	high	obi-v01-n0022-ob-p0043	obi-v01-n0022	Exact structured corpus plate citation resolved to OCRed Plate VII.	false	Linked through exact corpus plate citation(s): Pl. I 7.	linked_catalogue_entry
iob-index-008	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VIII a	List 08; A 34	English	catalogue_entry	Plate VIII a. List 08. A 34. Now at the Patodawgyi, Amarapura (Stone 21).	high	obi-v01-n0023-ob-p0044	obi-v01-n0023	Exact structured corpus plate citation resolved to OCRed Plate VIII a.	false	Linked through exact corpus plate citation(s): Pl. I 8a.	linked_catalogue_entry
iob-index-009	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate VIII b		English	catalogue_entry	Plate VIII b. Now at Pagan Museum (Stone 55).	high	obi-v01-n0024-ob-p0045	obi-v01-n0024	Exact structured corpus plate citation resolved to OCRed Plate VIII b.	false	Linked through exact corpus plate citation(s): Pl. I 8b.	linked_catalogue_entry
iob-index-010	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate IX a		English	catalogue_entry	Plate IX a. Now at the Patodawgyi, Amarapura (Stone 291 North face).	high	obi-v01-n0033-ob-p0056	obi-v01-n0033	Exact structured corpus plate citation resolved to OCRed Plate IX a.	false	Linked through exact corpus plate citation(s): Pl. I 9a.	linked_catalogue_entry
iob-index-014	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XI	List 125; A 36	English	catalogue_entry	"Plate XI. List 125. A 36. From the Pandaw Shwegyaung, Pindalè. Now at the Patodawgyi,
Amarapura (Stone 58 North face)."	high	obi-v01-n0031-ob-p0054	obi-v01-n0031	Exact structured corpus plate citation resolved to OCRed Plate XI.	false	Linked through exact corpus plate citation(s): Pl. I 11.	linked_catalogue_entry
iob-index-015	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XII	List 80; UB I 287	English	catalogue_entry	Plate XII. List 80. UB I 287. In the Tatkale pagoda, Minnanthu.	high	obi-v01-n0032-ob-p0055	obi-v01-n0032	Exact structured corpus plate citation resolved to OCRed Plate XII.	false	Linked through exact corpus plate citation(s): Pl. I 12.	linked_catalogue_entry
iob-index-016	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XIII	List 120; PPA 165; TN 79	English	catalogue_entry	"Plate XIII. List 120, PPA 165, TN 79. From the east side of the enclosure of the Shinbinbodhi
pagoda, Pagan. Now at Pagan Museum (Stone 12 East face)."	high	obi-v01-n0027-ob-p0048	obi-v01-n0027	Exact structured corpus plate citation resolved to OCRed Plate XIII.	false	Linked through exact corpus plate citation(s): Pl. I 13.	linked_catalogue_entry
iob-index-017	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 6	Plate XIV	List 144	English	catalogue_entry	Plate XIV. List 144.	high	obi-v01-n0034-re-p0056	obi-v01-n0034	Exact structured corpus plate citation resolved to OCRed Plate XIV.	false	Linked through exact corpus plate citation(s): Pl. I 14.	linked_catalogue_entry
iob-index-087	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 9	Plate LXXV a	List 196; PPA 219-220; TN 101	English	catalogue_entry	Plate LXXV a. List 196. PPA 219-220, TN 101. Ditto (North face).	medium				true	Simple plate locator is ambiguous across two corpus records; keep this entry unlinked for review.	ambiguous_index_entry
iob-index-100	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 9	Plate LXXXIV	List 173; UBI 175	English	catalogue_entry	"Plate LXXXIV. List 173. UBI 175. At the Lemyethna pagoda, Minnanthu, Pagan (stone outside,
against the north wall of the inscription-cella)."	medium				true	Simple plate locator is ambiguous across multiple corpus records; keep this entry unlinked for review.	ambiguous_index_entry
iob-plate-page-019	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 19	INSCRIPTIONS OF BURMA. PORTFOLIO 1		Mixed/OCR-noisy	plate_or_rubbing_caption	INSCRIPTIONS OF BURMA. PORTFOLIO 1 git is then & min a PLATE I	low				true	Actual plate page OCR is too noisy for safe inscription-level extraction; keep as a representative low-confidence facsimile witness.	ocr_failure_or_plate_noise
iob-plate-page-024	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 24	INSCRIPTIONS OF BURMA PORTFOLIO L		Mixed/OCR-noisy	plate_or_rubbing_caption	INSCRIPTIONS OF BURMA PORTFOLIO L PLATE IX and b 432 (4) #3) AGENGU Zufall 2 Roughing L	low				true	Actual plate page OCR is too noisy for safe inscription-level extraction; keep as a representative low-confidence facsimile witness.	ocr_failure_or_plate_noise
iob-plate-page-063	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 63	INSCRIPTIONS OF DURMA PORTFOLIO L		Mixed/OCR-noisy	plate_or_rubbing_caption	INSCRIPTIONS OF DURMA PORTFOLIO L PLATE I 855 m) (	low				true	Actual plate page OCR is too noisy for safe inscription-level extraction; keep as a representative low-confidence facsimile witness.	ocr_failure_or_plate_noise
iob-plate-page-106	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 106	INSCRIPTIONS OF BURMA PORTFOLIO I		Mixed/OCR-noisy	plate_or_rubbing_caption	INSCRIPTIONS OF BURMA PORTFOLIO I keutum unruno, ssed. Hhaun an unic infertiangible LOGAT 2350 LING TURK B&q 193	low				true	Actual plate page OCR is too noisy for safe inscription-level extraction; keep as a representative low-confidence facsimile witness.	ocr_failure_or_plate_noise
iob-plate-page-124	corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	inscriptions_of_burma-b7c07d9f6d02	page 124	INSCRIPTIONS OF BURSA PORTFOLIO 1		Mixed/OCR-noisy	plate_or_rubbing_caption	INSCRIPTIONS OF BURSA PORTFOLIO 1 Salam.www.ume urinen hur MFIT BITERS ADMI ၊ (ခ)၊ USGS = Unfiltem PLATE U	low				true	Actual plate page OCR is too noisy for safe inscription-level extraction; keep as a representative low-confidence facsimile witness.	ocr_failure_or_plate_noise
