citation_target_id	normalized_source_key	current_match_status	current_matched_local_file_id	current_matched_file_name	review_status	reviewed_match_status	reviewed_matched_local_file_id	reviewed_matched_file_name	review_confidence	review_basis	queue_for_targeted_ocr	notes
corpus-citation-target-0005	duroiselle1921list	exact_or_near_exact_match	duroiselle_1921_list_of_inscriptions-fd372f9141d6	Duroiselle 1921 List of Inscriptions.pdf	accepted_match	exact_or_near_exact_match			high	Exact title and author alignment to local Duroiselle 1921 List witness.	false	Reviewed exact local catalogue witness; safe for targeted OCR if not already OCRed. | Source role catalogue_or_list_witness is non-extractive for source-text/translation OCR queueing. | Source role catalogue_or_list_witness is non-extractive for source-text/translation OCR queueing. | Source role catalogue_or_list_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0006	epigraphiaBirmanica	no_local_candidate_found			needs_manual_file_hunt	no_local_candidate_found			medium	Series-level EB authority has not yet been tied to a specific local fascicle or article file.	false	Do not queue OCR until the EB citation is resolved to a specific fascicle or article.
corpus-citation-target-0202	fam-raw-duroiselle-arasi-1912-hledaung-inscr	multiple_candidates			needs_manual_file_hunt	needs_manual_review			medium	Multiple candidate files remain unresolved.	false	Do not queue OCR until the Hledaung inscription article is pinned to a specific local file. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0348	fam-raw-than-tun-hnaung-dwe	multiple_candidates			needs_manual_file_hunt	needs_manual_review			medium	Multiple candidate files remain unresolved.	false	Do not queue OCR until the Than Tun witness is pinned to a specific file. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0356	gHLuceNotebookD	multiple_candidates			not_needed_internal_source	needs_manual_review			medium	Private notebook locator system rather than a target publication.	false	Notebook locators should support citation interpretation, not drive OCR queue selection. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0357	gHLuceNotebookJ	multiple_candidates			not_needed_internal_source	needs_manual_review			medium	Private notebook locator system rather than a target publication.	false	Notebook locators should support citation interpretation, not drive OCR queue selection. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing. | Source role commentary_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0359	htway1974oldest	needs_ocr	tin_htway_1974_oldest_burmese_inscriptio-026cc9578084	Tin Htway 1974 Oldest Burmese Inscription.pdf	accepted_match	needs_ocr			high	Local title and author align cleanly to the cited Tin Htway article.	true	Reviewed exact article witness; queue only through the citation-led OCR table.
corpus-citation-target-0362	luce197615th	needs_ocr	luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	Luce and Tin Htway 1976 15th Century Inscription and Library at Pagan.pdf	accepted_match	needs_ocr			high	Local title and authors align cleanly to the cited Luce and Tin Htway article.	true	Reviewed exact article witness; queue only through the citation-led OCR table.
corpus-citation-target-0363	lucePeMaungTinInscriptionsOfBurma	exact_or_near_exact_match	pe_maung_tin_luce_1960_glass_palace_chro-3f81fffbb8f6	Pe Maung Tin & Luce 1960 Glass Palace Chronicles.pdf	corrected_match	exact_or_near_exact_match	inscriptions_of_burma-b7c07d9f6d02	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	medium	Rejected Glass Palace Chronicles; corrected to the local file explicitly titled Inscriptions of Burma.	false	Glass Palace Chronicles is not Inscriptions of Burma and must not feed targeted OCR. | Source role cross_reference_witness is non-extractive for source-text/translation OCR queueing. | Source role cross_reference_witness is non-extractive for source-text/translation OCR queueing. | Source role cross_reference_witness is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0364	lwin1989rajakumars	multiple_candidates			needs_manual_file_hunt	needs_manual_review			medium	Multiple candidate files remain unresolved.	false	Do not queue OCR until the Rajakumar citation is pinned to a specific file.
corpus-citation-target-0367	oldBurmeseInscriptions	exact_or_near_exact_match	frasch_1996_pagan_machineenglishtranslat-6f1791859aa4	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	multiple_local_witnesses	needs_manual_review			medium	OBI is an internal corpus source family with multiple local volume witnesses, not one Frasch proxy PDF.	false	Treat OBI as an internal structured-corpus source rather than a single OCR target. | Source role internal_corpus_source is non-extractive for source-text/translation OCR queueing. | Source role internal_corpus_source is non-extractive for source-text/translation OCR queueing. | Source role internal_corpus_source is non-extractive for source-text/translation OCR queueing.
corpus-citation-target-0368	ppaCatalogue	already_ocr_available	022245-d96384af909d	CD-ASI-1909.pdf	needs_manual_file_hunt	no_local_candidate_found			medium	Rejected the earlier ASI stand-in, then targeted local-file hunt found no plausible 1892 PPA witness.	false	See ppa_source_hunt.tsv for rejected near-title candidates and the no-local-candidate result.
corpus-citation-target-0371	sipSelectionsPagan	multiple_candidates			needs_manual_file_hunt	needs_manual_review			medium	Multiple candidate files remain unresolved.	false	SIP remains a manual witness-identification task before any OCR queueing.
corpus-citation-target-0372	tnInscriptionsPaganPinyaAva	no_local_candidate_found			needs_manual_file_hunt	no_local_candidate_found			medium	Targeted local-file hunt found no Tun Nyein witness; near-title hits are Taw Sein Ko 1899 and Luce/Pe Maung Tin 1928, both rejected.	false	See tn_source_hunt.tsv for the targeted local-source search evidence.
corpus-citation-target-0375	uPeMaungTin1966myazediInscription	needs_ocr	pe_maung_tin_luce_1960_glass_palace_chro-3f81fffbb8f6	Pe Maung Tin & Luce 1960 Glass Palace Chronicles.pdf	rejected_wrong_match	needs_manual_review			medium	Rejected Glass Palace Chronicles; the local Myazedi file needs separate confirmation before OCR.	false	A separate local Myazedi Inscription file exists, but the edition/year linkage still needs confirmation.
corpus-citation-target-0376	uThaMyat1958paliVersionMyazedi	needs_ocr	ib_ccclxi_myazedi_pali-b16e2d2e1d06	IB_CCCLXI_Myazedi-Pali.pdf	accepted_match	needs_ocr			medium	Local IB_CCCLXI Myazedi Pali file matches the cited Pali-version witness.	false	Keep as a reviewed Pali parallel witness, but do not queue it for Burmese-focused targeted OCR.
corpus-citation-target-0378	uemSelectionsPagan	multiple_candidates			needs_manual_file_hunt	needs_manual_review			medium	No reviewed single-file witness is yet confirmed for UEM.	false	Do not queue OCR until a UEM witness is pinned to a specific file.
