bibliography_id	short_label	raw_reference_strings	ocr_status	translation_relevance
bib-12	12	12	not_started	unknown
bib-17	17	17	not_started	unknown
bib-184-bed-b-614-2	-184 BED B 614-2	-184 BED B 614-2	not_started	unknown
bib-1936-37-4003-1938-39-4080	-1936-37/ 4003, 1938-39/ 4080	-1936-37/ 4003, 1938-39/ 4080	not_started	unknown
bib-1938-39-brdasb-bed-b-592-3	1938-39-bRDASB BED B 592-3	1938-39-bRDASB BED B 592-3	not_started	unknown
bib-1938-39-brdasb-bed-b-595-5	1938-39-bRDASB BED B 595-5	1938-39-bRDASB BED B 595-5	not_started	unknown
bib-1958-59	1958-59	1958-59	not_started	unknown
bib-1958-59-b-rdasb-bed-b-568-3	1958-59-b RDASB BED B 568-3	1958-59-b RDASB BED B 568-3	not_started	unknown
bib-1960-61-b-rdasb-bed-b-590-3	1960-61-b RDASB BED B 590-3	1960-61-b RDASB BED B 590-3	not_started	unknown
bib-1960-p-241	1960, p. 241	1960, p. 241	not_started	unknown
bib-1962-63-b-rdasb-bed-b-622-6	1962-63-b RDASB BED B 622-6	1962-63-b RDASB BED B 622-6	not_started	unknown
bib-1962-63-bed-b-622-6	1962-63 BED B 622-6	1962-63 BED B 622-6	not_started	unknown
bib-1962-63-rdasb-bed-b-600-7	1962-63 RDASB BED B 600-7	1962-63 RDASB BED B 600-7	not_started	unknown
bib-1963	1963,	1963,	not_started	unknown
bib-1963-64-b-rdasb	1963-64-b RDASB	1963-64-b RDASB	not_started	unknown
bib-1970-71	1970-71	1970-71	not_started	unknown
bib-2	& 2	& 2 | -2	not_started	unknown
bib-265	---265,	---265,	not_started	unknown
bib-3	3 ,	3 ,	not_started	unknown
bib-31-2-3	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	not_started	unknown
bib-377	-377	-377	not_started	unknown
bib-6	-6-,	-6-,	not_started	unknown
bib-617	617	617	not_started	unknown
bib-769	--769	--769	not_started	unknown
bib-a-p-1	A, p.1	A, p.1	not_started	unknown
bib-a-p-101	A, p. 101	A, p. 101	not_started	unknown
bib-a-p-103-105	A, p. 103-105	A, p. 103-105	not_started	unknown
bib-a-p-106	A, p. 106	A, p. 106	not_started	unknown
bib-a-p-11	A, p. 11	A, p. 11	not_started	unknown
bib-a-p-112	A, p. 112	A, p. 112	not_started	unknown
bib-a-p-113	A, p. 113	A, p. 113	not_started	unknown
bib-a-p-114	A, p. 114	A, p. 114	not_started	unknown
bib-a-p-116	A, p. 116	A, p. 116	not_started	unknown
bib-a-p-128	A, p. 128	A, p. 128	not_started	unknown
bib-a-p-16	A, p. 16	A, p. 16	not_started	unknown
bib-a-p-18	A, p. 18	A, p. 18	not_started	unknown
bib-a-p-19	A, p. 19	A, p. 19	not_started	unknown
bib-a-p-27	A, p. 27	A, p. 27	not_started	unknown
bib-a-p-28	A, p. 28	A, p. 28	not_started	unknown
bib-a-p-34	A, p. 34	A, p. 34	not_started	unknown
bib-a-p-36	A, p. 36	A, p. 36	not_started	unknown
bib-a-p-377	A p. 377	A p. 377	not_started	unknown
bib-a-p-39	A, p. 39	A, p. 39	not_started	unknown
bib-a-p-41	A, p. 41	A, p. 41	not_started	unknown
bib-a-p-410	A, p. 410	A, p. 410	not_started	unknown
bib-a-p-42	A, p. 42	A, p. 42	not_started	unknown
bib-a-p-43	A, p. 43	A, p. 43	not_started	unknown
bib-a-p-46	A, p. 46	A, p. 46	not_started	unknown
bib-a-p-50	A, p. 50	A, p. 50	not_started	unknown
bib-a-p-51	A, p. 51	A, p. 51	not_started	unknown
bib-a-p-532	A, p. 532	A, p. 532	not_started	unknown
bib-a-p-54	A, p. 54	A, p. 54	not_started	unknown
bib-a-p-55	A, p. 55	A, p. 55	not_started	unknown
bib-a-p-56	A, p. 56	A, p. 56	not_started	unknown
bib-a-p-58	A, p. 58	A, p. 58	not_started	unknown
bib-a-p-59	A, p. 59	A, p. 59	not_started	unknown
bib-a-p-60	A, p. 60	A, p. 60	not_started	unknown
bib-a-p-61	A, p. 61	A, p. 61	not_started	unknown
bib-a-p-62	A, p. 62	A, p. 62	not_started	unknown
bib-a-p-63	A, p. 63	A, p. 63	not_started	unknown
bib-a-p-66	A, p. 66	A, p. 66	not_started	unknown
bib-a-p-68	A p. 68	A p. 68	not_started	unknown
bib-a-p-7	A, p. 7	A, p. 7	not_started	unknown
bib-a-p-70	A, p. 70	A, p. 70	not_started	unknown
bib-a-p-71	A, p. 71	A, p. 71	not_started	unknown
bib-a-p-75	A, p. 75	A, p. 75	not_started	unknown
bib-a-p-79	A, p. 79	A, p. 79	not_started	unknown
bib-a-p-8	A, p. 8	A, p. 8	not_started	unknown
bib-a-p-80	A, p. 80	A, p. 80	not_started	unknown
bib-a-p-81	A, p. 81	A, p. 81	not_started	unknown
bib-a-p-83	A, p. 83	A, p. 83	not_started	unknown
bib-a-p-88	A, p. 88	A, p. 88	not_started	unknown
bib-a-p-89	A, p. 89	A, p. 89	not_started	unknown
bib-a-p-9	A, p. 9	A, p. 9	not_started	unknown
bib-a-p-94	A, p. 94	A, p. 94	not_started	unknown
bib-a-p-97-and-549	A, p. 97 and 549	A, p. 97 and 549	not_started	unknown
bib-and-mm-4-no-47-p-214-said-to-come-from-sagaing	and MM 4, no. 47, p. 214 (said to come from Sagaing)	and MM 4, no. 47, p. 214 (said to come from Sagaing)	not_started	unknown
bib-another-copy-is-list-401	another copy is List 401	another copy is List 401	not_started	unknown
bib-another-copy-mm-3-no-25-p-107	another copy MM 3, no. 25, p. 107	another copy MM 3, no. 25, p. 107	not_started	unknown
bib-another-copy-mm-4-no-20-p-90	another copy MM 4, no. 20, p. 90	another copy MM 4, no. 20, p. 90	not_started	unknown
bib-another-copy-mm-4-no-9-p-44	another copy MM 4, no. 9, p. 44	another copy MM 4, no. 9, p. 44	not_started	unknown
bib-anthology-1-p-39	Anthology 1, p. 39	Anthology 1, p. 39	not_started	unknown
bib-anthology-5-p-81	Anthology 5, p. 81	Anthology 5, p. 81	not_started	unknown
bib-anthology-5-p-82	Anthology 5, p. 82	Anthology 5, p. 82	not_started	unknown
bib-anthology-5-p-84	Anthology 5, p. 84	Anthology 5, p. 84	not_started	unknown
bib-anthology-5-p-85	Anthology 5, p. 85	Anthology 5, p. 85	not_started	unknown
bib-arasi-1921-22-p-35-and-pl-19a	ARASI 1921-22, p. 35 and pl. 19a	ARASI 1921-22, p. 35 and pl. 19a	not_started	unknown
bib-arasi-1930-34-p-190	ARASI 1930-34, p. 190	ARASI 1930-34, p. 190	not_started	unknown
bib-arasi-1936-37-p-114	ARASI 1936-37, p. 114	ARASI 1936-37, p. 114	not_started	unknown
bib-arasi-1936-37-p-115	ARASI 1936-37, p. 115	ARASI 1936-37, p. 115	not_started	unknown
bib-arasi-1936-37-p-116	ARASI 1936-37, p. 116	ARASI 1936-37, p. 116	not_started	unknown
bib-arasi-1936-7-p-114-u-min-hswe-no-11	ARASI 1936-7, p. 114, U Min Hswe, no. 11	ARASI 1936-7, p. 114, U Min Hswe, no. 11	not_started	unknown
bib-aung-thwin-ceylonese-burmese-relations-jss-1976-p-53-74	Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976, p. 53-74	Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976, p. 53-74	not_started	unknown
bib-b-1-p-420	B 1, p. 420	B 1, p. 420	not_started	unknown
bib-b-1-p-428	B 1, p. 428	B 1, p. 428	not_started	unknown
bib-b-2-p-509	B 2, p. 509	B 2, p. 509	not_started	unknown
bib-b-2-p-554	B 2, p. 554	B 2, p. 554	not_started	unknown
bib-b-2-p-621	B 2, p. 621	B 2, p. 621	not_started	unknown
