sip_inscription_unit_id	parent_witness_unit_id	sip_ref	iob_plate	list_ref	ppa_ref	tn_ref	detected_entry_number	detected_entry_title	detected_entry_location	raw_ocr_text_snippet	cleaned_witness_text_snippet	candidate_corpus_record_ids	candidate_inscription_ids	candidate_basis	current_review_status	unlinked_review_status	reason_for_review	recommended_human_action	notes
sip-witness-001-seg-01	sip-witness-001	SIP 13-15	Plate IV	List 81 a	PPA 141-142	TN 66				၁၂ (၁၃) ဩက်မစ်ကွေ့နှိုက်လဲ ၃၀။ စည်သူမင်ကြီကွတ်သည်အိမ်ဘုန်သင်ကူဘု ရာ ရွယ်ရှ (၁၄) သလဲစလင်အရပ်ဥယန်မအရှိယ်လဲ ၁၀ တနှောင်ကြည်လဲ ၃၀ မခရာ အရပ်သံပျင်သိယ်စ (၁၅) ရင်တွင်လဲ ၂၀ ငလပုပ်တွင်သံပျင်ပုစရင်တွင်လဲ ၁၁၊ အပေါင်လဲ ၇ဝ။ အိမ်ပွင် (	၁၂ (၁၃) ဩက်မစ်ကွေ့နှိုက်လဲ ၃၀။ စည်သူမင်ကြီကွတ်သည်အိမ်ဘုန်သင်ကူဘု ရာ ရွယ်ရှ (၁၄) သလဲစလင်အရပ်ဥယန်မအရှိယ်လဲ ၁၀ တနှောင်ကြည်လဲ ၃၀ မခရာ အရပ်သံပျင်သိယ်စ (၁၅) ရင်တွင်လဲ ၂၀ ငလပုပ်တွင်သံပျင်ပုစရင်တွင်လဲ ၁၁၊ အပေါင်လဲ ၇ဝ။ အိမ်ပွင် (			list ref List 81 a | IOB plate Plate IV | PPA ref PPA 141-142 | TN ref TN 66 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 13-15 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-001. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-001-seg-02	sip-witness-001	SIP 13-15	Plate IV	List 81 a	PPA 141-142	TN 66	7	စည်သူမင်းကြီး ကျောက်စာ ။		၇။ ။စည်သူမင်းကြီး ကျောက်စာ ။ (၁) ။။စည်သူမင်ကြီသကရစ် ၅၁ (၃) ဣမ်နှိမ်ကာ နန်မက်နေဟင် (၂) (င) (၄) မူသကာ ၃၇။] က်တပ်အပေါင် ၆၃။မွောက်ဖက်ကိုင်တို(င်)...[လည်တဝ်မူ၏။ (၅) .... သွာတင်မူလ ကားမူ၏အရှေ့ဖက်သွါဘပ်မူလေ၏ ကာပူ၏အနော] [ 8 မူလတ	၇။ ။စည်သူမင်းကြီး ကျောက်စာ ။ (၁) ။။စည်သူမင်ကြီသကရစ် ၅၁ (၃) ဣမ်နှိမ်ကာ နန်မက်နေဟင် (၂) (င) (၄) မူသကာ ၃၇။] က်တပ်အပေါင် ၆၃။မွောက်ဖက်ကိုင်တို(င်)[unclear][လည်တဝ်မူ၏။ (၅) [unclear] သွာတင်မူလ ကားမူ၏အရှေ့ဖက်သွါဘပ်မူလေ၏ ကာပူ၏အနေ			list ref List 81 a | IOB plate Plate IV | PPA ref PPA 141-142 | TN ref TN 66 | title စည်သူမင်းကြီး ကျောက်စာ ။ | Local SIP citation evidence only.	needs_link_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 13-15 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-001. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-002-seg-01	sip-witness-002	SIP 15-16	Plate V	List 81 b	PPA 143-144	TN 66-67				(၅၂) ပလတ်အရင်မှရှယ်ရိယ်ပါသော၊ က (လာန်) အိအိဖု (ဟ် ) ဟောင် (၆) ။ကလာန်လု။သံပျာင်ဥဟ်။သံပျာင် ( ခု)န်သိဟ် ပယ် ( စု) ဘဲ။ (၇) - ဤယ်မျှသော၊သူတို ့၌ ရိယ်ရစ်သော။ ပုဟာကျွာန်ကံ (ဂ) ကူန်ခြံ ၁။ မိယတ် ယ ုတ် ၁။ သိဟ် အိပ် ပုယ် ၁။ လာင် (	(၅၂) ပလတ်အရင်မှရှယ်ရိယ်ပါသော၊ က (လာန်) အိအိဖု (ဟ် ) ဟောင် (၆) ။ကလာန်လု။သံပျာင်ဥဟ်။သံပျာင် ( ခု)န်သိဟ် ပယ် ( စု) ဘဲ။ (၇) - ဤယ်မျှသော၊သူတို ့၌ ရိယ်ရစ်သော။ ပုဟာကျွာန်ကံ (ဂ) ကူန်ခြံ ၁။ မိယတ် ယ ုတ် ၁။ သိဟ် အိပ် ပုယ် ၁။ လာင် (			list ref List 81 b | IOB plate Plate V | PPA ref PPA 143-144 | TN ref TN 66-67 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 15-16 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-002. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-002-seg-02	sip-witness-002	SIP 15-16	Plate V	List 81 b	PPA 143-144	TN 66-67	91			၉၁။ (၂၄) - ကွယ် ၁။ အိလ်ပွေါနွဲ့ကွယ်။ အိဏ် သစ်ခောက်ကွယ် ၁။ (၂၅) - သဟ် ငာရောက် ၁။ ၄၁ ( ဆာ) က် ၁။ ငာလျောင် ၁။ မိယ ( နံပါတ် ဂ ကျောဘက်။ (၁) ။မိယဟ်အိဝည် ၁။ ကျွယ်အိမ်ရစ် ၁။ သို့ (အိမ်) ပျတ် ၁။(အိ)ငာယ် ၁၊ဖု (၂) တ်ငာရောင် ၁။အပေါင	၉၁။ (၂၄) - ကွယ် ၁။ အိလ်ပွေါနွဲ့ကွယ်။ အိဏ် သစ်ခောက်ကွယ် ၁။ (၂၅) - သဟ် ငာရောက် ၁။ ၄၁ ( ဆာ) က် ၁။ ငာလျောင် ၁။ မိယ ( နံပါတ် ဂ ကျောဘက်။ (၁) ။မိယဟ်အိဝည် ၁။ ကျွယ်အိမ်ရစ် ၁။ သို့ (အိမ်) ပျတ် ၁။(အိ)ငာယ် ၁၊ဖု (၂) တ်ငာရောင် ၁။အပေါင			list ref List 81 b | IOB plate Plate V | PPA ref PPA 143-144 | TN ref TN 66-67 | Local SIP citation evidence only.	needs_link_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 15-16 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-002. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-003-seg-01	sip-witness-003	SIP 19-20	Plate X a	List 123a	PPA 151-152	TN 70				50	50			list ref List 123a | IOB plate Plate X a | PPA ref PPA 151-152 | TN ref TN 70 | Local SIP citation evidence only.	rejected_ocr_noise	too_noisy_to_link	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003. | Local SIP citation evidence only.	ignore_ocr_noise	Local SIP citation evidence only.
sip-witness-003-seg-02	sip-witness-003	SIP 19-20	Plate X a	List 123a	PPA 151-152	TN 70	10	ပုဂံမြို့အရွှေတောင်ယွန်း၊ စူဠာမဏိကျောက်စာ၊		၁၀။ ပုဂံမြို့အရွှေတောင်ယွန်း၊ စူဠာမဏိကျောက်စာ၊ (၁) ၊ ၊နမႈသဗ္ဗညာယ၊ ၊သကရစ် ၅၄၅ ခုစိဿနှစ် (၂) တန်ဆောင်မှုန်ညွှန် ၃ ချက်ကြာသပတေနေအာစိက္ခုတ်ကွန်ထက် (၃) တော်တေနိယ်အရောင် သိုဝ်ဟောက်ပစွာ မသောနက်နှင်ဟူသော စည် သူမင်ကြီ (၄) သည်ကာ အ	၁၀။ ပုဂံမြို့အရွှေတောင်ယွန်း၊ စူဠာမဏိကျောက်စာ၊ (၁) ၊ ၊နမႈသဗ္ဗညာယ၊ ၊သကရစ် ၅၄၅ ခုစိဿနှစ် (၂) တန်ဆောင်မှုန်ညွှန် ၃ ချက်ကြာသပတေနေအာစိက္ခုတ်ကွန်ထက် (၃) တော်တေနိယ်အရောင် သိုဝ်ဟောက်ပစွာ မသောနက်နှင်ဟူသော စည် သူမင်ကြီ (၄) သည်ကာ အ			list ref List 123a | IOB plate Plate X a | PPA ref PPA 151-152 | TN ref TN 70 | title ပုဂံမြို့အရွှေတောင်ယွန်း၊ စူဠာမဏိကျောက်စာ၊ | Local SIP citation evidence only.	needs_link_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-003-seg-03	sip-witness-003	SIP 19-20	Plate X a	List 123a	PPA 151-152	TN 70	11	ပုဂံမြို့ဓမ္မရံကြီးဘုရားတောင်ပေ ၃၀၀ ခန့်တောင်ကူနီဘုရားကျောက်စာ။		၁၁။ ။ပုဂံမြို့ဓမ္မရံကြီးဘုရားတောင်ပေ ၃၀၀ ခန့်တောင်ကူနီဘုရားကျောက်စာ။ (၁) ။ ။ညီတြိဘဝနာဒိတျပဝရဓမ္မရာဇာမင်ကြီအမတ် (၂ ) ကျာကြီသိင်္ဃသူရ်မည်သောဒါယကာသည် သင်္ခါရာဆို (၃) ငြယ်ခပ် (က)ယ်သောဟ်ကုန်ရာဖွစ်သော သဗ္ဗညုမည် (၄) သော။ ပုဟာအဖ	၁၁။ ။ပုဂံမြို့ဓမ္မရံကြီးဘုရားတောင်ပေ ၃၀၀ ခန့်တောင်ကူနီဘုရားကျောက်စာ။ (၁) ။ ။ညီတြိဘဝနာဒိတျပဝရဓမ္မရာဇာမင်ကြီအမတ် (၂ ) ကျာကြီသိင်္ဃသူရ်မည်သောဒါယကာသည် သင်္ခါရာဆို (၃) ငြယ်ခပ် (က)ယ်သောဟ်ကုန်ရာဖွစ်သော သဗ္ဗညုမည် (၄) သော။ ပုဟာအဖ	obi-v03-n0169-re-p0287		local candidate ids from SIP-to-corpus cross-reference search | list ref List 123a | IOB plate Plate X a | PPA ref PPA 151-152 | TN ref TN 70 | title ပုဂံမြို့ဓမ္မရံကြီးဘုရားတောင်ပေ ၃၀၀ ခန့်တောင်ကူနီဘုရားကျောက်စာ။ | Local SIP citation evidence only.	needs_link_review	plausible_link_needs_human_review	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 19-20 using the OCR page offset observed from the scanned volume. | Detected 2 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-003. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-004-seg-01	sip-witness-004	SIP 21	Plate X b	List 123 b	PPA 153-154	TN 70-71				jo (၁၄) လယ်၏။ပုဟာမသောကြာ၊ပ (၁၅) . ကုရ်မည်သောစည်လျှင် ဖွင်နိုင်ထထလော (၁၆) ည်နှိပ်လိုရကာ။စည်ကြီပန်တျာ ပျူသော (၁၇) ၊စည်သည်ကာ cာသူခာ။င၁မတ် ငာမရန်။ (၁၀) ငာဖုန်ဆုမ်။ပသာသည်ကာသူရိမ်။ခွက် (၁၉) ခွင်သည်ကာ။ဗာ (၂) ။ကုလာပန်တျာက။ပု (၂၀	jo (၁၄) လယ်၏။ပုဟာမသောကြာ၊ပ (၁၅) . ကုရ်မည်သောစည်လျှင် ဖွင်နိုင်ထထလော (၁၆) ည်နှိပ်လိုရကာ။စည်ကြီပန်တျာ ပျူသော (၁၇) ၊စည်သည်ကာ cာသူခာ။င၁မတ် ငာမရန်။ (၁၀) ငာဖုန်ဆုမ်။ပသာသည်ကာသူရိမ်။ခွက် (၁၉) ခွင်သည်ကာ။ဗာ (၂) ။ကုလာပန်တျာက။ပု (၂၀			list ref List 123 b | IOB plate Plate X b | PPA ref PPA 153-154 | TN ref TN 70-71 | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	English index-of-plates entry extracted from the OCRed volume. | Extracted from SIP printed pages 21-21 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-004. | Local SIP citation evidence only.	compare_with_list_ref	Local SIP citation evidence only.
sip-witness-005-seg-01	sip-witness-005	SIP 25-26	Plate XXIV	List 161						(၃) သရပ။ သန်တူလွန်၇ရုတ်သူကြာနိယ် လနသတ်ပိန်လက်နှိုက် သုံပဟိုက်လျှင်ယောက်ဖျာထက် (၄) ဥတ်ဖွယ်ဦရွယ်ပု၏။ သကရစ် ၅၆ဝ ပတ်သစ်သန်တူညွှတ် ၂ ရွက်သု ကြာနိယ်။အန်လျှင်ထွက်လို့ ကျွန် (၅) ကင်ရွယ်လွှတ်ဘဲရှိသေား သင်ကန်ဆူ ၁၀၀၀ န် ၁ဝဝဝ၊ မြန်မ	(၃) သရပ။ သန်တူလွန်၇ရုတ်သူကြာနိယ် လနသတ်ပိန်လက်နှိုက် သုံပဟိုက်လျှင်ယောက်ဖျာထက် (၄) ဥတ်ဖွယ်ဦရွယ်ပု၏။ သကရစ် ၅၆ဝ ပတ်သစ်သန်တူညွှတ် ၂ ရွက်သု ကြာနိယ်။အန်လျှင်ထွက်လို့ ကျွန် (၅) ကင်ရွယ်လွှတ်ဘဲရှိသေား သင်ကန်ဆူ ၁၀၀၀ န် ၁ဝဝဝ၊ မြန်မ	obi-v01-n0045-ob-p0073		local candidate ids from SIP-to-corpus cross-reference search | list ref List 161 | IOB plate Plate XXIV | Local SIP citation evidence only.	needs_segmentation_review	no_structured_corpus_match_found	Linked through exact corpus plate citation(s): Pl. I 24. | Extracted from SIP printed pages 25-26 using the OCR page offset observed from the scanned volume. | Detected 1 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-005. | Local SIP citation evidence only.	check_candidate_corpus_record	Local SIP citation evidence only.
sip-witness-006-seg-01	sip-witness-006	SIP 29	Plate XXXI	List 273 (a) | List 273 (b), which is on the platform of the	PPA 109-111	TN 36-57				ja (၂၆) ၊ လုနှစ်တွက်သေါအကုတိယ် ၂၃၀ အနှစ် ၄ သန်မှတနိယ်ဟိသေါသင်္ဃာ တငြယ်၊ လုနှစ်တွက်သေါအကူတိ။ (၂၇) ၉၂၁ ကူတိယ်အ မွတ်အနှစ် ၆ သန်မှ တနိယ်ဟိသော ရေါရပ်ငြယ်။ ခုနှစ် တွက်သေါအကူတိယ် ၃ (၂၀) ၆၀၆ ကုတိယ်အမွတ်အနှစ် ၄ သန်မှ တနိယ်ဟိသောမဟ	ja (၂၆) ၊ လုနှစ်တွက်သေါအကုတိယ် ၂၃၀ အနှစ် ၄ သန်မှတနိယ်ဟိသေါသင်္ဃာ တငြယ်၊ လုနှစ်တွက်သေါအကူတိ။ (၂၇) ၉၂၁ ကူတိယ်အ မွတ်အနှစ် ၆ သန်မှ တနိယ်ဟိသော ရေါရပ်ငြယ်။ ခုနှစ် တွက်သေါအကူတိယ် ၃ (၂၀) ၆၀၆ ကုတိယ်အမွတ်အနှစ် ၄ သန်မှ တနိယ်ဟိသောမဟ			list ref List 273 (a) | List 273 (b), which is on the platform of the | IOB plate Plate XXXI | PPA ref PPA 109-111 | TN ref TN 36-57 | Best corpus-text overlap within parent sip-witness-006.	needs_segmentation_review	linked_after_segmentation	Linked through exact corpus plate citation(s): Pl. I 31. | Extracted from SIP printed pages 29-29 using the OCR page offset observed from the scanned volume. | Detected 0 inscription heading(s) inside the parent SIP witness range. | Segmented from parent sip-witness-006. | Best corpus-text overlap within parent sip-witness-006.	compare_with_list_ref	Best corpus-text overlap within parent sip-witness-006.
