family_id	raw_reference_string	occurrence_count	example_record_ids	notes
fam-anthology	Anthology 5, p. 81	2	obi-v01-n0001-tx-p0001 | obi-v01-n0002-tx-p0004	Grouped by recurring title keyword.
fam-anthology	Anthology 1, p. 39	1	obi-v01-n0045-ob-p0073	Grouped by recurring title keyword.
fam-anthology	Anthology 5, p. 82	1	obi-v01-n0021-ob-p0042	Grouped by recurring title keyword.
fam-anthology	Anthology 5, p. 84	1	obi-v01-n0029-ob-p0050	Grouped by recurring title keyword.
fam-anthology	Anthology 5, p. 85	1	obi-v01-n0097-tx-p0151	Grouped by recurring title keyword.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96	2	obi-v01-n0027-ob-p0048 | obi-v01-n0034-re-p0056	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/ U Pe Maung Tin, BBHC 1 (2)	1	obi-v01-n0012-ob-p0029	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	1	obi-v01-n0024-ob-p0045	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 1 (2), 1960, p. 231-7	1	obi-v01-n0010-ob-p0026	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 118	1	obi-v01-n0041-ob-p0065	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62	1	obi-v01-n0021-ob-p0042	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 65	1	obi-v01-n0022-ob-p0043	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 69	1	obi-v01-n0023-ob-p0044	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 74	1	obi-v01-n0033-ob-p0056	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 80	1	obi-v01-n0029-ob-p0050	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 88	1	obi-v01-n0031-ob-p0054	Grouped by recurring publication abbreviation.
fam-bbhc-publication	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 91	1	obi-v01-n0032-ob-p0055	Grouped by recurring publication abbreviation.
fam-bed-b-catalogue	BED B 645-2	7	obi-v04-n0149-re-p0260 | obi-v04-n0150-ob-p0261 | obi-v04-n0150-re-p0262 | obi-v04-n0151-ob-p0263 | obi-v04-n0151-re-p0264	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 622-4	5	obi-v03-n0086-ob-p0147 | obi-v03-n0087-re-p0155 | obi-v03-n0104-re-p0182 | obi-v03-n0108-ob-p0187 | obi-v03-n0109-re-p0189	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 623-1	5	obi-v03-n0187-ob-p0310 | obi-v03-n0200-re-p0326 | obi-v03-n0209-ob-p0339 | obi-v03-n0209-re-p0341 | obi-v03-n0217-ob-p0353	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 600-7	3	obi-v02-n0063-ob-p0131 | obi-v02-n0065-re-p0139 | obi-v02-n0081-ob-p0167	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 602-4	2	obi-v02-n0108-re-p0204 | obi-v02-n0109-ob-p0205	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 622-6	2	obi-v03-n0161-re-p0273 | obi-v03-n0175-re-p0297	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 481-1	1	obi-v01-n0196-ob-p0333	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 512-1	1	obi-v01-n0009-ob-p0025	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 512-4	1	obi-v01-n0198-ob-p0337	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 530-3	1	obi-v01-n0015-ob-p0034	Grouped by recurring leading label.
fam-bed-b-catalogue	BED B 532-1	1	obi-v01-n0017-ob-p0037	Grouped by recurring leading label.
