source_file_id	source_file_label	source_path	local_text_path	file_type	extraction_method	tool_used	extraction_status	text_sha256	text_length	page_scope	notes
a1_editorial_luce1924-099d53582376	A1-Editorial-Luce1924.pdf	data/local/bibliography_sources/a1_editorial_luce1924-099d53582376/A1-Editorial-Luce1924.pdf	data/local/ocr_text/a1_editorial_luce1924-099d53582376.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	6fbcb15b20a66becb89b08a95a15fc365395a61477643c6f4e247b3603b072d9	6859	1-4	
a5_countriesneighbouringburma2_luce_ref_-c1353abdc155	A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	data/local/bibliography_sources/a5_countriesneighbouringburma2_luce_ref_-c1353abdc155/A5-CountriesNeighbouringBurma2-Luce-ref-Pelliot1924.pdf	data/local/ocr_text/a5_countriesneighbouringburma2_luce_ref_-c1353abdc155.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	609821348938fb5e93f4e4285788732e3e4714850e0de523db809f467bc623b4	65717	1-10, 27-36	
burmatofallofpagan_luce1939-b89e7b3d7dc1	BurmaToFallOfPagan-Luce1939.pdf	data/local/bibliography_sources/burmatofallofpagan_luce1939-b89e7b3d7dc1/BurmaToFallOfPagan-Luce1939.pdf	data/local/ocr_text/burmatofallofpagan_luce1939-b89e7b3d7dc1.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	094e82bc2153fe4c7f42f0643ba1d28b9e788cefa792551a91942f9c12a3eded	29944	1-10	
centuryofprogress_luce1948-f1e3355883ba	CenturyOfProgress_Luce1948.pdf	data/local/bibliography_sources/centuryofprogress_luce1948-f1e3355883ba/CenturyOfProgress_Luce1948.pdf	data/local/ocr_text/centuryofprogress_luce1948-f1e3355883ba.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	d6bbf6d6ee9a670c54f277e640efc69077365d966ee973752bc7e3a90f183e6a	36720	1-16	
frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	data/local/bibliography_sources/frasch_1994_dhammasats-3b10d0daddfc/Frasch 1994 dhammasats.pdf	data/local/ocr_text/frasch_1994_dhammasats-3b10d0daddfc.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	76c9f43c93c10328bbc820be6ff021ee501952ea68d43f188b2f8726da70f05c	29224	1-13	
frasch_2004_measuring_burmese_soil-5c898fbdb590	Frasch 2004 Measuring Burmese Soil.pdf	data/local/bibliography_sources/frasch_2004_measuring_burmese_soil-5c898fbdb590/Frasch 2004 Measuring Burmese Soil.pdf	data/local/ocr_text/frasch_2004_measuring_burmese_soil-5c898fbdb590.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	a117edc59de4ea500d8117e5397a88fb2df5509d353613ec1d2fe1bf7a88caae	31452	1-11	
frasch_three_pagan_inscriptions-81f9fa6e9407	Frasch Three pagan inscriptions.pdf	data/local/bibliography_sources/frasch_three_pagan_inscriptions-81f9fa6e9407/Frasch Three pagan inscriptions.pdf	data/local/ocr_text/frasch_three_pagan_inscriptions-81f9fa6e9407.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	a28717274b2f157adaffb2f87aed329c29185210e31450be56be097e56da784d	38105	1-20	
luce_1924_countries_neighbouring_burma_j-056f581dfe61	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	data/local/bibliography_sources/luce_1924_countries_neighbouring_burma_j-056f581dfe61/Luce 1924 Countries Neighbouring Burma (JBRS).pdf	data/local/ocr_text/luce_1924_countries_neighbouring_burma_j-056f581dfe61.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	e7b15299cc581b9384e8f283e1d01024137788ce1ae0bc51e737a231ecceb036	131748	1-10, 26-35	
luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	Luce 1928 inscriptions of Pagan.pdf	data/local/bibliography_sources/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf	data/local/ocr_text/luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3.txt	pdf	pdftoppm+tesseract	pdftoppm+tesseract	success	a8e52f958db1d09ec28908a692ab7bde1571d192b428374932f6354b3c42a9c8	7671	1-10, 186-195	
luce_1932_names_of_pyu-95a665d52663	Luce 1932 Names of Pyu.pdf	data/local/bibliography_sources/luce_1932_names_of_pyu-95a665d52663/Luce 1932 Names of Pyu.pdf	data/local/ocr_text/luce_1932_names_of_pyu-95a665d52663.txt	pdf	pdftoppm+google-vision	pdftoppm+google-vision	success	5891d07af0a616889b712fac41ea096476880f1cc008c6d6a620810fdd4eb141	2914	1	
