bibtex_key	field_name	field_value_short	issue_type	severity	status	resolved_in_commit	remaining_issue	recommended_fix	notes
lucePeMaungTinInscriptionsOfBurma	evidence	မန မ တ င ရင က က စ (Inscriptions of Burma	ocr_like_evidence_fragment	high	resolved	current_worktree		Replace the BibTeX evidence field with a concise authority quote and keep raw OCR evidence only in bibtex_authority_evidence.tsv.	BibTeX authority rows should not expose noisy OCR fragments.
annualReportArchaeologicalSurveyIndia	evidence	Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.)	article_like_series_evidence	medium	resolved	current_worktree		Use a concise series-definition quote rather than an article-specific citation fragment.	Series-level BibTeX authorities should cite the series definition, not a sample article reference.
fraschBaganEpigraphicDatabasePartBShort	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
harvey1925historyBurma	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
htway1974oldest	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
luce197615th	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
rayTheravadaBuddhism	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
uKyawBaganMinsa	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
uPeMaungTin1966myazediInscription	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
uThaMyat1958paliVersionMyazedi	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
ubSourceFamily	script	latin	non_normalized_script_value	low	resolved	current_worktree		Normalize Latin-script bibliographic rows to Latn.	Script values should be normalized across the authority layer.
