family_id	family_label	family_type	occurrence_count	sample_raw_references	resolution_status	resolution_level	authority_key	needs_human_review	evidence_id	evidence_source	evidence_confidence	next_action	notes
fam-list-catalogue	List references	source_catalogue	824	List 90 | List 302 | List 255	confirmed_work	book	duroiselle1921list	false	duroiselle_1921_list_of_inscriptions-fd372f9141d6	local_burma_folder	high	Confirm work-level publication details and keep the authority key stable.	Use as the stable catalogue family for List locators.
fam-obi-internal	OBI internal references	internal_reference	701	OBI 3, p. 2 | OBI 3, p. 1 | OBI 3, p. 3	source_family_resolved	internal_reference	obiCorpusSource	false	bibliographic_information_vol_1_2-a8236fd175a0	local_burma_folder	high	Retain the source-family or series mapping and defer issue/article normalization.	Treat OBI as the structured corpus source family, not a machine stub. Manual identification supplied by Nathan; documentary source agrees.
fam-plate-references	Plate references	internal_reference	545	Pl. II 198 | Pl. II 195b | Pl. II 201b	source_family_resolved	internal_reference	lucePeMaungTinInscriptionsOfBurma	false	fam-plate-references	corpus_reference	high	Retain the source-family or series mapping and defer issue/article normalization.	Plate references are internal locators and should stay separate from bibliographic works.
fam-ppa-catalogue	PPA references	source_catalogue	241	PPA, p. 55 | PPA, p. 191 | PPA, p. 155	source_family_resolved	source_family	ppaCatalogue	true	fam-ppa-catalogue	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Keep as a provisional local-source-backed catalogue family.
fam-tn-catalogue	TN references	source_catalogue	233	TN, p. 26 | TN, p. 91 | TN, p. 71	source_family_resolved	source_family	uTunNyein1897inscriptionsPaganPinyaAva	true	fam-tn-catalogue	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Keep provisional until the precise Than Tun source work is pinned down. No strong definition candidate found in searched corpus documentation or Frasch files. Explicit abbreviation-list definition in Frasch's extracted text.
fam-rdasb-publication	RDASB references	publication	228	RDASB 1971 | RDASB 1926, p. 26 and App. G | RDASB 1966	series_level_resolved	series	rdasbSourceFamily	true	fam-rdasb-publication	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Use locators for year and page pending issue-level review. No strong definition candidate found in searched corpus documentation or Frasch files. The Frasch abbreviation witness gives a directly aligned publication-title candidate, albeit not as a formal printed abbreviation list.
fam-u-min-hswe-catalogue	U Min Hswe references	source_catalogue	211	U Min Hswe, no. 51 | U Min Hswe, no. 18 | U Min Hswe, no. 43	source_family_resolved	source_family	uMinHsweSourceFamily	true	frasch-ref-02534	frasch_bibliography	medium	Retain the source-family or series mapping and defer issue/article normalization.	Still needs bibliographic normalization beyond the named catalogue marker. No strong definition candidate found in searched corpus documentation or Frasch files.
fam-raw-a	A, p. 79	unclear	131	A, p. 79 | A, p. 101 | A, p. 103-105	source_family_resolved	abbreviation	fraschBaganEpigraphicDatabasePartA	true	bagan_epig_database-c4cfc990741f	frasch_word_document	high	Retain the source-family or series mapping and defer issue/article normalization.	Provisional because the single-letter shorthand still needs editorial confirmation.
fam-ippa-catalogue	IPPA references	source_catalogue	117	IPPA | IPPA 101-102 | IPPA 137-138	alias_resolved	source_family	ppaCatalogue	true	fam-ippa-catalogue	corpus_reference	medium	Retain the source-family or series mapping and defer issue/article normalization.	IPPA behaves as a PPA-linked variant locator family in the structured OBI references rather than as a separate bibliographic work. No strong definition candidate found in searched corpus documentation or Frasch files. Representative same-record pairing shows IPPA and PPA routed together in the raw corpus references.
fam-uem-catalogue	UEM references	source_catalogue	84	UEM no. 44, p. 117 | UEM no. 41, p. 113 | UEM no. 42, p. 115	source_family_resolved	source_family	uEMaung1958selectionsInscriptionsPagan	true	fam-uem-catalogue	corpus_reference	low	Retain the source-family or series mapping and defer issue/article normalization.	Keep provisional until the full work title is recovered. No strong definition candidate found in searched corpus documentation or Frasch files. Explicit abbreviation-list definition in Frasch's extracted text.
