source_work_key	source_work_title	source_family_ids	locator_system	locator_prefixes	locator_type	example_references	bibtex_key	authority_status	needs_human_review	alias_or_variant_notes	notes
lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	sf-iob; sf-pl	IOB/plate references	IOB; Pl.	catalogue_number; plate	IOB--278 BED B 622-4 | Pl. I 1+2	lucePeMaungTinInscriptionsOfBurma	confirmed_source_work	false		Clarifies that IOB and Pl. are separate locator systems into the same Luce and Pe Maung Tin source work.
duroiselle1921list	A List of Inscriptions Found in Burma	sf-list	catalogue number	List	catalogue_number	List 105 | List 106	duroiselle1921list	confirmed_source_work	false		Duroiselle's List is a source work with catalogue-number locators.
ppaCatalogue	Inscriptions of Pagan, Pinya and Ava	sf-ppa; sf-ippa	page and IPPA-variant references	PPA; IPPA	page; number	PPA p. 239 | IPPA	ppaCatalogue	provisional_source_work	true	IPPA is preserved as a raw variant locator family into the same underlying PPA source work.	Clarifies that PPA page citations and IPPA variant locators point into the same Pagan, Pinya and Ava source work.
ubSourceFamily	Inscriptions Collected in Upper Burma	sf-ub	volume/page	UB	volume_page	UB 1, p. 147 | UB 1, p. 173	ubSourceFamily	provisional_source_work	true		UB references carry volume/page locators into the Arch. Survey of Burma edition.
sipSelectionsPagan	Selections from the Inscriptions of Pagan	sf-sip	inscription number/page	SIP	catalogue_number; page	SIP no. 11, p. 19 | SIP no. 12, p. 21	sipSourceFamily	provisional_source_work	true		SIP references point to Pe Maung Tin and G. H. Luce's Selections from the Inscriptions of Pagan with inscription-number and page locators.
uemSelectionsPagan	Selections from the Inscriptions of Pagan	sf-uem	inscription number/page	UEM	catalogue_number; page	UEM no. 11, p. 19 | UEM no. 12, p. 23	uEMaung1958selectionsInscriptionsPagan	provisional_source_work	true		UEM references point to U E Maung's Selections from the Inscriptions of Pagan with inscription-number and page locators.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan, Pinya and Ava	sf-tn	page	TN	page	TN | TN p. 67	uTunNyein1897inscriptionsPaganPinyaAva	provisional_source_work	true		TN references point to U Tun Nyein's Inscriptions of Pagan, Pinya and Ava with page locators.
mandalayPalaceStoneCollection	Mandalay Palace stone collection	sf-mp	stone/page references	MP	volume_page; number	MP, p. 107 | MP, p. 13		locator_system	true		MP behaves as a Mandalay Palace stone-collection locator family rather than as a standalone bibliographic work.
britishLibraryOrientalManuscripts	British Library Oriental Manuscripts	sf-or	shelfmark/folio	OR	folio	OR 3434 (gā: verso) | OR 3434 fol. ghā verso (with further dates)		locator_system	true		OR references are treated as British Library Oriental manuscript shelfmarks rather than as a published title.
gHLuceNotebookD	G. H. Luce Notebook D	sf-luce-d	notebook entry/page	Luce D	number	Luce D 809		probable_private_locator_system	true		Archive descriptions support treating Luce D citations as references into an unpublished Luce notebook sequence.
gHLuceNotebookJ	G. H. Luce Notebook J	sf-luce-j	notebook entry/page	Luce J	number	Luce J 2665 | Luce J 2667		probable_private_locator_system	true		Archive descriptions support treating Luce J citations as references into an unpublished Luce notebook sequence.
