raw_reference_string	family_id	source_family_id	source_work_key	bibtex_key	locator	locator_type	issue_type	severity	recommended_fix	notes
List 105	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 105	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 106	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 106	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 108	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 108	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 109-110	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 109-110	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 111	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 111	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 113	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 113	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 116	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 116	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 120	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 120	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 121	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 121	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 122	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 122	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 123a +b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 123a +b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 125	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 125	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 128	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 128	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 1299a	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 1299a	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 129a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 129a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 130	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 130	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 134	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 134	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 135	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 135	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 136	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 136	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 1388a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 1388a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 144	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 144	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 145/b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 145/b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 146	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 146	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 151	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 151	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 152	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 152	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 153	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 153	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 154/a	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 154/a	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 154a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 154a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 156-157	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 156-157	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 160a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 160a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 161	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 161	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 163	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 163	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 165	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 165	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 168 a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 168 a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 168a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 168a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 169a	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 169a	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 169b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 169b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 171	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 171	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 172	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 172	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 173	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 173	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 174a+b	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 174a+b	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 175	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 175	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 176	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 176	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 179	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 179	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 182	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 182	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 183	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 183	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 185	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 185	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 186	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 186	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 189	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 189	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 190	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 190	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 191	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 191	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 193	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 193	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 194	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 194	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 195	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 195	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 196	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 196	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 197	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 197	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 198	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 198	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 199	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 199	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 201	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 201	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 202	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 202	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 203	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 203	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 204	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 204	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 205	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 205	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 206/List 220	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 206/List 220	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
List 208	fam-list-catalogue	sf-list	duroiselle1921list	duroiselle1921list	List 208	unclear	unparsed_locator	medium	Improve locator parsing or document the irregular locator form.	High-occurrence locator family still has an unclear locator parse.
