abbreviation	family_id	family_type	provisional_label	probable_bibtex_key	source_type	evidence_source_file	evidence_ref_id	evidence_quote_short	confidence	needs_human_review	notes
A	fam-raw-a		Bagan Epigraphic Database, Part A	fraschBaganEpigraphicDatabasePartA	source_catalogue	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	high	false	Provisional because the single-letter shorthand still needs editorial confirmation.
ARASI			Annual Report of the Archaeological Survey of India	annualReportArchaeologicalSurveyIndia	periodical	Bagan Epig Database.doc	frasch-ref-00333	Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.)	medium	true	Used as the shared authority target for year-specific ARASI citation families.
B	fam-raw-b		Bagan Epigraphic Database, Part B	fraschBaganEpigraphicDatabasePartBShort	source_catalogue	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	medium	true	B is kept as a stable abbreviation family rather than an ordinary work-level citation.
BBHC	fam-bbhc-publication		BBHC publication family	burmaHistoricalCommissionBulletin	publication			Recurring BBHC references are attested in Frasch evidence, but the exact bulletin/conference boundary still needs review.	low	true	Keep as a provisional publication family.
BED B	fam-bed-b-catalogue		Bagan Epigraphic Database, Part B	fraschBaganEpigraphicDatabasePartB	source_catalogue	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	high	false	Treat as a Frasch-derived local source family.
EB	fam-eb-publication		Epigraphia Birmanica	epigraphiaBirmanica	publication	Bagan Epig Database.doc	frasch-ref-01530	U Than Tun, JBRS 1976, p. 135-7, Luce, ELEB, JBRS 1940, p. 327-8	medium	true	Series-level entry only at this stage.
IOB	fam-iob-catalogue		Inscriptions of Burma	lucePeMaungTinInscriptionsOfBurma	source_catalogue	_မန_မ_တ__င__ရင___က__က_စ_(Inscriptions of Burma).pdf	inscriptions_of_burma-b7c07d9f6d02	မန မ တ င ရင က က စ (Inscriptions of Burma	high	false	Treat as the stable source family for IOB locators.
IPPA	fam-ippa-catalogue		IPPA catalogue family	ippaSourceFamily	source_catalogue			Attested in extracted Frasch bibliography evidence; precise expansion remains under review.	low	true	Keep provisional and route remaining ambiguity to high-frequency review.
JBRS	fam-jbrs-publication		Journal of the Burma Research Society	journalBurmaResearchSociety	publication	Luce 1924 Countries Neighbouring Burma (JBRS).pdf	luce_1924_countries_neighbouring_burma_j-056f581dfe61	Countries Neighbouring Burma (JBRS	high	false	Article-level matches can override this series-level mapping.
JRAS	fam-jras-publication		Journal of the Royal Asiatic Society	journalRoyalAsiaticSociety	publication	Richardson JRAS article re photos.pdf	richardson_jras_article_re_photos-8849f4c5e9df	Richardson JRAS article re photos	high	false	Article-level matches can override this series-level mapping.
