raw_reference_string	family_id	source_family_id	source_work_key	work_candidate_id	bibtex_key	locator	locator_type	resolution_status	resolution_level	match_type	match_confidence	evidence	needs_human_review	notes
Anthology 1, p. 39	fam-anthology			work-anthology	anthology	1, p. 39	volume_page	needs_human_review	unknown	machine_stub_match	low	Provisional entry generated from corpus reference triage; requires human review.	true	Grouped by recurring title keyword.
Anthology 5, p. 81	fam-anthology			work-anthology	anthology	5, p. 81	volume_page	needs_human_review	unknown	machine_stub_match	low	Provisional entry generated from corpus reference triage; requires human review.	true	Grouped by recurring title keyword.
Anthology 5, p. 82	fam-anthology			work-anthology	anthology	5, p. 82	volume_page	needs_human_review	unknown	machine_stub_match	low	Provisional entry generated from corpus reference triage; requires human review.	true	Grouped by recurring title keyword.
Anthology 5, p. 84	fam-anthology			work-anthology	anthology	5, p. 84	volume_page	needs_human_review	unknown	machine_stub_match	low	Provisional entry generated from corpus reference triage; requires human review.	true	Grouped by recurring title keyword.
Anthology 5, p. 85	fam-anthology			work-anthology	anthology	5, p. 85	volume_page	needs_human_review	unknown	machine_stub_match	low	Provisional entry generated from corpus reference triage; requires human review.	true	Grouped by recurring title keyword.
Luce/ U Pe Maung Tin, BBHC 1 (2)	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	Luce/ U Pe Maung Tin, BBHC 1 (2)	unclear	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 72	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 1 (2), 1960, p. 231-7	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1960, p. 231-7	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 118	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 118	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 62	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 65	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 65	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 69	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 69	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 74	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 74	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 80	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 80	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
Luce/U Pe Maung Tin, BBHC 3, 1963, p. 88	fam-bbhc-publication	sf-bbhc	burmaHistoricalCommissionBulletin	work-bbhc-publication	burmaHistoricalCommissionBulletin	1963, p. 88	volume_page	series_level_resolved	series	series_level_match	low	Keep as a provisional publication family.	true	Grouped by recurring publication abbreviation.
