acronym	candidate_expansion	evidence_type	source_file_id	source_file_label	source_location_hint	short_quote	evidence_strength	supports_expansion	contradicts_expansion	needs_human_review	notes
IOB	Inscriptions of Burma	manual_inference	frasch-extracted-text	frasch_extracted_text.txt	L8417-L8453	IB  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956) ... Pl.  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956)	medium	true	false	true	Frasch explicitly defines IB and Pl., not IOB; IOB is therefore kept as a locator-family relation to the same underlying work rather than as a standalone title expansion.
TN	U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava	explicit_definition	frasch-extracted-text	frasch_extracted_text.txt	L7880	TN U Tun Nyein (tr.), Inscriptions of Pagan, Pinya and Ava, Rangoon 1897	strong	true	false	false	Explicit abbreviation-list definition in Frasch's extracted text.
UEM	U E Maung (ed.), Selections from the Inscriptions of Pagan	explicit_definition	frasch-extracted-text	frasch_extracted_text.txt	L7883-L7884	UEM U E Maung (ed.), Selections from the Inscriptions of Pagan, Rangoon 1958	strong	true	false	false	Explicit abbreviation-list definition in Frasch's extracted text.
RDASB	Report of the Director, Archaeological Survey of Burma	source_list_entry	frasch-bagan-epig-abbreviations	frasch_bagan_epig_database_abbreviations.tsv	RDASB row	RDASB | Report of Director Arch. Survey Burma	medium	true	false	true	The Frasch abbreviation witness gives a directly aligned publication-title candidate, albeit not as a formal printed abbreviation list.
RDASB	Report of the Director, Archaeological Survey of Burma	contextual_usage	frasch-extracted-text	frasch_extracted_text.txt	L353-L362	References: Pl. V 557c; RDASB 1938, p. xi, and app. H, no. 5 ... RDASB 1938, p. xii, and app. H, no. 19	medium	true	false	true	The corpus uses RDASB as a year-based report series with page and appendix locators, matching the Director report pattern.
MP	Mandalay Palace stone collection locator system	contextual_usage	frasch-extracted-text	frasch_extracted_text.txt	L10-L740	Location: ?; Mandalay Palace stone 291 ... Dhammayan temple, Bagan; MP stone 507	medium	true	false	true	The Frasch text repeatedly equates MP references with Mandalay Palace stone labels, supporting a collection-locator reading.
MP	Mandalay Palace stone collection locator system	contextual_usage	bagan-epig-database-doc	Bagan Epig Database.doc	targeted local text search	Mandalay Palace stone 291 ... Mandalay Palace (unnumbered) ... MP stone 507	medium	true	false	true	The local Bagan Epigraphic Database witness preserves both the full Mandalay Palace wording and the MP shorthand.
OR	British Library Oriental manuscript shelfmark system	contextual_usage	frasch-extracted-text	frasch_extracted_text.txt	L5647-L5650; L3314	British Library Oriental Mss Sect-ion OR 3434, fol. gha verso ... OR 3475, no. 18	medium	true	false	true	The Frasch witness explicitly links OR citations to British Library Oriental manuscript shelfmarks and folio references.
Luce J	G. H. Luce Notebook J archival locator system	contextual_usage	frasch-extracted-text	frasch_extracted_text.txt	L470-L804	References: Pl. V 567b = Luce J2509 ... References: Luce J 2507 ... References: Luce J 2689	medium	true	false	true	The corpus preserves Luce J as a numbered Luce-only locator family, which fits notebook-style references better than a published title.
Luce J	G. H. Luce Notebook J archival locator system	manual_inference	archive-bdrc-W2KG200024	Archive.org BDRC notebook listing	Notebook J entry	001a-001b: Notes on inscriptions from Prome ... 081-147: Listed inscriptions ... 148-160: Miscellaneous notes and transcription.	medium	true	false	true	Archive.org explicitly describes Notebook J as an unpublished Luce notebook containing inscription notes and transcriptions.
Luce D	G. H. Luce Notebook D archival locator system	contextual_usage	frasch-extracted-text	frasch_extracted_text.txt	L488-L579	References: Pl. V 581a = List 1406 = Luce D 825 ... Pl. V 599a-b = List 1445-1446 = A, p. 591-2 = Luce D 835	medium	true	false	true	The corpus treats Luce D as a numbered Luce-only locator family rather than as a published work citation.
Luce D	G. H. Luce Notebook D archival locator system	manual_inference	archive-bdrc-W2KG200022	Archive.org BDRC notebook listing	Notebook D entry	016-080: Epigraphical notes. 081-147: Listed inscriptions. 148-156: Unlisted inscriptions. 157a-161b: Miscellaneous notes.	medium	true	false	true	Archive.org explicitly describes Notebook D as an unpublished Luce notebook with epigraphical notes and inscription listings.
IPPA		negative_search	acronym-definition-candidates	acronym_definition_candidates.tsv	negative:ippa	No strong definition candidate found in searched corpus documentation or Frasch files.	negative	false	false	true	The targeted local evidence search did not recover a documentary definition for IPPA.
IPPA		negative_search	frasch-abbreviation-review	frasch_abbreviation_list_review.tsv	L7778-L7896; L8317-L8453	Reviewed the abbreviation-list slices around TN/UEM and IB/Pl.; IPPA is absent from those lists.	negative	false	false	true	The final Frasch abbreviation-list recheck did not surface IPPA near the main definition blocks.
