family_id	family_label	family_type	member_count	occurrence_count	sample_raw_references	current_bibtex_key	current_status	suggested_local_search_terms	notes
fam-ppa-catalogue	PPA references	source_catalogue	65	241	PPA, p. 55 | PPA, p. 191 | PPA, p. 155	ppaCatalogue	provisional_catalogue	PPA references	Prioritize local library or Frasch-preface evidence review.
fam-rdasb-publication	RDASB references	publication	112	228	RDASB 1971 | RDASB 1926, p. 26 and App. G | RDASB 1966	reportDirectorArchaeologicalSurveyBurma	provisional_publication	RDASB references	Prioritize local library or Frasch-preface evidence review.
fam-ippa-catalogue	IPPA references	source_catalogue	116	117	IPPA | IPPA 101-102 | IPPA 137-138	ippaCatalogue	provisional_catalogue	IPPA references	Prioritize local library or Frasch-preface evidence review.
fam-uem-catalogue	UEM references	source_catalogue	63	84	UEM no. 44, p. 117 | UEM no. 41, p. 113 | UEM no. 42, p. 115	uemCatalogue	provisional_catalogue	UEM references	Prioritize local library or Frasch-preface evidence review.
fam-sip-catalogue	SIP references	source_catalogue	27	38	SIP no. 26, p. 55 | SIP no. 11, p. 19 | SIP no. 12, p. 21	sipCatalogue	provisional_catalogue	SIP references	Prioritize local library or Frasch-preface evidence review.
fam-bbhc-publication	BBHC references	publication	12	13	Luce/U Pe Maung Tin, BBHC 3, 1963, p. 96 | Luce/ U Pe Maung Tin, BBHC 1 (2) | Luce/ U Pe Maung Tin, BBHC 3, 1963, p. 72	burmaHistoricalCommissionBulletin	provisional_publication	BBHC references, Luce/U Pe Maung Tin, BBHC 3, 1963	Prioritize local library or Frasch-preface evidence review.
fam-anthology	Anthology references	book	5	6	Anthology 5, p. 81 | Anthology 1, p. 39 | Anthology 5, p. 82	anthology	machine_stub	Anthology references, Anthology	Prioritize local library or Frasch-preface evidence review.
fam-raw-not-in-u-min-hswe	(not in U Min Hswe)	unclear	1	3	(not in U Min Hswe)	work4	machine_stub	(not in U Min Hswe)	Prioritize local library or Frasch-preface evidence review.
fam-raw-2	& 2	unclear	2	2	& 2 | -2	work5	machine_stub	& 2	Prioritize local library or Frasch-preface evidence review.
fam-raw-another-mm-4	another copy MM 4, no. 20, p. 90	unclear	2	2	another copy MM 4, no. 20, p. 90 | another copy MM 4, no. 9, p. 44	work6	machine_stub	another copy MM 4, no. 20, p. 90	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-55-56	BA-55 & 56	unclear	1	2	BA-55 & 56	work9	machine_stub	BA-55 & 56	Prioritize local library or Frasch-preface evidence review.
fam-raw-htupayon-2	Htupayon 2, p. 117	unclear	2	2	Htupayon 2, p. 117 | Htupayon 2, p. 183	work10	machine_stub	Htupayon 2, p. 117	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob3-319-c	IOB3-319/c	unclear	1	2	IOB3-319/c	work11	machine_stub	IOB3-319/c	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob4-456-a	IOB4-456/a	unclear	1	2	IOB4-456/a	work12	machine_stub	IOB4-456/a	Prioritize local library or Frasch-preface evidence review.
fam-raw-iob5-542	IOB5-542	unclear	1	2	IOB5-542	work13	machine_stub	IOB5-542	Prioritize local library or Frasch-preface evidence review.
fam-raw-iub1-212	IUB1-212	unclear	1	2	IUB1-212	work14	machine_stub	IUB1-212	Prioritize local library or Frasch-preface evidence review.
fam-raw-list-918	copy List 918	unclear	1	2	copy List 918	work15	machine_stub	copy List 918	Prioritize local library or Frasch-preface evidence review.
fam-raw-picture-archdept-on-file	picture (ArchDept) on file	unclear	1	2	picture (ArchDept) on file	work16	machine_stub	picture (ArchDept) on file	Prioritize local library or Frasch-preface evidence review.
fam-raw-u-tin-lwin-rajakumar-s-inscription-in-pali-in-takkasuil-yangon-1989	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 198…	article	1	2	U Tin Lwin, Rajakumar's Inscription in Pali, in T…	lwin1989rajakumars	machine_stub	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 198…, U Tin Lwin, Rajakumar's Inscription	Prioritize local library or Frasch-preface evidence review.
fam-raw-12	12	unclear	1	1	12	work17	machine_stub	12	Prioritize local library or Frasch-preface evidence review.
fam-raw-17	17	unclear	1	1	17	work18	machine_stub	17	Prioritize local library or Frasch-preface evidence review.
fam-raw-184-bed-b-614-2	-184 BED B 614-2	unclear	1	1	-184 BED B 614-2	work19	machine_stub	-184 BED B 614-2	Prioritize local library or Frasch-preface evidence review.
fam-raw-1936-37-4003-1938-39-4080	1936 37 4003 1938 39 4080	unclear	1	1	-1936-37/ 4003, 1938-39/ 4080	1936work	machine_stub	1936 37 4003 1938 39 4080	Prioritize local library or Frasch-preface evidence review.
fam-raw-1958-59	1958-59	unclear	1	1	1958-59	1958work	machine_stub	1958-59	Prioritize local library or Frasch-preface evidence review.
fam-raw-1960	1960, p. 241	unclear	1	1	1960, p. 241	1960work	machine_stub	1960, p. 241	Prioritize local library or Frasch-preface evidence review.
fam-raw-1962-63-bed-b-622-6	1962 63 bed b 622 6	unclear	1	1	1962-63 BED B 622-6	1962work	machine_stub	1962 63 bed b 622 6	Prioritize local library or Frasch-preface evidence review.
fam-raw-1963	1963,	unclear	1	1	1963,	1963work	machine_stub	1963,	Prioritize local library or Frasch-preface evidence review.
fam-raw-1970-71	1970-71	unclear	1	1	1970-71	1970work	machine_stub	1970-71	Prioritize local library or Frasch-preface evidence review.
fam-raw-265	---265,	unclear	1	1	---265,	work20	machine_stub	---265,	Prioritize local library or Frasch-preface evidence review.
fam-raw-3	3 ,	unclear	1	1	3 ,	work21	machine_stub	3 ,	Prioritize local library or Frasch-preface evidence review.
fam-raw-31-2-3	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	unclear	1	1	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	work22	machine_stub	-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	Prioritize local library or Frasch-preface evidence review.
fam-raw-377	-377	unclear	1	1	-377	work23	machine_stub	-377	Prioritize local library or Frasch-preface evidence review.
fam-raw-6	-6-,	unclear	1	1	-6-,	work24	machine_stub	-6-,	Prioritize local library or Frasch-preface evidence review.
fam-raw-617	617	unclear	1	1	617	work25	machine_stub	617	Prioritize local library or Frasch-preface evidence review.
fam-raw-769	--769	unclear	1	1	--769	work26	machine_stub	--769	Prioritize local library or Frasch-preface evidence review.
fam-raw-a-and-549	A, p. 97 and 549	unclear	1	1	A, p. 97 and 549	work27	machine_stub	A, p. 97 and 549	Prioritize local library or Frasch-preface evidence review.
fam-raw-and-mm-4-said-to-come-from-sagaing	and mm 4 said to come from sagaing	unclear	1	1	and MM 4, no. 47, p. 214 (said to come from Sagai…	work28	machine_stub	and mm 4 said to come from sagaing	Prioritize local library or Frasch-preface evidence review.
fam-raw-another-is-list-401	another copy is List 401	unclear	1	1	another copy is List 401	work29	machine_stub	another copy is List 401	Prioritize local library or Frasch-preface evidence review.
fam-raw-another-mm-3	another copy MM 3, no. 25, p. 107	unclear	1	1	another copy MM 3, no. 25, p. 107	work30	machine_stub	another copy MM 3, no. 25, p. 107	Prioritize local library or Frasch-preface evidence review.
fam-raw-aung-thwin-ceylonese-burmese-relations-jss-1976	aung thwin ceylonese burmese relations jss 1976	unclear	1	1	Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976…	aungThwin1976ceylonese	machine_stub	aung thwin ceylonese burmese relations jss 1976, Aung-Thwin, Ceylonese-Burmese Relations, JSS 1976	Prioritize local library or Frasch-preface evidence review.
fam-raw-ba-1-9	BA 1, 9	unclear	1	1	BA 1, 9	work36	machine_stub	BA 1, 9	Prioritize local library or Frasch-preface evidence review.
