ippa_reference	ppa_like_reference	shared_record_id	same_or_neighboring_reference_field	locator_pattern	source_context	looks_like_alias	looks_like_typo	looks_like_distinct_source	confidence	notes
IPPA-209		obi-v01-n0001-tx-p0001	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0001-tx-p0001 | vol. 1 no. 1	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-209, 211		obi-v01-n0001-tx-p0002	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0001-tx-p0002 | vol. 1 no. 1	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-203		obi-v01-n0002-tx-p0004	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0002-tx-p0004 | vol. 1 no. 2	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-207		obi-v01-n0002-tx-p0006	no explicit PPA neighbour	IPPA-only numeric locator in reviewed record/cluster	obi-v01-n0002-tx-p0006 | vol. 1 no. 2	false	false	false	low	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
IPPA-159	PPA, p. 159	obi-v01-n0004-ob-p0011	same record	exact numeric match to PPA page citation	obi-v01-n0004-ob-p0011 | vol. 1 no. 4	true	false	false	high	Same record also cites PPA, p. 159.
IPPA-162	PPA, p. 159	obi-v01-n0004-re-p0015	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0004-re-p0015 | vol. 1 no. 4	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 159.
IPPA-192	PPA, p. 192	obi-v01-n0007-ob-p0022	same record	exact numeric match to PPA page citation	obi-v01-n0007-ob-p0022 | vol. 1 no. 7	true	false	false	high	Same record also cites PPA, p. 192.
IPPA-141	PPA, p. 141-2	obi-v01-n0012-ob-p0029	same record	partial numeric overlap with PPA page citation	obi-v01-n0012-ob-p0029 | vol. 1 no. 12	true	false	false	medium	Same record also cites PPA, p. 141-2.
IPPA-143	PPA, p. 141-2	obi-v01-n0012-re-p0030	same inscription cluster	paired with PPA source but using a different numeric locator	obi-v01-n0012-re-p0030 | vol. 1 no. 12	true	false	false	medium	Companion face/page in the same inscription cluster cites PPA, p. 141-2.
IPPA 139	PPA, p. 139	obi-v01-n0021-ob-p0042	same record	exact numeric match to PPA page citation	obi-v01-n0021-ob-p0042 | vol. 1 no. 21	true	false	false	high	Same record also cites PPA, p. 139.
