source_work_key	canonical_title	authority_level	should_have_bibtex	current_bibtex_key	bibtex_status	reason	recommended_action	notes
annualReportsArchaeologicalSurveyIndia	Annual Reports of the Archaeological Survey of India	series	true	annualReportArchaeologicalSurveyIndia	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority for ARASI citations. Used as the shared authority target for year-specific ARASI citation families.
britishLibraryOrientalManuscripts	British Library Oriental manuscripts	manuscript_collection	false		suppressed_locator_system	Locator, manuscript, or notebook authority should not be emitted as an ordinary publication.	Keep the source-work row but suppress ordinary publication-style BibTeX emission.	Shelfmark/folio holding authority only; do not emit a standalone BibTeX publication.
bulletinBurmaHistoricalCommission	Bulletin of the Burma Historical Commission	periodical	true	burmaHistoricalCommissionBulletin	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority for BBHC citations. Keep as a provisional publication family.
duroiselle1921list	List of Inscriptions Found in Burma	book	true	duroiselle1921list	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Stable catalogue-style source work used for List locators. Use as the stable catalogue family for List locators.
epigraphiaBirmanica	Epigraphia Birmanica	series	true	epigraphiaBirmanica	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Series-level authority only unless a specific EB fascicle/article is identified. Series-level entry only at this stage.
fraschBaganEpigraphicDatabasePartA	Bagan Epigraphic Database, Part A	source_catalogue	true	fraschBaganEpigraphicDatabasePartA	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Part A source-work authority for the Bagan Epigraphic Database abbreviations. Provisional because the single-letter shorthand still needs editorial confirmation.
fraschBaganEpigraphicDatabasePartB	Bagan Epigraphic Database, Part B	source_catalogue	true	fraschBaganEpigraphicDatabasePartB	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Canonical Part B source-work authority shared by BED B and shorthand B references. Treat as a Frasch-derived local source family.
gHLuceNotebookD	G. H. Luce Notebook D	archival_notebook	false		suppressed_locator_system	Locator, manuscript, or notebook authority should not be emitted as an ordinary publication.	Keep the source-work row but suppress ordinary publication-style BibTeX emission.	Probable private Luce notebook authority only; do not emit a standalone BibTeX publication.
gHLuceNotebookJ	G. H. Luce Notebook J	archival_notebook	false		suppressed_locator_system	Locator, manuscript, or notebook authority should not be emitted as an ordinary publication.	Keep the source-work row but suppress ordinary publication-style BibTeX emission.	Probable private Luce notebook authority only; do not emit a standalone BibTeX publication.
harvey1925historyBurma	History of Burma	book	true	harvey1925historyBurma	present	Publication-like source authority is represented in bibliography_authority.bib.	Keep the BibTeX row aligned with the curated source-work metadata.	Promoted from repeated Frasch shorthand citations; precise edition details still need confirmation.
